,,Fall 2025,Fall 2025
,,Student Count,Student Count (%)
,6.0 - 8.9,"4,535",19.53%
,9.0 - 11.9,"3,301",14.21%
,Non-Credit,301,1.30%
San Jose City Total,,"8,899",0.53%
,0.1 - 2.9,306,3.44%
,12.0 -14.9,"1,150",12.92%
,15 +,569,6.39%
,3.0 - 5.9,"3,340",37.53%
,6.0 - 8.9,"1,729",19.43%
,9.0 - 11.9,"1,168",13.13%
,Non-Credit,637,7.16%
San Mateo Total,,"9,872",0.59%
,0.1 - 2.9,533,5.40%
,12.0 -14.9,"1,152",11.67%
,15 +,755,7.65%
,3.0 - 5.9,"4,176",42.30%
,6.0 - 8.9,"1,841",18.65%
,9.0 - 11.9,"1,415",14.33%
Santa Ana Total,,"42,001",2.52%
,0.1 - 2.9,"6,050",14.40%
,12.0 -14.9,"3,159",7.52%
,15 +,"1,476",3.51%
,3.0 - 5.9,"7,179",17.09%
,6.0 - 8.9,"4,018",9.57%
,9.0 - 11.9,"4,442",10.58%
,Non-Credit,"15,677",37.33%
Santa Barbara Total,,"16,893",1.01%
,0.1 - 2.9,253,1.50%
,12.0 -14.9,"3,216",19.04%
,15 +,"1,759",10.41%
,3.0 - 5.9,"3,377",19.99%
,6.0 - 8.9,"2,012",11.91%
,9.0 - 11.9,"1,725",10.21%
,Non-Credit,"4,551",26.94%
Santa Monica Total,,"26,347",1.58%
,0.1 - 2.9,710,2.69%
,12.0 -14.9,"6,614",25.10%
,15 +,"2,880",10.93%
,3.0 - 5.9,"4,758",18.06%
,6.0 - 8.9,"4,225",16.04%
,9.0 - 11.9,"3,442",13.06%
,Non-Credit,"3,718",14.11%
Santa Rosa Total,,"24,789",1.49%
,0.1 - 2.9,"1,923",7.76%
,12.0 -14.9,"3,701",14.93%
,15 +,"1,676",6.76%
,3.0 - 5.9,"5,389",21.74%
,6.0 - 8.9,"3,488",14.07%
,9.0 - 11.9,"2,625",10.59%
,Non-Credit,"5,987",24.15%
Santiago Canyon Total,,"18,954",1.14%
,0.1 - 2.9,"1,964",10.36%
,12.0 -14.9,"1,275",6.73%
,15 +,829,4.37%
,3.0 - 5.9,"5,661",29.87%
,6.0 - 8.9,"1,545",8.15%
,9.0 - 11.9,"1,159",6.11%
,Non-Credit,"6,521",34.40%
Sequoias Total,,"15,668",0.94%
,0.1 - 2.9,425,2.71%
,12.0 -14.9,"3,736",23.84%
,15 +,"1,760",11.23%
,3.0 - 5.9,"3,738",23.86%
,6.0 - 8.9,"2,822",18.01%
,9.0 - 11.9,"2,756",17.59%
,Non-Credit,431,2.75%
Shasta Total,,"10,586",0.64%
,0.1 - 2.9,506,4.78%
,12.0 -14.9,"2,202",20.80%
,15 +,"1,340",12.66%
,3.0 - 5.9,"3,025",28.58%
,6.0 - 8.9,"1,644",15.53%
,9.0 - 11.9,"1,134",10.71%
,Non-Credit,735,6.94%
Sierra Total,,"20,892",1.25%
,0.1 - 2.9,876,4.19%
,12.0 -14.9,"4,390",21.01%
,15 +,"2,308",11.05%
,3.0 - 5.9,"6,345",30.37%
,6.0 - 8.9,"3,437",16.45%
,9.0 - 11.9,"2,899",13.88%
,Non-Credit,637,3.05%
Siskiyous Total,,"2,024",0.12%
,0.1 - 2.9,178,8.79%
,12.0 -14.9,475,23.47%
,15 +,150,7.41%
,3.0 - 5.9,562,27.77%
,6.0 - 8.9,207,10.23%
,9.0 - 11.9,155,7.66%
,Non-Credit,297,14.67%
Skyline Total,,"9,929",0.60%
,0.1 - 2.9,871,8.77%
,12.0 -14.9,"1,128",11.36%
,15 +,714,7.19%
,3.0 - 5.9,"4,307",43.38%
,6.0 - 8.9,"1,719",17.31%
,9.0 - 11.9,"1,185",11.93%
,Non-Credit,5,0.05%
Solano Total,,"9,274",0.56%
,0.1 - 2.9,160,1.73%
,12.0 -14.9,"2,061",22.22%
,15 +,708,7.63%
,3.0 - 5.9,"2,801",30.20%
,6.0 - 8.9,"2,022",21.80%
,9.0 - 11.9,"1,519",16.38%
,Non-Credit,3,0.03%
Southwestern Total,,"20,981",1.26%
,0.1 - 2.9,674,3.21%
,12.0 -14.9,"5,466",26.05%
,15 +,"2,822",13.45%
,3.0 - 5.9,"4,320",20.59%
,6.0 - 8.9,"3,280",15.63%
,9.0 - 11.9,"3,170",15.11%
,Non-Credit,"1,249",5.95%
Taft Total,,"4,737",0.28%
,0.1 - 2.9,"1,796",37.91%
,12.0 -14.9,570,12.03%
,15 +,391,8.25%
,3.0 - 5.9,"1,009",21.30%
,6.0 - 8.9,541,11.42%
,9.0 - 11.9,430,9.08%
Ventura Total,,"12,161",0.73%
,0.1 - 2.9,332,2.73%
,12.0 -14.9,"2,343",19.27%
,15 +,"1,165",9.58%
,3.0 - 5.9,"3,967",32.62%
,6.0 - 8.9,"2,214",18.21%
,9.0 - 11.9,"1,810",14.88%
,Non-Credit,330,2.71%
Victor Valley Total,,"17,862",1.07%
,0.1 - 2.9,298,1.67%
,12.0 -14.9,"3,496",19.57%
,15 +,"1,572",8.80%
,3.0 - 5.9,"4,384",24.54%
,6.0 - 8.9,"3,842",21.51%
,9.0 - 11.9,"3,270",18.31%
,Non-Credit,"1,000",5.60%
West LA Total,,"9,960",0.60%
,0.1 - 2.9,320,3.21%
,12.0 -14.9,"1,158",11.63%
,15 +,388,3.90%
,3.0 - 5.9,"4,863",48.83%
,6.0 - 8.9,"1,515",15.21%
,9.0 - 11.9,943,9.47%
,Non-Credit,773,7.76%
West Valley Total,,"10,210",0.61%
,0.1 - 2.9,464,4.54%
,12.0 -14.9,"1,566",15.34%
,15 +,813,7.96%
,3.0 - 5.9,"2,804",27.46%
,6.0 - 8.9,"1,242",12.16%
,9.0 - 11.9,"1,235",12.10%
,Non-Credit,"2,086",20.43%
Woodland Total,,"4,512",0.27%
,0.1 - 2.9,216,4.79%
,12.0 -14.9,665,14.74%
,15 +,137,3.04%
,3.0 - 5.9,"1,792",39.72%
,6.0 - 8.9,928,20.57%
,9.0 - 11.9,589,13.05%
,Non-Credit,185,4.10%
Yuba Total,,"6,999",0.42%
,0.1 - 2.9,190,2.71%
,12.0 -14.9,615,8.79%
,15 +,281,4.01%
,3.0 - 5.9,"2,821",40.31%
,6.0 - 8.9,"1,770",25.29%
,9.0 - 11.9,"1,102",15.75%
,Non-Credit,220,3.14%
