,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cypress Total,,,,,,118,,164,89,153,,151,137,164,,135,130,172,
,051430 - Court Reporting                         ,,,,,118,,164,89,153,,151,137,164,,135,130,172,
