,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
West Valley Total,,"2,502",205,"2,698","1,799","2,969",189,"5,419","3,438","6,446",215,"5,878","3,427","6,171",204,"5,168","2,654","5,359",276
,"050100 - Business and Commerce, General          ",57,,32,17,20,,20,26,25,,31,18,51,,60,,58,
,050200 - Accounting                              ,116,,113,35,85,,108,51,125,,115,46,50,,16,,47,
,050640 - Small Business and Entrepreneurship     ,91,,74,,81,,93,,106,,52,,65,,56,37,101,
,051100 - Real Estate                             ,,,,,,,,,122,,150,66,205,,152,90,145,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,36,,19,,41,,16,,,
,051430 - Court Reporting                         ,267,78,239,176,265,89,339,311,479,91,562,449,761,97,866,434,887,110
,"070100 - Information Technology, General         ",,,,,,,,,,,64,69,47,,90,74,59,
,070200 - Computer Information Systems            ,,,,,,,,,,,27,31,33,,29,36,31,
,070800 - Computer Infrastructure and Support     ,,,,,,,,,,,,,,,,,33,
,083500 - Physical Education                      ,,,46,,36,,64,,67,,67,,75,,70,,72,
,083510 - Physical Fitness and Body Movement      ,212,,215,115,296,,501,373,567,,465,329,475,,400,235,321,
,083580 - Adapted Physical Education              ,153,50,103,83,116,55,116,79,112,,142,60,112,,134,63,126,71
,100200 - Art                                     ,245,,393,124,455,,657,588,747,,809,231,795,,618,118,495,
,100400 - Music                                   ,25,,27,,29,,42,,47,,47,,55,,55,,33,
,100600 - Technical Theater                       ,,,,,,,5,,,,,,,,,,,
,125000 - Emergency Medical Services              ,,,,,,,,,,,,,,,,10,,
,130560 - Parenting and Family Education          ,,,,,16,,19,,19,,23,,,,,,,
,170200 - Mathematics Skills                      ,,,,,,,,,,41,,59,,44,,45,15,34
,493012 - Job Seeking/Changing Skills             ,7,,28,,12,,,,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,19,,17,18,,,,,,,,,,,,,,
,493072 - Leadership Skills Development           ,,,,,14,45,23,44,29,34,34,42,18,24,31,36,27,61
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,89,,112,,106,
,493086 - English as a Second Language - Listening,,,,,41,,30,,,,32,,179,39,187,113,193,
,493087 - English as a Second Language - Integrate,,,,,277,,316,19,323,,324,76,145,,200,53,285,
,493090 - Citizenship / ESL Civics                ,411,77,427,215,86,,87,195,124,49,97,20,,,,,,
,493100 - Vocational ESL                          ,47,,28,19,16,,12,,10,,,,24,,29,,21,
,499900 - Other Interdisciplinary Studies         ,852,,956,997,"1,124",,"2,987","1,752","3,508",,"2,818","1,931","2,951",,"2,047","1,310","2,304",
