,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Clovis Total,,162,,6,,623,,876,,"1,145",,822,,987,,899,,866,
,019900 - Other Agriculture and Natural Resources ,,,,,,,,,,,,,,,,,16,
,130560 - Parenting and Family Education          ,,,6,,14,,6,,7,,5,,7,,2,,4,
,493009 - Supervised Tutoring                     ,162,,,,609,,870,,"1,138",,817,,980,,897,,837,
,"493030 - Learning Skills, Handicapped            ",,,,,,,,,,,,,,,,,5,
,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,,,,,,,,,,4,
