,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Diablo Valley Total,,32,,73,33,84,,121,45,214,,302,119,529,,599,439,610,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,22,,51,,51,
,070200 - Computer Information Systems            ,,,,,,,,,,,,,,,,,32,
,070710 - Computer Programming                    ,,,,,,,,,,,,,,,,,28,
,070810 - Computer Networking                     ,,,,,,,,,,,,,51,,,,27,
,124010 - Dental Assistant                        ,,,,,,,,,,,,,,,,,7,
,"170100 - Mathematics, General                    ",,,,,,,,,,,77,,25,,21,,,
,170200 - Mathematics Skills                      ,,,,23,,,17,,52,,,,,,,,,
,210500 - Administration of Justice               ,,,,,,,,,,,,,9,,,,7,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,,,,,50,
,493010 - Career Guidance and Orientation         ,,,,,,,,14,,,,11,,,,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,57,,244,363,69,
,493084 - English as a Second Language - Writing  ,,,8,,11,,17,,44,,57,29,56,,37,25,46,
,493086 - English as a Second Language - Listening,32,,36,10,44,,40,14,69,,89,42,115,,75,26,92,
,493087 - English as a Second Language - Integrate,,,29,,29,,47,17,49,,79,37,148,,142,25,160,
,493100 - Vocational ESL                          ,,,,,,,,,,,,,46,,29,,41,
