,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Copper Mountain College Total,,"1,037",,842,300,915,,"1,151",515,"2,033",,"2,178",710,"1,515",,771,615,223,
,095200 - Construction Crafts Technology          ,,,,,,,,,,,1,,,,,,,
,095210 - Carpentry                               ,,,,,,,,,,,3,,2,,,,,
,095700 - Civil and Construction Management Techno,,,,,,,,,2,,1,,5,,,,,
,150100 - English                                 ,,,,,,,,,,,,,3,,2,,,
,152000 - Reading                                 ,3,,4,,,,7,,,,,,,,,,,
,170200 - Mathematics Skills                      ,,,,,,,14,5,25,,,1,23,,21,1,,
,213300 - Fire Technology                         ,11,,14,,36,,,,47,,33,,31,,,,,
,213310 - Wildland Fire Technology                ,16,,23,,10,,16,,12,,3,5,5,,,,,
,493009 - Supervised Tutoring                     ,114,,100,3,107,,77,9,,,139,36,174,,190,30,189,
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,,,13,,,
,493062 - Secondary Education (Grades 9-12) and G.,893,,701,297,762,,"1,037",501,"1,947",,"1,998",648,"1,271",,515,578,5,
,493086 - English as a Second Language - Listening,,,,,,,,,,,,20,,,18,,29,
,493090 - Citizenship / ESL Civics                ,,,,,,,,,,,,,1,,12,6,,
