,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Palomar Total,,895,,429,571,"2,141",,"2,692",586,"1,721",,"1,616",738,"1,674",,"1,797",139,"2,537",
,050600 - Business Management                     ,,,,,24,,17,,9,,12,,27,,11,,,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,8,,,,,
,059900 - Other Business and Management           ,,,,,,,7,,,,9,,,,5,,,
,080200 - Educational Aide (Teacher Assistant)    ,,,,,23,,22,,21,,,,23,,29,7,25,
,083510 - Physical Fitness and Body Movement      ,22,,24,,25,,24,,23,,24,,20,,24,,28,
,100200 - Art                                     ,,,,,6,,,,,,,,,,6,,,
,100210 - Painting and Drawing                    ,,,,2,,,,3,,,,4,,,,2,,
,100230 - Ceramics                                ,,,,8,38,,16,,50,,57,44,,,,30,56,
,100400 - Music                                   ,55,,63,13,81,,83,13,89,,58,14,102,,103,,94,
,100910 - Jewelry                                 ,,,10,,6,,8,,8,,4,,12,,8,,16,
,101100 - Photography                             ,2,,,,2,,4,,2,,2,,2,,2,,2,
,101200 - Applied Photography                     ,4,,2,,6,,6,,,,3,,3,,4,,4,
,125000 - Emergency Medical Services              ,,,,,29,,29,,30,,25,,,,34,,70,
,125100 - Paramedic                               ,,,9,,8,,15,,14,,13,,,,,,34,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,,,,,,,,,,,13,
,152000 - Reading                                 ,,,,,2,,,,8,,,,,,,,,
,"170100 - Mathematics, General                    ",,,17,30,,,29,,,,,,,,,,,
,170200 - Mathematics Skills                      ,23,,46,34,27,,43,41,40,,47,19,60,,58,,56,
,220610 - Geographic Information Systems          ,,,4,,,,,24,,,,,,,,24,15,
,493009 - Supervised Tutoring                     ,,,,39,677,,"1,076",40,15,,14,19,18,,14,37,424,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,,,,,,,58,
,493060 - Elementary Education (Grades 1-8)       ,155,,,75,163,,153,52,116,,99,58,121,,114,,115,
,493062 - Secondary Education (Grades 9-12) and G.,23,,46,34,27,,48,52,32,,44,19,61,,62,18,55,
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,8,,5,,,
,493085 - English as a Second Language - Reading  ,,,,,,,,,10,,,,,,,,,
,493086 - English as a Second Language - Listening,134,,69,203,218,,240,260,280,,164,362,293,,276,21,260,
,493087 - English as a Second Language - Integrate,353,,139,116,688,,771,101,882,,947,199,823,,961,,"1,047",
,493090 - Citizenship / ESL Civics                ,23,,,,25,,26,,24,,17,,8,,23,,35,
,493100 - Vocational ESL                          ,101,,,17,66,,75,,68,,77,,85,,58,,127,
,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,3,
