,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Bernardino Total,,"1,296",,"1,681",424,"2,421",,"3,593",668,"4,848",,"4,881",182,"5,328",,"4,708","1,080","4,520",
,050200 - Accounting                              ,,,,,,,,,,,,,,,10,,,
,060420 - Television (including combined TV/Film/V,,,,,,,,,,,,,,,,12,,
,061220 - Film Production                         ,,,,,,,,,,,,,6,,6,15,8,
,"070100 - Information Technology, General         ",,,,,22,,6,,25,,,,26,,22,,,
,083700 - Health Education                        ,,,,,,,,19,,,17,,,,4,,,
,095000 - Aeronautical and Aviation Technology    ,24,,22,14,18,,55,,,,,,,,,,,
,095200 - Construction Crafts Technology          ,,,,,,,,,,,,,,,15,12,12,
,095630 - Machining and Machine Tools             ,49,,20,,,,,,,,,,,,,,,
,095650 - Welding Technology                      ,4,,3,,3,,7,,14,,9,,5,,13,13,6,
,095720 - Construction Inspection                 ,,,,,,,,,,,,,,,3,,,
,095800 - Water and Wastewater Technology         ,17,,21,5,48,,25,25,37,,25,,39,,30,5,35,
,122100 - Pharmacy Technology                     ,,,,,,,8,,14,,11,,16,,22,,18,
,123900 - Psychiatric Technician                  ,,,30,,33,,32,,29,,12,,,,33,,,
,130500 - Child Development/Early Care and Educati,,,,,,,,,,,,,8,,4,,,
,150100 - English                                 ,,,,,,,,,,,15,,422,,279,40,447,
,152000 - Reading                                 ,14,,17,,16,,15,,14,,4,4,16,,10,4,15,
,"170100 - Mathematics, General                    ",,,,,,,,27,93,,91,,73,,93,19,31,
,170200 - Mathematics Skills                      ,252,,820,86,925,,936,330,"1,165",,"1,159",152,918,,718,219,395,
,493009 - Supervised Tutoring                     ,808,,685,273,"1,271",,"2,383",205,"3,288",,"3,241",,"3,410",,"3,049",635,"3,170",
,493012 - Job Seeking/Changing Skills             ,28,,,,,,11,,,,,,,,13,,,
,493084 - English as a Second Language - Writing  ,,,,,,,37,,77,,72,,93,,96,,100,
,493086 - English as a Second Language - Listening,100,,63,46,85,,78,62,92,,211,26,261,,262,64,245,
,493087 - English as a Second Language - Integrate,,,,,,,,,,,14,,35,,26,42,38,
