,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cuesta Total,,"2,241",,"2,411","1,750","2,612",,"2,527","1,368","2,994",,"3,338","1,307","3,226",,"3,310","1,931","3,900",
,"010100 - Agriculture Technology and Sciences, Gen",,,,,,,,,,,18,,,,7,,,
,010200 - Animal Science                          ,,,,,,,,,,,,,26,,,,17,
,010300 - Plant Science                           ,,,,,,,,,,,13,,,,8,,,
,011520 - Wildlife and Fisheries                  ,78,,98,9,120,,106,42,82,,102,26,66,,44,19,53,
,083510 - Physical Fitness and Body Movement      ,72,,88,96,109,,118,81,199,,156,131,213,,258,109,278,
,083580 - Adapted Physical Education              ,,,,20,44,,52,59,55,,100,,,,44,52,78,
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,,,,,7,35,53,
,094900 - Automotive Collision Repair             ,33,,43,,30,,35,,49,,35,,22,,15,,12,
,095650 - Welding Technology                      ,7,,19,,5,,,,3,,2,,5,,12,,2,
,"100100 - Fine Arts, General                      ",98,,77,49,62,,60,37,55,,62,47,9,,23,,58,
,100210 - Painting and Drawing                    ,76,,98,71,87,,89,51,85,,70,54,37,,63,29,58,
,100400 - Music                                   ,29,,33,,,,,,,,,,,,,,,
,101100 - Photography                             ,,,,,,,,,,,26,,,,,,,
,"130600 - Nutrition, Foods, and Culinary Arts     ",55,,39,6,40,,27,,7,,,,,,,,,
,130700 - Hospitality                             ,,,,,,,,,5,,,,,,1,,,
,130710 - Restaurant and Food Services and Managem,,,,,,,3,,,,2,,,,2,,,
,130720 - Lodging Management                      ,1,,,,9,,,,2,,,,2,,,,,
,150100 - English                                 ,18,,11,,,,,,8,,6,10,11,,,,,
,150700 - Creative Writing                        ,62,,52,,46,,57,34,41,,49,,49,,46,55,54,
,493009 - Supervised Tutoring                     ,923,,926,82,935,,880,79,"1,347",,"1,664",,"1,851",,"1,726",201,"2,153",
,493010 - Career Guidance and Orientation         ,,,,,,,,,4,,3,,3,,,2,,
,493012 - Job Seeking/Changing Skills             ,221,,206,184,233,,293,153,248,,222,32,142,,169,19,231,
,493013 - Academic Guidance                       ,5,,2,6,,,,6,3,,14,3,3,,6,10,16,
,493062 - Secondary Education (Grades 9-12) and G.,114,,105,956,139,,138,674,93,,105,832,114,,113,"1,159",110,
,493086 - English as a Second Language - Listening,64,,69,44,73,,58,30,80,,68,29,73,,87,61,73,
,493087 - English as a Second Language - Integrate,245,,341,85,454,,494,65,486,,537,81,480,,586,80,539,
,493100 - Vocational ESL                          ,,,,,4,,,,,,,,,,,12,,
,499900 - Other Interdisciplinary Studies         ,140,,204,142,222,,117,57,142,,84,62,120,,93,88,115,
