,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
West LA Total,,943,540,"1,045",946,"1,635",469,"1,223",892,"2,144",673,"1,519","1,003","2,088",814,"1,630","1,889","2,600",994
,011500 - Natural Resources                       ,,,20,,,,,16,,,17,43,34,,,25,,
,"050100 - Business and Commerce, General          ",22,,34,,14,,59,62,56,29,209,2,75,,44,,66,
,050600 - Business Management                     ,,,,,,,,,,,,,,26,25,10,15,
,051400 - Office Technology/Office Computer Applic,,,25,,24,,,22,14,,,12,17,106,117,28,45,131
,059900 - Other Business and Management           ,,,,,,,,,,,,,,28,9,12,120,38
,070200 - Computer Information Systems            ,,,30,,38,,,,35,,15,,16,,17,,21,
,080200 - Educational Aide (Teacher Assistant)    ,,,10,,9,,,,11,,,,,,,,8,
,094500 - Industrial Systems Technology and Mainte,11,,,16,,,,,,,,,,,14,,50,
,"120100 - Health Occupations, General             ",29,41,44,100,306,93,219,126,383,92,58,126,154,152,102,169,260,163
,150100 - English                                 ,11,,,,7,,,,,,17,,,,22,,,
,170200 - Mathematics Skills                      ,,,36,69,78,,56,63,129,,29,,84,,,31,62,
,210400 - Human Services                          ,,,,,,,,,32,15,30,23,21,,18,,42,
,493009 - Supervised Tutoring                     ,,,,70,,,,106,327,57,,61,390,23,,153,519,
,493010 - Career Guidance and Orientation         ,22,,,,,28,,,42,,46,22,20,,35,,16,13
,493011 - Interpersonal Skills                    ,,34,62,,,,30,,46,13,20,28,45,17,52,7,62,
,493012 - Job Seeking/Changing Skills             ,190,29,255,118,197,25,201,19,284,79,243,120,250,,160,129,319,56
,493013 - Academic Guidance                       ,40,5,9,15,135,2,11,3,17,1,12,5,48,,26,197,69,3
,493014 - Study Skills                            ,35,114,18,15,75,28,39,,43,39,98,3,135,28,33,246,126,160
,493062 - Secondary Education (Grades 9-12) and G.,283,87,250,372,479,35,332,205,325,70,296,202,343,111,432,419,305,79
,493072 - Leadership Skills Development           ,141,32,37,,61,65,9,20,73,47,148,66,142,10,205,34,128,
,493084 - English as a Second Language - Writing  ,,16,,10,,18,,,22,,,10,7,4,13,18,8,5
,493086 - English as a Second Language - Listening,,,,,,,,,,,,,,,,60,15,65
,493087 - English as a Second Language - Integrate,130,165,156,161,161,137,178,214,280,220,281,259,280,309,284,351,322,281
,493100 - Vocational ESL                          ,29,17,59,,51,38,89,36,25,11,,21,27,,22,,22,
