,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,493013 - Academic Guidance                       ,129,43,182,37,192,59,186,55,242,80,208,54,184,75,192,53,185,73
,493014 - Study Skills                            ,"3,017",516,"2,917","1,221","5,733",700,"3,683","2,073","6,987",719,"3,850","1,578","5,086",755,"6,470","2,532","8,237","3,035"
,"493031 - Living Skills, Handicapped              ",101,112,209,169,334,290,395,362,551,411,541,619,621,528,585,591,820,648
,"493032 - Learning Skills, Learning Disabled      ",432,338,392,245,298,256,356,258,527,448,496,316,516,466,563,409,438,398
,"493033 - Learning Skills, Speech Impaired        ",16,,,,8,,,,3,,22,,21,,,,18,
,493060 - Elementary Education (Grades 1-8)       ,603,290,860,"1,743",978,304,707,"1,652","1,280",549,708,588,"1,540",738,"1,092",469,863,643
,493062 - Secondary Education (Grades 9-12) and G.,"3,856","2,657","4,216","25,201","5,077","3,030","5,241","25,434","5,131","3,231","4,766","30,132","5,354","3,928","6,636","38,469","6,613","4,624"
,493084 - English as a Second Language - Writing  ,576,200,498,245,623,327,656,371,790,,774,,785,395,590,216,477,225
,493085 - English as a Second Language - Reading  ,362,177,460,171,371,78,549,115,,456,,461,,402,468,300,506,165
,493086 - English as a Second Language - Listening,795,301,"1,381",540,"1,710",568,"1,543",647,"1,244",592,"1,141",563,"1,199",946,"1,489","1,006","1,464",632
,493087 - English as a Second Language - Integrate,"2,412","1,232","2,406","1,350","2,966","1,396","3,045","1,538","3,018","1,560","2,994","2,070","3,241","1,769","3,690","1,752","4,013","1,768"
,493090 - Citizenship / ESL Civics                ,62,24,48,31,73,29,55,36,56,34,60,65,56,36,57,61,61,36
,493100 - Vocational ESL                          ,62,35,24,24,24,21,22,34,24,34,32,35,47,60,,68,,62
,499900 - Other Interdisciplinary Studies         ,7,27,51,38,18,77,115,111,,,,,,,,,,
