,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
East LA Total,,"2,373",898,"3,743","5,668","4,710","1,187","6,139","6,372","7,846","1,387","2,379","6,799","9,208","1,854","2,104","6,625","2,548",646
,050200 - Accounting                              ,25,,24,,47,,49,,33,,45,,73,,,,,
,050640 - Small Business and Entrepreneurship     ,14,,20,,38,,41,,7,,9,,21,,,,,
,051400 - Office Technology/Office Computer Applic,,,,,,,,88,121,32,67,95,131,,72,40,49,
,093400 - Electronics and Electric Technology     ,,,,299,,,,746,,,,873,18,,54,969,24,25
,095300 - Drafting Technology                     ,,,,18,,,,,,,,13,18,,,,,
,100600 - Technical Theater                       ,,,,,7,,11,,18,,18,,21,,,,19,
,"120100 - Health Occupations, General             ",,,18,,23,,31,,8,,,,,,,,,
,120820 - Administrative Medical Assisting        ,11,,28,,,,,,,,,,,,,,,
,122100 - Pharmacy Technology                     ,,,16,,,,,,,,,,,,,,,
,122800 - Athletic Training and Sports Medicine   ,,,,139,,,,,,,,,,,,,,
,125000 - Emergency Medical Services              ,,,,,,,,,,,,,7,,5,,,
,129900 - Other Health Occupations                ,8,,17,13,,,18,,,,,,,,,,,
,130500 - Child Development/Early Care and Educati,27,3,22,18,293,,64,8,181,42,50,,99,23,25,,10,12
,"130600 - Nutrition, Foods, and Culinary Arts     ",22,17,27,144,26,12,20,,12,11,20,,,,4,,,
,150100 - English                                 ,37,18,59,148,55,20,19,193,101,24,28,258,,18,,131,,11
,152000 - Reading                                 ,,,,110,5,,,,,,,2,,,,,,
,"170100 - Mathematics, General                    ",52,35,45,"2,838",252,148,112,"2,897",520,193,352,"2,712",736,318,171,"2,753",492,95
,170200 - Mathematics Skills                      ,3,,7,,14,,74,,28,,,,,,,,,
,493009 - Supervised Tutoring                     ,474,204,"1,867",773,"1,949",375,"3,886","1,137","4,471",512,,"1,387","5,687",805,,"1,537",,
,493010 - Career Guidance and Orientation         ,,,17,13,20,,,24,17,,,11,,,,,,
,493012 - Job Seeking/Changing Skills             ,335,72,331,98,315,57,381,77,411,17,353,81,409,100,171,52,241,
,493060 - Elementary Education (Grades 1-8)       ,16,,7,,7,,16,,10,,13,,31,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,406,349,276,512,335,273,208,559,503,216,301,836,825,298,707,752,715,186
,493084 - English as a Second Language - Writing  ,,,32,,,,33,,,,,,7,,12,,6,
,493085 - English as a Second Language - Reading  ,16,,37,,22,,28,,25,,,,36,,,,,
,493086 - English as a Second Language - Listening,351,136,320,176,631,225,507,79,588,278,293,71,398,233,135,,131,
,493087 - English as a Second Language - Integrate,486,57,491,318,622,62,592,515,676,62,758,450,616,59,683,372,789,317
,493090 - Citizenship / ESL Civics                ,90,7,82,51,49,15,49,49,116,,72,10,75,,65,19,72,
