,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Alameda Total,,237,,260,,318,,341,,292,,305,11,304,,243,53,155,
,095600 - Manufacturing and Industrial Technology ,,,,,,,,,,,6,11,64,,,,,
,100200 - Art                                     ,12,,6,,10,,20,,16,,24,,16,,22,,20,
,100210 - Painting and Drawing                    ,4,,2,,4,,6,,12,,22,,3,,10,,9,
,100400 - Music                                   ,,,6,,18,,,,14,,8,,18,,14,,12,
,123030 - Certified Nurse Assistant               ,14,,10,,17,,18,,,,,,,,,,,
,"200100 - Psychology, General                     ",,,,,,,,,,,,,12,,,,2,
,493009 - Supervised Tutoring                     ,130,,96,,129,,168,,141,,121,,87,,93,26,,
,493014 - Study Skills                            ,,,,,,,,,,,,,,,,27,,
,"493031 - Living Skills, Handicapped              ",29,,37,,10,,20,,5,,10,,7,,10,,9,
,493086 - English as a Second Language - Listening,12,,23,,39,,47,,46,,45,,42,,48,,17,
,493087 - English as a Second Language - Integrate,36,,80,,91,,62,,58,,69,,55,,46,,86,
