,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Pasadena Total,,"3,030",,"2,741","1,804","4,704",,"4,886","3,682","8,992","2,210","7,864","3,351","10,386","2,741","8,088","2,668","9,933","3,212"
,050200 - Accounting                              ,18,,13,,20,,31,,58,,35,,50,,76,,38,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,35,,85,,70,,63,
,051400 - Office Technology/Office Computer Applic,188,,148,50,214,,206,134,236,75,234,63,272,60,271,113,266,62
,051420 - Medical Office Technology               ,23,,24,,,,17,,8,,31,,16,,34,,20,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,,,,,,31,
,095200 - Construction Crafts Technology          ,,,,,,,,,,,,,,,,,24,
,100400 - Music                                   ,,,,,32,,48,36,61,,2,35,52,,76,52,77,
,103000 - Graphic Art and Design                  ,24,,25,,48,,72,,71,,77,,90,,63,15,69,
,"120100 - Health Occupations, General             ",30,,23,20,,,27,,17,,63,48,111,89,126,53,77,148
,122300 - Health Information Technology           ,,,,7,,,,,,,,,,,,,,
,"130100 - Family and Consumer Sciences, General   ",18,,,,,,22,25,24,,1,,23,,69,,105,
,130500 - Child Development/Early Care and Educati,239,,209,,26,,,,45,,,,46,33,52,19,66,35
,130540 - Preshool Age Children                   ,11,,6,,,,,,,,,,,,,,,
,130560 - Parenting and Family Education          ,,,,143,275,,288,213,317,266,12,215,401,247,431,219,388,268
,130590 - Infants and Toddlers                    ,35,,29,,,,,,,,,,,,,,,
,150400 - Classics                                ,,,,,,,,,,17,2,,60,12,49,,80,18
,150700 - Creative Writing                        ,,,,,,,,,20,,1,,16,,15,,18,
,"170100 - Mathematics, General                    ",,,,,,,,,,,10,,,,18,,,
,210450 - Disability Services                     ,,,,19,38,,35,31,51,,1,,41,,70,,87,
,214000 - Legal and Community Interpretation      ,,,,,27,,36,,51,,50,,67,,49,,57,
,493009 - Supervised Tutoring                     ,487,,513,,544,,136,198,"3,360",,"3,041",716,"3,789",541,"1,905",,"3,595","1,019"
,493012 - Job Seeking/Changing Skills             ,38,,38,,56,,64,,112,,59,,89,,54,,104,
,"493031 - Living Skills, Handicapped              ",27,,22,,19,,17,,,,,,,,,,,
,493060 - Elementary Education (Grades 1-8)       ,103,,106,35,23,,55,22,20,13,26,14,30,,39,,40,15
,493062 - Secondary Education (Grades 9-12) and G.,533,,310,216,531,,495,406,633,179,574,415,662,189,581,563,599,149
,493084 - English as a Second Language - Writing  ,102,,133,32,209,,161,33,177,128,119,92,221,66,167,65,154,93
,493085 - English as a Second Language - Reading  ,58,,73,32,121,,82,28,47,37,67,45,86,38,122,51,86,36
,493086 - English as a Second Language - Listening,247,,287,230,630,,700,522,760,564,629,643,809,523,745,562,819,489
,493087 - English as a Second Language - Integrate,731,,695,933,"1,736",,"2,249","1,921","2,668",901,"2,646","1,036","3,183",910,"2,828",928,"2,851",850
,493090 - Citizenship / ESL Civics                ,12,,15,14,67,,71,47,123,30,73,29,101,33,77,28,107,30
,493100 - Vocational ESL                          ,93,,72,73,88,,74,66,121,,76,,66,,93,,95,
,493200 - General Work Experience                 ,13,,,,,,,,12,,,,20,,8,,17,
