,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Contra Costa Total,,732,,741,124,"1,054",,951,80,"1,277",,"1,072",194,"1,329",,"1,191",329,980,
,043000 - Biotechnology and Biomedical Technology ,3,,11,,6,,20,,2,,2,,,,15,,,
,100200 - Art                                     ,,,31,,63,,,,57,,69,29,54,,55,27,55,
,100400 - Music                                   ,58,,39,,49,,57,,64,,57,,64,,66,,52,
,100700 - Dramatic Arts                           ,,,1,,4,,,,4,,,,1,,4,,3,
,150100 - English                                 ,151,,71,,75,,36,,155,,91,,218,,104,,101,
,493009 - Supervised Tutoring                     ,234,,299,100,346,,301,73,232,,179,49,347,,338,177,164,
,493060 - Elementary Education (Grades 1-8)       ,,,,,,,,,,,6,,,,,,,
,493084 - English as a Second Language - Writing  ,23,,56,,33,,101,,63,,118,,51,,97,,52,
,493085 - English as a Second Language - Reading  ,50,,55,,89,,135,,145,,179,33,121,,150,42,129,
,493086 - English as a Second Language - Listening,67,,50,,118,,81,,162,,97,,170,,108,22,178,
,493087 - English as a Second Language - Integrate,146,,128,24,271,,220,7,393,,274,83,303,,254,61,246,
