,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Victor Valley Total,,"1,526",201,"1,839",135,"1,283",490,"3,078",267,"1,172",774,"3,797",185,"4,103",945,"4,141","1,204","4,445",
,051000 - Logistics and Materials Transportation  ,,,,,,,,,15,,36,,12,,30,,56,
,083500 - Physical Education                      ,1,,,,,,,,,,,,,,,,,
,083510 - Physical Fitness and Body Movement      ,75,,,20,109,,80,,1,,112,66,,,,,,
,083560 - Coaching                                ,,,,,,,,,,,,,,,,,110,
,083580 - Adapted Physical Education              ,,,,,,,7,,8,,,,,,,,,
,094750 - Truck and Bus Driving                   ,,,,,91,23,125,,152,67,253,18,182,108,509,171,222,
,094800 - Automotive Technology                   ,,,2,,20,,,,,21,,,16,,,,,
,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,18,,,,
,095000 - Aeronautical and Aviation Technology    ,,,35,16,43,,,,,,,,,,,,,
,095220 - Electrical                              ,,,,,,,,,,,21,,,,,,,
,095250 - Mill and Cabinet Work                   ,,,,,,,,,,,,,,,,,4,
,100400 - Music                                   ,,,69,,88,,83,,49,,69,,59,,59,,59,
,100800 - Dance                                   ,,,,,14,,,,,,,,,,,,,
,122100 - Pharmacy Technology                     ,,,,,,,,,,,,,,,,39,133,
,125000 - Emergency Medical Services              ,168,64,195,22,154,52,170,,67,,80,,54,39,63,,310,
,129900 - Other Health Occupations                ,29,,46,,29,,47,,,,,,,,,,,
,"130100 - Family and Consumer Sciences, General   ",39,,11,,,,,,,,,,,,,,,
,130300 - Fashion                                 ,,,128,,139,,148,,210,20,225,,224,,191,52,213,
,130310 - Fashion Design                          ,1,,146,,161,,177,,135,52,175,,149,33,46,63,171,
,130500 - Child Development/Early Care and Educati,,,,,,,,,,,,,,,2,,,
,150100 - English                                 ,,,7,,,,,,,,,,,,,,,
,"170100 - Mathematics, General                    ",2,,6,,,,,,,,,,,,,,,
,170200 - Mathematics Skills                      ,,,,,,23,,,,,,,,,,,,
,210550 - Police Academy                          ,,,,,,,,,,,,,,,,8,,
,300700 - Cosmetology and Barbering               ,,,,,,,,,47,,,47,460,134,448,280,487,
,493009 - Supervised Tutoring                     ,"1,209",124,979,,119,271,"1,897",267,,347,"2,073",,"2,410",466,"2,237",397,"2,172",
,493011 - Interpersonal Skills                    ,,,,,,,,,130,138,242,,,,,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,53,,,,66,,
,493062 - Secondary Education (Grades 9-12) and G.,,,6,,17,,19,,40,,71,,94,,97,,91,
,493084 - English as a Second Language - Writing  ,,,,,17,25,65,,48,51,156,1,74,42,141,25,109,
,493086 - English as a Second Language - Listening,,,132,39,163,35,178,,182,22,206,,243,39,276,62,196,
,493087 - English as a Second Language - Integrate,2,13,68,38,105,61,67,,81,56,58,,110,45,15,41,88,
,493090 - Citizenship / ESL Civics                ,,,9,,,,15,,,,20,,,,7,,,
,493100 - Vocational ESL                          ,,,,,14,,,,7,,,,16,21,20,,24,
