,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Marin Total,,"1,082",,"1,015",524,"1,512",,"1,658",752,"2,024",,"2,131",832,"2,067",,"2,177",665,"2,126",
,051430 - Court Reporting                         ,,,,,18,,19,,31,,37,,42,,26,,33,
,083580 - Adapted Physical Education              ,136,,93,87,135,,125,83,164,,159,91,158,,168,52,156,
,095210 - Carpentry                               ,18,,,11,18,,30,,18,,20,,31,,59,23,43,
,150100 - English                                 ,17,,8,,4,,12,,16,,19,,12,,7,,7,
,493010 - Career Guidance and Orientation         ,,,,,,,7,,,,,,,,,,,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,13,,,,,,12,,14,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,1,,,,,
,493014 - Study Skills                            ,,,,,,,,,,,5,,,,,,3,
,493084 - English as a Second Language - Writing  ,20,,9,,96,,98,,95,,137,,166,,124,,151,
,493085 - English as a Second Language - Reading  ,,,,,73,,51,,99,,121,,165,,160,,143,
,493086 - English as a Second Language - Listening,124,,82,21,199,,206,13,218,,186,22,176,,128,16,186,
,493087 - English as a Second Language - Integrate,745,,802,386,949,,"1,081",616,"1,340",,"1,339",706,"1,316",,"1,446",568,"1,333",
,493100 - Vocational ESL                          ,22,,21,19,20,,29,40,30,,108,13,,,47,6,57,
