,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Redwoods Total,,654,,305,218,829,,"1,136",79,"1,162",,"1,004",24,989,,,329,"1,413",
,"070100 - Information Technology, General         ",40,,24,23,34,,118,,142,,116,,70,,,56,115,
,083580 - Adapted Physical Education              ,,,,,,,,,,,,,,,,11,51,
,083700 - Health Education                        ,,,,,11,,40,,32,,32,,44,,,,218,
,085010 - Sign Language Interpreting              ,37,,,,25,,121,,65,,42,,,,,6,,
,095600 - Manufacturing and Industrial Technology ,13,,,,8,,,,,,,,14,,,,10,
,"100100 - Fine Arts, General                      ",42,,,,4,,7,31,43,,,,,,,14,28,
,100400 - Music                                   ,43,,,,40,,36,,,,,,,,,,38,
,120800 - Medical Assisting                       ,28,,,,27,,30,,31,,30,,29,,,,30,
,"130100 - Family and Consumer Sciences, General   ",,,,24,14,,20,,,,,,,,,,,
,152000 - Reading                                 ,,,,18,,,48,,81,,80,24,,,,,,
,"170100 - Mathematics, General                    ",15,,28,,17,,9,,22,,,,19,,,24,25,
,213300 - Fire Technology                         ,27,,,,,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,112,,139,,199,,162,,231,,166,,215,,,,301,
,493010 - Career Guidance and Orientation         ,,,,23,,,,,,,,,,,,,,
,493011 - Interpersonal Skills                    ,91,,33,15,66,,172,12,81,,103,,76,,,39,106,
,493012 - Job Seeking/Changing Skills             ,,,38,22,22,,1,,4,,21,,,,,,20,
,493013 - Academic Guidance                       ,4,,11,,8,,8,,11,,12,,9,,,3,19,
,"493030 - Learning Skills, Handicapped            ",34,,,,31,,37,,44,,40,,17,,,35,,
,"493031 - Living Skills, Handicapped              ",29,,,,62,,73,,66,,67,,80,,,14,58,
,"493032 - Learning Skills, Learning Disabled      ",6,,,,4,,2,,,,,,25,,,8,97,
,493060 - Elementary Education (Grades 1-8)       ,,,,16,,,,,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,79,,15,33,85,,59,36,138,,133,,191,,,66,155,
,493086 - English as a Second Language - Listening,,,,,29,,42,,27,,23,,20,,,16,23,
,493087 - English as a Second Language - Integrate,30,,17,44,103,,151,,144,,139,,168,,,37,119,
,493100 - Vocational ESL                          ,24,,,,40,,,,,,,,12,,,,,
