,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Irvine Total,,"4,175",,"4,699","2,114","5,646",,"6,544","2,781","7,986",,"8,145","3,242","8,686",,"8,699","3,097","8,112",
,050400 - Banking and Finance                     ,,,,,,,24,,35,,21,,36,,29,,,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,34,,,,,
,050970 - E-Commerce (Business emphasis)          ,,,,,,,,,,,5,,,,12,,,
,051100 - Real Estate                             ,,,,,,,,,,,,,,,178,,152,
,051400 - Office Technology/Office Computer Applic,,,,,,,55,,45,,54,,55,,83,,17,
,070200 - Computer Information Systems            ,,,,,25,,,,,,,,,,,,,
,070810 - Computer Networking                     ,,,,,,,,,,,22,,,,31,,,
,083700 - Health Education                        ,"1,026",,"1,188",975,"1,334",,"1,542","1,203","1,806",,"1,981","1,544","1,956",,"2,021","1,456","2,314",
,"100100 - Fine Arts, General                      ",186,,190,173,178,,170,117,125,,129,185,193,,230,179,210,
,100210 - Painting and Drawing                    ,109,,91,87,79,,92,105,87,,93,123,98,,102,107,101,
,100400 - Music                                   ,153,,182,84,203,,239,93,253,,306,110,343,,362,94,359,
,100700 - Dramatic Arts                           ,51,,49,1,51,,66,8,34,,36,2,43,,37,24,16,
,150100 - English                                 ,8,,16,5,34,,71,29,71,,76,21,113,,141,20,93,
,493009 - Supervised Tutoring                     ,299,,272,148,732,,732,190,"1,324",,841,245,"1,136",,773,166,523,
,493086 - English as a Second Language - Listening,"1,047",,"1,203",354,"1,547",,"1,851",606,"1,996",,"2,138",561,"2,059",,"1,970",615,"1,774",
,493087 - English as a Second Language - Integrate,"1,183",,"1,378",209,"1,309",,"1,456",369,"1,838",,"2,021",399,"2,147",,"2,208",372,"2,017",
,493090 - Citizenship / ESL Civics                ,113,,130,78,106,,139,61,112,,111,52,118,,118,64,131,
,493100 - Vocational ESL                          ,,,,,48,,107,,260,,311,,355,,404,,405,
