,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Foothill Total,,"2,837","2,555","2,044","1,027","2,731","2,645","2,238","1,218",,"1,931","1,910",924,"1,687","1,613","1,542",946,"1,268","1,520"
,051400 - Office Technology/Office Computer Applic,25,15,8,,19,8,7,,,6,,,,,,,,
,070700 - Computer Software Development           ,,,,,,,,,,,4,,4,1,12,,3,
,086000 - Educational Technology                  ,150,143,98,75,179,24,,157,,161,154,24,158,194,142,62,126,124
,100200 - Art                                     ,,,,,,,,,,,,,,,,,,1
,100210 - Painting and Drawing                    ,,,,,,,,,,,,,,,,,,4
,100230 - Ceramics                                ,,,,,,,,,,,,,,,,,,8
,100600 - Technical Theater                       ,,,,,,,,,,,,,,,,,5,3
,101200 - Applied Photography                     ,,,,,,,,,,27,38,4,15,29,29,10,28,
,125000 - Emergency Medical Services              ,8,14,13,,,,,,,4,4,35,27,19,13,21,24,22
,130560 - Parenting and Family Education          ,499,631,291,,478,407,157,,,,,,,,,,,
,150100 - English                                 ,348,342,472,,495,560,487,117,,431,113,93,597,142,392,16,123,369
,"170100 - Mathematics, General                    ",522,410,55,120,565,599,593,114,,438,675,139,73,321,78,35,63,258
,170200 - Mathematics Skills                      ,,,,,17,11,12,,,,9,,,,,,14,
,"493030 - Learning Skills, Handicapped            ",,,,540,524,676,644,675,,591,616,436,505,526,527,504,527,480
,"493031 - Living Skills, Handicapped              ",205,96,150,24,80,111,128,52,,74,74,54,34,69,58,124,68,85
,"493033 - Learning Skills, Speech Impaired        ",14,2,32,,,,,,,,,,,,,,,
,493084 - English as a Second Language - Writing  ,51,69,32,,63,49,40,17,,49,45,15,43,40,39,14,55,37
,493085 - English as a Second Language - Reading  ,21,13,24,,34,13,15,,,11,11,,23,14,8,,21,11
,493086 - English as a Second Language - Listening,22,,27,20,16,29,,,,23,19,99,,66,56,138,29,
,493087 - English as a Second Language - Integrate,52,63,66,84,108,103,102,30,,91,123,,159,160,137,22,147,95
,493100 - Vocational ESL                          ,22,19,,,,17,,8,,,,,17,,15,,35,23
,499900 - Other Interdisciplinary Studies         ,898,738,776,164,153,38,53,48,,25,25,25,32,32,36,,,
