,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Ventura Total,,"1,207",,"1,161",42,325,,"1,211",69,"1,734",,"1,579",177,690,,636,136,647,
,"011200 - Agriculture Business, Sales and Service ",23,,13,,12,,,,21,,,,44,,,,16,
,011300 - Food Processing and Related Technologies,,,,,13,,,,5,,5,,9,,17,,2,
,051400 - Office Technology/Office Computer Applic,18,,12,,25,,5,,4,,3,,,,,,,
,094500 - Industrial Systems Technology and Mainte,,,19,,,,,,,,,,,,,,,
,094800 - Automotive Technology                   ,10,,5,,21,,32,,20,,,,56,,30,,,
,095600 - Manufacturing and Industrial Technology ,,,,,,,,,,,,,,,,,4,
,150100 - English                                 ,,,,,,,6,,13,,12,,13,,8,,118,
,"170100 - Mathematics, General                    ",,,,,19,,25,,35,,,,,,,,,
,210550 - Police Academy                          ,36,,40,,40,,30,,39,,35,,75,,49,,38,
,493009 - Supervised Tutoring                     ,936,,898,,,,885,,"1,264",,"1,146",,,,,,,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,,,15,,20,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,11,,1,,18,
,"493030 - Learning Skills, Handicapped            ",56,,50,,48,,50,,,,,,,,,,,
,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,,10,,10,,56,,40,,17,
,493086 - English as a Second Language - Listening,,,,,,,,,,,,,66,,107,92,74,
,493087 - English as a Second Language - Integrate,128,,124,42,147,,178,69,267,,320,177,345,,364,44,360,
,493200 - General Work Experience                 ,,,,,,,,,56,,48,,,,,,,
