,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Riverside Total,,456,771,741,"1,349","1,522","1,166","1,242",303,"1,545","1,051","1,181","1,061","1,011",393,"1,103",821,"1,336",960
,"050100 - Business and Commerce, General          ",,84,,136,,166,,96,,137,,116,,140,,,,82
,050200 - Accounting                              ,42,,,,108,,,,174,,,,112,,,,29,
,050210 - Tax Studies                             ,,18,,,,59,,,,32,20,,,29,21,,,51
,050500 - Business Administration                 ,20,,,,,,,,,,,,,,,,,
,050630 - Management Development and Supervision  ,103,95,,,167,98,,,163,110,,,160,96,,,155,103
,050640 - Small Business and Entrepreneurship     ,79,,,,114,,,,152,,,,237,,,,55,
,050940 - Sales and Salesmanship                  ,,,,,,,23,,,,12,,,,,,,
,051400 - Office Technology/Office Computer Applic,60,32,43,81,113,,79,,34,,68,28,31,,,34,,
,059900 - Other Business and Management           ,,23,64,93,,40,144,125,,111,133,145,,69,165,99,,83
,061400 - Digital Media                           ,,,,,51,,51,,66,,54,,48,,41,,42,
,070710 - Computer Programming                    ,54,28,60,36,159,39,154,30,185,41,131,43,88,23,30,,,
,070810 - Computer Networking                     ,,36,,35,,109,,,,90,,,,36,,,,92
,083700 - Health Education                        ,,303,395,704,435,366,405,30,403,388,419,500,,,393,475,472,388
,089900 - Other Education                         ,11,,,,11,,27,,16,,8,,,,11,,13,
,093600 - Printing and Lithography                ,,,,,13,,23,,32,,23,,18,,22,,23,
,094800 - Automotive Technology                   ,,,,,,72,,,,,,,,,13,,,
,"100100 - Fine Arts, General                      ",,22,26,51,33,35,36,,33,26,29,28,,,32,33,34,28
,100210 - Painting and Drawing                    ,,95,93,192,114,121,129,,128,113,116,110,,,108,99,110,114
,100400 - Music                                   ,,,,,,,15,,21,,26,,28,,72,,86,
,100700 - Dramatic Arts                           ,,,,,,,,,,,,,8,,5,15,6,8
,103000 - Graphic Art and Design                  ,,,,,24,,30,,28,,24,,11,,17,,17,
,130630 - Culinary Arts                           ,,18,,,15,16,,,,,,90,38,,4,66,13,11
,150100 - English                                 ,3,5,7,3,17,16,11,8,26,3,17,1,96,,40,,107,
,152000 - Reading                                 ,11,,10,,6,5,3,,,,3,,5,,4,,4,
,159900 - Other Humanities                        ,,12,9,9,25,,,,,,,,,,,,,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,16,,9,,12,
,300700 - Cosmetology and Barbering               ,6,,11,,3,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,34,,10,,64,24,30,,4,,13,,41,,43,,43,
,493087 - English as a Second Language - Integrate,33,,13,9,50,,82,14,80,,85,,74,,73,,115,
