,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Diego City Total,,112,,598,,"1,760",,638,,"2,063",,"1,550",,401,,493,,,
,493009 - Supervised Tutoring                     ,112,,598,,"1,760",,638,,"2,063",,"1,550",,401,,493,,,
