,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mission Total,,"1,073",,"1,269",994,"1,492",,594,186,826,,799,239,"1,134",48,"1,028",326,"1,279",56
,061220 - Film Production                         ,,,,,,,,,,,,,1,,,,6,
,061430 - Website Design and Development          ,,,,,,,,,,,,,,,3,4,7,
,100200 - Art                                     ,,,,,104,,,,,,,,,,,,,
,101200 - Applied Photography                     ,,,,,,,,,2,,6,,5,,4,4,3,
,103000 - Graphic Art and Design                  ,,,,,,,,,4,,9,7,11,,20,8,11,
,122100 - Pharmacy Technology                     ,,,,,,,,,,,,,171,48,66,,198,56
,126100 - Community Health Care Worker            ,9,,,,,,,,,,,,,,,,,
,493010 - Career Guidance and Orientation         ,,,,,,,,,2,,3,,5,,3,,11,
,493084 - English as a Second Language - Writing  ,59,,24,30,99,,135,29,234,,203,21,277,,222,15,247,
,493085 - English as a Second Language - Reading  ,41,,55,,76,,97,,51,,43,,60,,65,,68,
,493086 - English as a Second Language - Listening,87,,63,23,86,,93,66,234,,216,117,285,,343,174,384,
,493087 - English as a Second Language - Integrate,150,,173,111,241,,223,91,260,,284,94,319,,302,121,344,
,493090 - Citizenship / ESL Civics                ,13,,,,9,,,,,,,,,,,,,
,493100 - Vocational ESL                          ,,,31,,36,,46,,39,,35,,,,,,,
,499900 - Other Interdisciplinary Studies         ,714,,923,830,841,,,,,,,,,,,,,
