,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Skyline Total,,126,,73,25,266,,105,2,132,,65,3,80,,15,4,22,
,493009 - Supervised Tutoring                     ,68,,26,3,180,,55,2,62,,38,3,44,,15,4,16,
,493062 - Secondary Education (Grades 9-12) and G.,58,,47,22,86,,50,,70,,27,,36,,,,6,
