,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Francisco Total,,"2,262",,"2,559","6,293","13,205",,"13,484","5,602","15,615",,"15,266","6,400","15,364",,"16,266","5,380","14,823",
,051400 - Office Technology/Office Computer Applic,62,,,,57,,,,,,18,,37,,28,,,
,059900 - Other Business and Management           ,,,,,,,17,,,,27,,,,,,,
,083700 - Health Education                        ,25,,12,,187,,163,84,249,,263,72,281,,284,95,294,
,095200 - Construction Crafts Technology          ,,,,,9,,,,,,,,,,,,,
,"095230 - Plumbing, Pipefitting and Steamfitting  ",83,,123,,85,,121,10,179,,171,101,299,,275,70,307,
,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,10,,5,,,,12,,16,,14,,10,,12,
,099900 - Other Engineering and Related Industrial,,,,,,,,,,,,,44,,26,,28,
,100210 - Painting and Drawing                    ,,,,,,,,,,,30,,37,,112,,115,
,125000 - Emergency Medical Services              ,,,,,,,,25,,,21,,,,21,,10,
,"126000 - Health Professions, Transfer Core Curric",,,11,,,,,,,,,,,,,,,
,130540 - Preshool Age Children                   ,,,,,30,,30,,29,,27,,25,,27,,24,
,130560 - Parenting and Family Education          ,,,86,,669,,780,,730,,871,,995,,"1,012",,"1,027",
,130570 - Foster and Kinship Care                 ,,,53,,,,,,,,,,,,,,,
,130590 - Infants and Toddlers                    ,,,52,,80,,46,,67,,53,,75,,64,,88,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,5,,,,,,,,,,,
,130630 - Culinary Arts                           ,,,,,17,,19,,29,,41,,41,,42,,45,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,10,,,,,,
,300500 - Custodial Services                      ,,,28,,84,,87,35,106,,111,32,163,,229,30,176,
,493009 - Supervised Tutoring                     ,,,,,,,507,,728,,,,135,,748,,,
,"493030 - Learning Skills, Handicapped            ",629,,589,95,573,,526,51,699,,670,132,732,,758,164,781,
,"493031 - Living Skills, Handicapped              ",728,,664,97,435,,399,87,556,,528,40,409,,410,93,530,
,"493033 - Learning Skills, Speech Impaired        ",39,,37,,,,,,,,,,,,,,,
,493060 - Elementary Education (Grades 1-8)       ,38,,23,82,13,,24,131,37,,54,154,24,,31,45,21,
,493062 - Secondary Education (Grades 9-12) and G.,517,,465,"1,432",965,,938,"1,548","1,081",,"1,098","1,802","1,131",,"1,049","1,134",976,
,493084 - English as a Second Language - Writing  ,,,23,,52,,,,,,,,,,,,,
,493085 - English as a Second Language - Reading  ,,,,,49,,,,,,,,,,,,,
,493086 - English as a Second Language - Listening,46,,37,"2,725","1,161",,938,"2,232","1,154",,"1,189","2,240","1,285",,"1,288","2,214","1,312",
,493087 - English as a Second Language - Integrate,86,,340,"1,623","7,800",,"8,064","1,323","9,061",,"9,168","1,608","8,677",,"8,947","1,446","8,193",
,493090 - Citizenship / ESL Civics                ,,,2,239,411,,170,76,426,,373,209,466,,320,89,377,
,493100 - Vocational ESL                          ,9,,4,,523,,650,,472,,537,,494,,585,,507,
