,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Canyons Total,,"8,652","4,858","9,685","4,610","7,612","4,635","12,105","6,320","9,344","5,559","12,714","8,607","9,168","5,426","12,551","3,789","9,903","5,160"
,010910 - Landscape Design and Maintenance        ,36,8,52,46,18,,43,15,34,15,32,14,34,16,32,14,54,17
,010940 - Turfgrass Technology                    ,,,,,31,,17,25,34,,26,29,33,,26,16,45,
,029900 - Other Architecture and Environmental Des,,,,,,,,,,,5,,,,36,,53,
,050600 - Business Management                     ,101,73,117,134,111,84,123,147,120,72,83,72,65,53,39,94,69,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,2,,4,,6,,5,,4,
,051100 - Real Estate                             ,,,,,,,43,6,64,12,38,43,48,23,69,57,39,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,,,,,15,6
,059900 - Other Business and Management           ,938,222,"1,134",243,"1,041",132,"1,246",779,"1,560",483,"1,653",622,"1,581",199,"1,613",650,"1,597",29
,060600 - Public Relations                        ,,,,,,,,,12,,,,,,7,,12,
,061440 - Animation                               ,17,,8,,14,,15,,,,,,,,,,,
,070200 - Computer Information Systems            ,,,,,,,,,15,12,,,18,,8,5,17,12
,070210 - Software Applications                   ,116,15,89,49,160,32,167,67,192,25,109,74,78,29,88,48,98,19
,080200 - Educational Aide (Teacher Assistant)    ,15,,44,,53,,28,,39,,14,,24,,,,19,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,12,,,14,21,,5
,083520 - Fitness Trainer                         ,20,,20,,33,,116,11,103,,45,,81,,46,,105,
,083570 - Aquatics and Lifesaving                 ,,164,543,171,182,194,944,671,165,266,714,"2,519",230,260,529,169,,13
,083700 - Health Education                        ,579,53,356,218,168,100,271,254,265,75,341,335,420,153,375,282,748,9
,089900 - Other Education                         ,581,95,372,318,406,105,499,174,529,108,407,427,642,172,681,444,923,40
,093600 - Printing and Lithography                ,,,,,,,,,,,,,,16,78,70,48,60
,"095270 - Painting, Decorating, and Flooring      ",,,,,,,,,,,19,34,,,,,,
,095650 - Welding Technology                      ,,,,,,,,,,,119,,51,,63,11,42,
,095730 - Surveying                               ,10,15,74,10,4,,,65,51,17,,,,,,,,33
,100200 - Art                                     ,,,,,,,,,,,,,,,19,29,19,
,100210 - Painting and Drawing                    ,,,,,,,,,,,,,,,,,22,
,101100 - Photography                             ,,,,,,,39,,39,,,,,,,,,
,101200 - Applied Photography                     ,134,,135,67,161,,179,,130,,141,,98,,74,,31,
,101300 - Commercial Art                          ,,,20,,19,,15,,35,,11,,28,,9,,29,
,109900 - Other Fine and Applied Arts             ,,,6,,,,8,,,,19,,,,,,,
,"120100 - Health Occupations, General             ",,,,,,,,,31,,16,,10,,7,,6,
,122200 - Physical Therapist Assistant            ,,,,,,,,,,,,,,,,,14,
,122700 - Diagnostic Medical Sonography           ,,,,,,,,,,,,,,,,32,20,
,122800 - Athletic Training and Sports Medicine   ,,,,,1,,1,,,,1,,,,,,,
,123000 - Nursing                                 ,158,,170,43,180,63,190,62,192,49,276,57,94,12,343,16,113,67
,125000 - Emergency Medical Services              ,136,28,193,74,139,38,75,66,109,16,96,21,73,39,68,32,110,
,129900 - Other Health Occupations                ,,,,,,,,,4,,22,,13,,13,,60,
,130330 - Fashion Production                      ,,,85,107,187,52,179,138,175,75,134,141,152,67,168,89,218,45
,130560 - Parenting and Family Education          ,,,,,,,,,17,,6,,,,,,,
,130630 - Culinary Arts                           ,,,,,39,,16,15,120,18,36,36,65,51,60,87,65,
,130800 - Family Studies                          ,258,123,187,147,206,66,207,220,243,41,169,169,180,88,360,223,330,5
,140200 - Paralegal                               ,,,,,,,40,25,60,,55,21,44,,50,28,50,
,150100 - English                                 ,242,124,21,66,91,,32,13,99,,72,26,80,9,71,15,75,
,170200 - Mathematics Skills                      ,,,,,40,37,47,66,71,17,78,34,73,55,82,57,77,
,210400 - Human Services                          ,74,,42,,22,,,69,43,115,190,,14,,92,,99,
,210500 - Administration of Justice               ,,,,,,,,,,,73,,18,22,10,10,29,33
,213300 - Fire Technology                         ,"2,005","3,193","3,246","1,825",215,"3,014","3,892","2,361",423,"3,359","3,601","2,527",196,"3,231","3,340",,,"4,424"
,214000 - Legal and Community Interpretation      ,80,28,35,35,29,17,20,22,26,,33,36,30,21,23,52,46,
,219900 - Other Public and Protective Services    ,,,,,,,,,7,,,,,,,,,
,"220100 - Social Sciences, General                ",20,,19,,18,,15,,15,,10,,,,,,,
,493009 - Supervised Tutoring                     ,"1,604",172,"1,689",425,"2,774",234,"2,396",418,"2,982",272,"2,612",648,"3,163",300,"2,606",650,"3,200",246
,493010 - Career Guidance and Orientation         ,148,,60,18,121,31,97,,109,,49,,136,,42,,86,
,493014 - Study Skills                            ,175,331,183,371,179,317,242,342,154,393,299,398,201,397,224,268,217,
,493060 - Elementary Education (Grades 1-8)       ,95,42,36,88,115,33,82,46,136,38,83,60,98,49,90,45,93,
,493062 - Secondary Education (Grades 9-12) and G.,624,143,193,92,127,54,100,77,148,44,74,66,76,59,103,61,81,
,493086 - English as a Second Language - Listening,39,29,35,19,29,32,50,18,94,37,274,150,351,94,335,147,270,97
,493087 - English as a Second Language - Integrate,439,,508,44,665,,642,148,685,,661,22,647,11,637,67,632,
,493090 - Citizenship / ESL Civics                ,8,,13,,19,,14,,12,,14,,17,,16,,23,
,493100 - Vocational ESL                          ,,,,,15,,15,,,,,14,,,,,,
