,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Glendale Total,,"4,749","3,485","5,975","4,185","5,379","3,912","7,234","6,050","8,816","5,842","8,900","5,999","8,316","5,002","8,050","5,847","7,677",
,050200 - Accounting                              ,235,239,369,276,361,232,468,493,630,316,406,284,393,225,366,226,256,
,051400 - Office Technology/Office Computer Applic,454,699,"1,179",333,402,202,693,539,"1,340","1,028","1,389",412,479,286,431,184,272,
,051420 - Medical Office Technology               ,14,,9,,,,14,,18,,18,,11,,18,14,10,
,051800 - Customer Service                        ,17,,26,,23,,35,16,44,,41,,39,,28,,37,
,059900 - Other Business and Management           ,29,,30,,25,,47,,44,,55,18,35,,32,,31,
,061210 - Film History and Criticism              ,26,11,32,9,28,11,42,11,46,13,53,20,32,16,22,21,54,
,"070100 - Information Technology, General         ",319,249,340,173,281,137,278,176,330,181,370,102,243,64,201,69,150,
,070210 - Software Applications                   ,446,133,475,113,424,89,423,151,456,166,467,145,467,180,435,171,521,
,079900 - Other Information Technology            ,62,27,89,31,41,,58,45,54,26,42,56,86,28,101,16,48,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,,,,,,14,
,095300 - Drafting Technology                     ,,,,,,,8,,,,,,,,,,,
,095310 - Architectural Drafting                  ,,,,,,,5,,,,,,,,,,,
,"100100 - Fine Arts, General                      ",,,,,,,,,,,,,,,3,,12,
,124000 - Dental Occupations                      ,9,11,9,9,7,,12,,12,12,18,,21,20,27,,28,
,129900 - Other Health Occupations                ,75,95,70,59,76,65,103,89,92,87,93,85,97,91,95,77,118,
,130560 - Parenting and Family Education          ,171,109,182,82,147,131,206,128,261,192,352,144,302,186,268,132,310,
,150700 - Creative Writing                        ,20,15,16,13,16,14,16,19,19,20,23,19,20,20,19,,21,
,152000 - Reading                                 ,,,,,52,62,96,53,126,87,121,67,131,127,122,53,112,
,"170100 - Mathematics, General                    ",,1,5,58,4,,15,31,10,8,37,84,9,,21,54,24,
,170200 - Mathematics Skills                      ,1,58,9,55,,66,7,47,25,53,13,15,11,99,8,28,11,
,"200100 - Psychology, General                     ",,,,,,,,,,,,,11,13,14,,20,
,220500 - History                                 ,31,,31,,23,,28,,28,,30,,32,,30,,26,
,220800 - Sociology                               ,,,,,,,,,,,,,,,,,17,
,493009 - Supervised Tutoring                     ,,,,,,,2,,,1,,,,,,,,
,493012 - Job Seeking/Changing Skills             ,21,12,15,11,24,21,21,28,34,22,28,25,26,14,23,23,12,
,493060 - Elementary Education (Grades 1-8)       ,210,126,254,112,180,101,157,69,109,70,142,84,168,27,124,28,68,
,493062 - Secondary Education (Grades 9-12) and G.,442,179,299,982,231,177,518,"1,044",499,267,632,"1,281",674,210,648,"1,679",611,
,493084 - English as a Second Language - Writing  ,,,8,,8,,4,,5,,2,,4,,7,,1,
,493087 - English as a Second Language - Integrate,"2,102","1,466","2,452","1,814","2,943","2,538","3,909","3,043","4,562","3,263","4,520","3,080","4,950","3,361","4,886","3,005","4,778",
,493090 - Citizenship / ESL Civics                ,65,55,76,55,83,66,69,68,72,30,48,78,75,35,121,67,100,
,499900 - Other Interdisciplinary Studies         ,,,,,,,,,,,,,,,,,15,
