,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA City Total,,"2,901",819,"2,724","1,787","4,520","1,080","5,064","2,233","6,009","1,238","5,051","3,009","6,287","1,394","5,137","2,235","5,309","1,258"
,050500 - Business Administration                 ,,,,,,,,,,,,22,,,,,,
,050640 - Small Business and Entrepreneurship     ,10,,31,10,14,,11,,,30,29,,,23,23,32,,16
,050940 - Sales and Salesmanship                  ,39,,31,20,,,31,40,34,29,18,13,10,25,20,24,19,17
,050970 - E-Commerce (Business emphasis)          ,,,,,16,,,7,,,,24,,,,18,,
,051400 - Office Technology/Office Computer Applic,89,15,84,44,192,49,213,47,138,25,103,80,251,71,137,89,181,131
,070900 - World Wide Web Administration           ,,,,,,,,,,,,,12,,,,22,
,"120100 - Health Occupations, General             ",65,17,99,88,135,18,91,67,177,17,101,196,87,63,114,146,147,68
,120510 - Phlebotomy                              ,,,,,32,,44,,44,,36,,17,16,28,,29,
,120800 - Medical Assisting                       ,,,,,47,33,50,69,134,74,64,63,108,53,77,70,89,100
,121900 - Optical Technology                      ,,,,,21,19,33,16,47,,30,60,29,,,,,
,123080 - Home Health Aide                        ,61,,54,14,66,,77,42,155,,131,,131,,162,,97,
,125000 - Emergency Medical Services              ,,,,,,,,,31,,,,28,,28,,23,
,129900 - Other Health Occupations                ,,,,,,,,,,,,,64,,54,14,70,95
,130560 - Parenting and Family Education          ,,,,,,,8,,,,,,,,,,,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,7,,,,,,,,,,,,,
,130710 - Restaurant and Food Services and Managem,25,,6,,,,,,,,,,,,,,,
,"170100 - Mathematics, General                    ",,,,,,,,,,,,15,,,,,,
,493009 - Supervised Tutoring                     ,626,35,484,115,643,64,723,227,"1,044",184,463,407,"1,538",265,929,268,"1,275",142
,493011 - Interpersonal Skills                    ,19,9,28,,16,12,11,13,17,,18,,22,,,,38,
,493012 - Job Seeking/Changing Skills             ,232,35,173,64,260,38,290,83,376,21,413,128,311,62,272,141,325,59
,493013 - Academic Guidance                       ,47,,,307,,18,14,,24,20,7,485,,,,30,7,34
,493014 - Study Skills                            ,,,,15,,,,38,,,,16,,,,,,
,493060 - Elementary Education (Grades 1-8)       ,57,143,83,39,82,12,64,,28,19,53,,52,17,52,,51,12
,493062 - Secondary Education (Grades 9-12) and G.,268,114,191,141,238,79,201,162,348,79,309,137,285,123,333,195,260,94
,493072 - Leadership Skills Development           ,,,,,,,,,,,,,,,,,,8
,493086 - English as a Second Language - Listening,279,152,352,244,764,271,804,343,"1,153",379,820,429,983,390,652,365,812,192
,493087 - English as a Second Language - Integrate,996,281,"1,036",655,"1,896",453,"2,311","1,025","2,107",361,"2,329",934,"2,212",267,"2,110",843,"1,671",290
,493100 - Vocational ESL                          ,88,18,72,31,91,14,88,54,152,,127,,147,19,146,,193,
