,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mendocino Total,,"1,085",,"1,177",444,"1,604",,"1,428",328,"1,750",,"1,605",188,958,,987,298,"1,245",
,"070100 - Information Technology, General         ",74,,85,,11,,15,,7,,21,,,,,,,
,070210 - Software Applications                   ,,,,,12,,9,,5,,2,,,,,,,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,41,,,,,,,
,094800 - Automotive Technology                   ,,,,,,,,,,,2,,,,,,,
,095200 - Construction Crafts Technology          ,42,,53,,99,,49,,100,,73,,26,,,,,
,"100100 - Fine Arts, General                      ",,,34,,68,,94,27,134,,154,,29,,62,,119,
,100400 - Music                                   ,,,20,,106,,87,,184,,157,,,,,,46,
,100800 - Dance                                   ,,,,,,,,,,,,6,,,,,48,
,110500 - Spanish                                 ,,,,,,,29,,48,,11,,,,,,,
,123010 - Registered Nursing                      ,,,,,,,,,15,,,,,,,,,
,125000 - Emergency Medical Services              ,11,,4,,15,,,,28,,26,,,,,,,
,150100 - English                                 ,467,,360,170,532,,416,134,577,,357,124,679,,587,221,535,
,150700 - Creative Writing                        ,32,,26,16,32,,62,,60,,22,,,,19,,64,
,"170100 - Mathematics, General                    ",107,,102,79,134,,124,34,53,,99,16,28,,174,67,122,
,170200 - Mathematics Skills                      ,,,,,35,,44,2,,,34,5,,,35,2,51,
,493009 - Supervised Tutoring                     ,20,,42,7,78,,68,16,28,,72,7,66,,,,,
,493010 - Career Guidance and Orientation         ,,,,,15,,,,,,,,,,,,,
,493011 - Interpersonal Skills                    ,16,,41,,,,30,,45,,45,,,,,,45,
,493012 - Job Seeking/Changing Skills             ,10,,,,27,,,,,,,,,,,,,
,"493032 - Learning Skills, Learning Disabled      ",20,,29,,36,,28,,30,,34,,,,,,29,
,493062 - Secondary Education (Grades 9-12) and G.,9,,52,34,47,,36,9,33,,46,13,,,,8,26,
,493086 - English as a Second Language - Listening,98,,88,90,79,,46,27,81,,114,,39,,20,,90,
,493087 - English as a Second Language - Integrate,179,,241,48,278,,291,79,322,,295,17,91,,90,,70,
