,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Antelope Valley Total,,426,,358,47,612,,495,62,927,,"1,259",324,"1,584",129,"1,350",277,"1,772",247
,"050100 - Business and Commerce, General          ",,,,,,,,,,,,,,,,,73,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,35,,25,,32,
,059900 - Other Business and Management           ,,,,,,,,,,,,25,,,,,,
,060700 - Technical Communication                 ,,,,,,,,,,,,,,,,,28,11
,070210 - Software Applications                   ,,,,,,,,,,,,25,7,,,,,
,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,17,,16,7,27,
,"092400 - Engineering Technology, General (require",,,,,,,,,,,,,,,,,15,
,095650 - Welding Technology                      ,,,,,,,,,,,,,,,,19,,20
,100500 - Commercial Music                        ,,,,,,,,,,,,,6,,,,,
,"120100 - Health Occupations, General             ",,,,,,,,,,,,,133,63,84,53,56,72
,123000 - Nursing                                 ,,,,,,,,,,,,,,8,,25,,24
,123010 - Registered Nursing                      ,177,,155,,271,,259,,244,,242,,229,,247,12,249,
,150100 - English                                 ,,,,,,,,,,,,,233,,180,,384,54
,152000 - Reading                                 ,,,,,,,,,2,,,,,,,,,
,219900 - Other Public and Protective Services    ,,,,,,,,,,,,,4,,2,,20,
,493009 - Supervised Tutoring                     ,,,,,,,,,397,,743,185,693,58,586,99,637,66
,493084 - English as a Second Language - Writing  ,67,,54,29,87,,42,15,76,,79,41,57,,58,,48,
,493085 - English as a Second Language - Reading  ,87,,59,18,105,,78,47,85,,84,25,74,,66,62,96,
,493086 - English as a Second Language - Listening,50,,60,,88,,84,,91,,83,,72,,63,,66,
,493087 - English as a Second Language - Integrate,45,,30,,61,,32,,32,,28,23,24,,23,,41,
