,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Sequoias Total,,"1,170",,"1,481",139,"2,539",,"1,143",116,"1,191",,"1,258",107,"1,535",,"3,084",300,"3,362",
,100400 - Music                                   ,,,,,,,,,,,,,,,36,,56,
,"120100 - Health Occupations, General             ",46,,23,11,40,,38,18,56,,41,13,57,,54,15,57,
,122100 - Pharmacy Technology                     ,20,,14,,20,,15,,,,16,,20,,19,,23,
,122200 - Physical Therapist Assistant            ,46,,2,,26,,19,,,,22,,49,,23,,47,
,123000 - Nursing                                 ,99,,78,,118,,60,,44,,141,,189,,167,,193,
,125000 - Emergency Medical Services              ,,,52,,41,,,,58,,61,,78,,89,,85,
,125100 - Paramedic                               ,,,,,,,,,,,,,11,,10,,15,
,"170100 - Mathematics, General                    ",,,,,429,,,,,,,,,,497,75,595,
,493009 - Supervised Tutoring                     ,,,,,706,,2,,,,,,,,"1,098",115,"1,258",
,493084 - English as a Second Language - Writing  ,332,,435,,381,,327,,356,,332,,373,,337,,334,
,493085 - English as a Second Language - Reading  ,313,,416,,359,,319,,320,,313,,364,,357,,339,
,493086 - English as a Second Language - Listening,301,,428,128,400,,330,98,341,,307,94,378,,371,95,352,
,493087 - English as a Second Language - Integrate,13,,33,,19,,33,,16,,25,,16,,26,,8,
