,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Butte Total,,"1,325",674,"1,439",660,"1,939",673,"2,103",991,"3,457",880,"3,037",137,"4,044",967,"3,382","1,001","3,897",
,061410 - Multimedia                              ,103,,123,,159,,147,19,152,,148,,287,,251,,251,
,083510 - Physical Fitness and Body Movement      ,,26,49,52,52,49,56,22,42,20,43,,38,18,21,27,27,
,100400 - Music                                   ,,,,,,,22,20,39,19,34,,66,19,50,20,46,
,100700 - Dramatic Arts                           ,,,,,,,,,,,,,,,,,3,
,130500 - Child Development/Early Care and Educati,10,,12,,11,,6,,7,,8,,,,,,,
,130570 - Foster and Kinship Care                 ,,,,,,,,,,,,,,,,,24,
,152000 - Reading                                 ,,,,,,,,,,,,,9,,28,,21,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,,,12,21,
,300700 - Cosmetology and Barbering               ,30,,,,,,1,,,,,,,,13,,8,
,493009 - Supervised Tutoring                     ,518,16,453,5,847,,800,7,"1,169",,"1,035",,"1,330",,"1,731",20,"1,981",
,493010 - Career Guidance and Orientation         ,,,9,,7,,,,6,,7,,23,,7,,6,
,493011 - Interpersonal Skills                    ,44,,22,18,46,12,23,,39,27,34,,49,18,20,32,40,
,493012 - Job Seeking/Changing Skills             ,16,,56,,29,,61,,16,,42,,33,,42,,37,
,493013 - Academic Guidance                       ,73,84,91,72,72,122,74,81,139,58,112,,164,61,80,97,97,
,493014 - Study Skills                            ,,,,,,,,23,36,13,8,,33,13,13,13,13,
,"493030 - Learning Skills, Handicapped            ",246,273,244,201,201,256,459,525,"1,037",512,862,,"1,085",577,558,538,558,
,"493031 - Living Skills, Handicapped              ",168,275,261,283,283,234,179,205,436,231,309,,455,235,219,157,238,
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,,,,,12,
,493087 - English as a Second Language - Integrate,109,,119,29,232,,275,89,339,,395,137,446,26,321,85,482,
,493090 - Citizenship / ESL Civics                ,,,,,,,,,,,,,,,,,23,
,493100 - Vocational ESL                          ,8,,,,,,,,,,,,26,,28,,9,
