,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mt. San Jacinto Total,,"1,340",,"1,416",509,"1,774",,"1,926",539,"2,023",,"1,964",478,"1,470",,"1,441",,"1,581",
,"050100 - Business and Commerce, General          ",25,,32,,38,,57,,45,,66,,22,,25,,24,
,061400 - Digital Media                           ,32,,41,,19,,24,,39,,34,,19,,18,,29,
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,,,,,,,12,
,094800 - Automotive Technology                   ,,,,,9,,29,,20,,17,,12,,10,,16,
,095200 - Construction Crafts Technology          ,12,,20,,27,,36,,32,,20,,18,,14,,20,
,100210 - Painting and Drawing                    ,26,,23,,36,,39,,41,,54,,47,,50,,51,
,100230 - Ceramics                                ,53,,48,,62,,62,,64,,81,,82,,84,,82,
,100400 - Music                                   ,71,,68,,50,,106,,78,,,,45,,25,,81,
,"120100 - Health Occupations, General             ",,,26,,25,,19,,36,,15,,22,,15,,21,
,130500 - Child Development/Early Care and Educati,13,,10,,10,,17,,24,,24,,7,,22,,17,
,130630 - Culinary Arts                           ,33,,25,,18,,33,,34,,31,,26,,28,,17,
,493013 - Academic Guidance                       ,10,,7,,23,,19,,16,,34,,7,,12,,16,
,493014 - Study Skills                            ,,,,,76,,,,,,,,,,,,,
,493060 - Elementary Education (Grades 1-8)       ,22,,29,,28,,,,18,,16,,9,,8,,34,
,493062 - Secondary Education (Grades 9-12) and G.,319,,333,168,391,,484,168,485,,475,136,377,,343,,329,
,493087 - English as a Second Language - Integrate,637,,680,302,877,,904,331,997,,998,320,717,,741,,754,
,493090 - Citizenship / ESL Civics                ,87,,74,39,85,,97,40,94,,99,22,60,,46,,78,
