,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santiago Canyon Total,,"10,557","6,942","9,792","5,935","9,048","9,678","14,242","7,456","11,777","12,626","15,633","8,329","12,803","14,800","16,292","5,643","7,787","8,510"
,010200 - Animal Science                          ,,,,,,,,,,,36,12,17,14,14,,,
,030300 - Environmental Technology                ,,,,,,,,,,,,,16,26,21,,21,25
,050200 - Accounting                              ,27,26,31,20,63,,67,38,225,214,202,102,88,167,237,49,,
,050400 - Banking and Finance                     ,28,37,69,21,,36,65,59,118,53,128,59,88,61,135,,,
,050600 - Business Management                     ,14,37,37,28,46,24,50,50,132,107,158,73,145,164,184,39,68,89
,050900 - Marketing and Distribution              ,38,26,63,84,128,46,88,63,91,17,120,58,88,94,147,,,
,051100 - Real Estate                             ,,,,,,,,,8,,79,23,81,,85,,,
,051110 - Escrow                                  ,,,,,,,,,,,6,,6,,6,,,
,051400 - Office Technology/Office Computer Applic,383,272,351,196,477,140,338,192,314,199,275,138,235,256,450,78,154,202
,051800 - Customer Service                        ,37,21,29,8,38,21,13,8,8,,,,48,64,20,,18,21
,061000 - Mass Communications                     ,43,24,71,50,85,19,34,32,81,43,102,34,82,62,87,,,
,061400 - Digital Media                           ,21,8,20,25,53,22,22,37,66,21,54,26,33,32,48,,,
,061410 - Multimedia                              ,36,55,69,73,138,84,148,120,244,190,281,150,138,123,169,2,2,7
,061430 - Website Design and Development          ,26,19,35,20,107,47,73,51,117,50,104,34,72,61,128,15,11,12
,061460 - Computer Graphics and Digital Imagery   ,56,89,116,65,140,47,79,48,116,68,152,55,72,80,147,4,,
,070210 - Software Applications                   ,87,52,124,70,155,69,226,78,393,384,425,197,181,126,203,5,17,29
,070910 - E-Commerce (Technology emphasis)        ,18,,17,,13,10,10,8,20,,36,24,31,31,56,,,
,083700 - Health Education                        ,801,539,640,315,454,543,612,508,582,633,607,449,792,"1,025",984,898,"1,079","1,269"
,095600 - Manufacturing and Industrial Technology ,18,19,18,13,13,17,22,29,54,34,28,13,11,20,20,,,
,"100100 - Fine Arts, General                      ",,,,,,,,,,,,,27,169,232,172,182,142
,100400 - Music                                   ,721,530,596,462,375,429,472,464,581,643,697,542,687,715,918,670,855,813
,101200 - Applied Photography                     ,12,10,11,6,17,11,26,26,37,17,109,71,67,77,113,27,47,55
,"120100 - Health Occupations, General             ",,,,,,10,10,8,8,,,,,,,,,
,120800 - Medical Assisting                       ,,,,,,62,46,38,113,158,371,210,467,264,479,137,262,230
,120820 - Administrative Medical Assisting        ,48,39,39,32,86,63,51,42,94,65,170,65,83,86,158,,,
,122310 - Health Information Coding               ,44,37,37,32,83,50,51,36,97,73,181,72,80,80,151,,,
,123030 - Certified Nurse Assistant               ,98,54,125,70,97,46,178,95,169,147,214,121,161,165,285,165,216,159
,129900 - Other Health Occupations                ,103,15,137,60,62,7,157,100,69,254,221,78,359,141,554,,,
,130500 - Child Development/Early Care and Educati,285,142,193,98,157,151,378,108,134,219,354,204,225,294,271,53,62,47
,"130600 - Nutrition, Foods, and Culinary Arts     ",300,177,244,197,187,190,131,88,202,203,126,107,34,91,103,120,119,139
,130630 - Culinary Arts                           ,247,224,241,99,235,219,295,121,138,164,265,149,191,305,246,39,72,100
,130900 - Gerontology                             ,"1,662",958,"1,180",814,993,"1,147","1,353","1,205","1,573","1,744","1,718","1,267","1,673","1,734","1,831","1,543","1,627","1,617"
,210440 - Alcohol and Controlled Substances       ,244,141,185,109,181,157,389,118,136,231,299,190,197,302,254,58,57,54
,300500 - Custodial Services                      ,,,,,,,,,,,12,24,,,,,,
,309900 - Other Commercial Services               ,,,,,,,,,,,,,19,30,20,,17,27
,493009 - Supervised Tutoring                     ,,,,,,,,9,152,1,158,,197,9,135,24,420,323
,493010 - Career Guidance and Orientation         ,,,,,,,,,259,281,496,277,402,489,494,105,130,132
,493011 - Interpersonal Skills                    ,830,602,665,335,753,496,978,284,279,300,416,242,290,445,324,51,48,47
,493012 - Job Seeking/Changing Skills             ,44,27,46,77,45,94,101,65,121,169,217,112,116,164,257,29,30,56
,493014 - Study Skills                            ,,,,,,,68,6,7,,7,,,,,,,1
,"493030 - Learning Skills, Handicapped            ",101,33,123,115,40,79,176,147,129,165,255,155,62,137,225,105,74,149
,493060 - Elementary Education (Grades 1-8)       ,405,252,252,127,207,318,381,7,111,137,272,178,202,291,186,3,18,25
,493062 - Secondary Education (Grades 9-12) and G.,"2,451","1,421","2,315","1,373","2,248","2,765","4,457","1,768","2,893","2,975","3,600","1,338","2,865","3,370","3,139",626,"1,160","1,630"
,493084 - English as a Second Language - Writing  ,43,25,45,15,30,75,125,59,90,113,114,61,70,110,111,,6,6
,493086 - English as a Second Language - Listening,320,176,280,219,295,435,468,292,407,579,561,342,446,618,600,71,158,247
,493087 - English as a Second Language - Integrate,926,837,"1,362",707,"1,031","1,717","2,088","1,049","1,381","1,935","1,972","1,035","1,588","2,203","1,973",535,845,845
,493100 - Vocational ESL                          ,40,18,26,,16,32,16,,28,40,35,42,71,105,92,20,12,12
