,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
MiraCosta Total,,"3,665",,"3,894","1,413","4,160",,"4,663","1,655","4,264",,"4,298","1,693","4,664",,"4,624","1,699","4,554",
,010900 - Horticulture                            ,,,,,,,,,,,27,,19,,,,1,
,051100 - Real Estate                             ,,,,,73,,71,,75,,,,47,,22,,59,
,051400 - Office Technology/Office Computer Applic,49,,19,,63,,86,,45,,33,,34,,60,,40,
,070210 - Software Applications                   ,204,,191,46,191,,215,47,137,,167,45,150,,94,44,124,
,080200 - Educational Aide (Teacher Assistant)    ,,,,,106,,71,,66,,69,,117,,70,,79,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,181,282,,256,175,251,
,083700 - Health Education                        ,47,,,27,53,,22,,80,,18,,62,,45,,80,
,094800 - Automotive Technology                   ,,,32,,24,,22,,17,,22,,,,7,,,
,100210 - Painting and Drawing                    ,314,,342,128,323,,347,111,159,,222,112,329,,295,108,342,
,100220 - Sculpture                               ,,,24,,22,,27,,25,,,,56,,73,,110,
,100400 - Music                                   ,87,,82,,,,,,,,,,,,,,,
,123010 - Registered Nursing                      ,,,,,,,,,46,,44,,48,,57,28,35,
,150100 - English                                 ,35,,41,18,44,,51,42,44,,40,33,23,,28,11,28,
,150700 - Creative Writing                        ,56,,74,51,92,,69,60,64,,70,28,66,,60,27,58,
,152000 - Reading                                 ,,,1,,,,,,,,,,,,3,,,
,"170100 - Mathematics, General                    ",29,,28,9,40,,35,23,36,,32,17,25,,28,25,39,
,"200100 - Psychology, General                     ",33,,46,24,32,,38,18,33,,26,25,38,,38,21,59,
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,,,,,21,
,493012 - Job Seeking/Changing Skills             ,33,,37,20,17,,12,,9,,7,,16,,9,,23,
,"493032 - Learning Skills, Learning Disabled      ",109,,99,33,93,,106,43,82,,77,50,60,,40,47,56,
,493062 - Secondary Education (Grades 9-12) and G.,811,,697,256,703,,862,329,876,,967,376,754,,991,433,810,
,493072 - Leadership Skills Development           ,,,,,,,,,,,,,14,,22,19,25,
,493084 - English as a Second Language - Writing  ,24,,34,,22,,24,,22,,34,,40,,34,,26,
,493086 - English as a Second Language - Listening,15,,12,,29,,33,23,16,,38,13,28,,34,20,39,
,493087 - English as a Second Language - Integrate,"1,662",,"1,980",762,"2,034",,"2,409",910,"2,195",,"2,210",784,"2,229",,"2,243",713,"2,041",
,493090 - Citizenship / ESL Civics                ,111,,126,39,115,,91,49,107,,84,29,95,,82,28,94,
,493100 - Vocational ESL                          ,46,,29,,31,,39,,26,,15,,,,,,,
,493200 - General Work Experience                 ,,,,,53,,33,,104,,96,,132,,33,,114,
