,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
El Camino Total,,8,,77,,128,,25,8,18,,,,574,29,778,26,,21
,050400 - Banking and Finance                     ,,,,,,,,,,,,,2,,,,,
,100400 - Music                                   ,8,,39,,72,,,,,,,,83,,86,,,
,120900 - Hospital Central Service Technician     ,,,,,,,,,,,,,29,,38,,,
,129900 - Other Health Occupations                ,,,,,,,,,,,,,7,,,,,
,493009 - Supervised Tutoring                     ,,,9,,5,,,,,,,,30,,178,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,,29,,26,,21
,493014 - Study Skills                            ,,,,,47,,25,8,16,,,,2,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,,,,,,,,,,,,,12,,16,,,
,493084 - English as a Second Language - Writing  ,,,6,,4,,,,2,,,,22,,7,,,
,493086 - English as a Second Language - Listening,,,7,,,,,,,,,,34,,,,,
,493087 - English as a Second Language - Integrate,,,2,,,,,,,,,,353,,359,,,
,493100 - Vocational ESL                          ,,,14,,,,,,,,,,,,94,,,
