,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Deanza Total,,323,492,580,263,754,844,752,420,,"1,074",878,473,"1,077","1,143",993,541,"1,232",373
,050600 - Business Management                     ,,,,,,,,,,,,,6,16,22,,20,
,051100 - Real Estate                             ,,122,202,77,162,212,170,114,,215,175,113,171,180,181,133,193,
,060200 - Journalism                              ,,,,,,,,,,,,,,,,,3,
,061460 - Computer Graphics and Digital Imagery   ,,,7,11,12,,12,15,,,12,14,17,,19,17,11,
,"070100 - Information Technology, General         ",,4,5,8,9,27,24,30,,43,32,52,46,33,25,52,47,
,070710 - Computer Programming                    ,10,19,14,25,24,24,23,27,,46,29,60,56,61,40,66,59,
,070720 - Database Design and Administration      ,,,,,,,,,,,,,32,10,15,,23,
,070800 - Computer Infrastructure and Support     ,,5,16,11,11,10,7,9,,8,14,8,8,8,6,10,4,
,094800 - Automotive Technology                   ,73,48,29,7,67,47,72,20,,54,74,29,70,80,59,51,63,60
,094840 - Alternative Fuels and Advanced Transport,,,,,,8,,,,6,,,,,5,12,,
,101200 - Applied Photography                     ,9,40,50,11,38,45,52,18,,64,54,5,45,47,53,7,58,
,"170100 - Mathematics, General                    ",,,,,19,7,,,,,,,,,,,,1
,493084 - English as a Second Language - Writing  ,20,24,33,14,50,56,55,22,,79,63,21,69,65,77,26,71,
,493085 - English as a Second Language - Reading  ,18,29,31,22,44,58,38,25,,73,64,26,51,71,53,34,57,
,493086 - English as a Second Language - Listening,84,87,77,33,157,166,149,54,,228,174,51,228,256,204,60,303,184
,493087 - English as a Second Language - Integrate,109,114,116,44,161,184,150,86,,258,187,94,278,316,234,73,320,128
