,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Lassen Total,,301,,468,120,294,,468,154,507,,513,137,452,,544,267,556,
,"070100 - Information Technology, General         ",27,,133,,30,,165,,49,,65,,64,,73,,19,
,070210 - Software Applications                   ,,,,,,,,,,,,14,,,,,,
,070910 - E-Commerce (Technology emphasis)        ,,,,,,,,21,29,,12,,8,,,,,
,083580 - Adapted Physical Education              ,,,,14,15,,,19,18,,,18,16,,,19,16,
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,,,36,,,,5,
,094800 - Automotive Technology                   ,,,,40,,,,,,,,,,,,,,
,100210 - Painting and Drawing                    ,,,,,,,,,,,,,,,,,4,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,14,,16,
,150100 - English                                 ,3,,9,,2,,,,,,,,,,,,4,
,"170100 - Mathematics, General                    ",157,,192,39,70,,,,,,34,1,4,,44,,20,
,210500 - Administration of Justice               ,,,,,,,100,57,152,,178,49,33,,,14,,
,493012 - Job Seeking/Changing Skills             ,,,27,,,,24,,15,,12,,,,16,,,
,493014 - Study Skills                            ,109,,81,,120,,118,24,183,,150,26,229,,337,206,410,
,"493030 - Learning Skills, Handicapped            ",,,,,23,,23,,22,,22,,22,,20,,23,
,"493031 - Living Skills, Handicapped              ",,,19,23,24,,24,24,21,,24,24,23,,24,22,23,
,493062 - Secondary Education (Grades 9-12) and G.,5,,7,4,10,,14,9,18,,16,5,17,,16,6,10,
,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,6,
