,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Lemoore College Total,,733,,300,,487,,678,20,33,,5,500,250,,273,277,398,
,"010100 - Agriculture Technology and Sciences, Gen",,,,,,,,,,,,,,,,37,,
,050640 - Small Business and Entrepreneurship     ,12,,,,,,,,,,5,,,,,,,
,051400 - Office Technology/Office Computer Applic,5,,5,,18,,,,,,,,,,,,,
,093400 - Electronics and Electric Technology     ,,,,,,,,,,,,,15,,25,24,,
,094500 - Industrial Systems Technology and Mainte,,,,,,,,,,,,,15,,36,7,,
,130630 - Culinary Arts                           ,,,,,,,,,,,,12,,,,22,,
,493009 - Supervised Tutoring                     ,433,,295,,433,,380,,,,,1,,,,,398,
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,11,,4,,,
,"493031 - Living Skills, Handicapped              ",259,,,,,,215,,,,,396,209,,208,187,,
,493087 - English as a Second Language - Integrate,24,,,,36,,83,20,33,,,91,,,,,,
