,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Monterey Total,,825,,715,166,930,,"1,071",221,"1,184",,"1,234",193,"1,295",,"1,222",,818,
,010900 - Horticulture                            ,9,,8,7,7,,6,15,13,,12,,8,,9,,,
,011510 - Parks and Outdoor Recreation            ,38,,36,46,49,,54,36,48,,35,32,41,,44,,55,
,051400 - Office Technology/Office Computer Applic,1,,17,5,14,,23,8,9,,19,8,3,,3,,,
,051800 - Customer Service                        ,1,,1,,,,1,,,,3,,1,,1,,,
,100210 - Painting and Drawing                    ,34,,25,19,23,,20,14,18,,35,15,,,31,,,
,100400 - Music                                   ,19,,15,,32,,39,,37,,37,,56,,55,,4,
,100700 - Dramatic Arts                           ,,,3,,6,,3,,1,,13,,20,,15,,5,
,125000 - Emergency Medical Services              ,,,10,,4,,4,,2,,10,,6,,4,,1,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,5,,,,13,,,,,,,
,130630 - Culinary Arts                           ,33,,21,3,15,,22,4,17,,22,,22,,23,,18,
,130700 - Hospitality                             ,,,,,,,,,,,,,1,,,,,
,130710 - Restaurant and Food Services and Managem,6,,,,,,1,,3,,6,,9,,12,,,
,150100 - English                                 ,145,,90,16,163,,180,27,152,,120,27,183,,185,,,
,"170100 - Mathematics, General                    ",94,,77,15,139,,121,18,220,,234,16,249,,196,,,
,213350 - Fire Academy                            ,,,,,,,,,,,,,,,,,4,
,"220100 - Social Sciences, General                ",,,,,66,,,,,,,,78,,,,,
,220500 - History                                 ,,,,,,,64,,,,,,,,67,,232,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,,,,,246,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,,,,,,,16,
,"493031 - Living Skills, Handicapped              ",40,,78,38,16,,65,42,45,,85,41,43,,16,,,
,493062 - Secondary Education (Grades 9-12) and G.,300,,220,,192,,204,,280,,279,,236,,216,,,
,493084 - English as a Second Language - Writing  ,45,,42,,83,,98,,98,,110,,106,,120,,,
,493086 - English as a Second Language - Listening,56,,59,,113,,127,11,180,,153,26,175,,158,,115,
,493087 - English as a Second Language - Integrate,4,,13,17,8,,34,46,61,,48,28,51,,35,,98,
,493200 - General Work Experience                 ,,,,,,,,,,,,,7,,32,,24,
