,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Jose City Total,,,,722,49,202,,79,470,"1,106",,"1,110",550,"1,194",,"1,036",491,"1,001",
,083580 - Adapted Physical Education              ,,,29,,54,,,,61,,61,,60,,64,,57,
,093480 - Laser and Optical Technology            ,,,,,,,,,,,,,,,,,8,
,095200 - Construction Crafts Technology          ,,,89,49,26,,79,20,31,,62,,87,,67,20,,
,"120100 - Health Occupations, General             ",,,,,,,,13,41,,32,,48,,56,,62,
,120800 - Medical Assisting                       ,,,25,,,,,51,25,,27,58,31,,31,39,30,
,"170100 - Mathematics, General                    ",,,6,,,,,161,,,,193,,,,162,,
,493009 - Supervised Tutoring                     ,,,,,,,,16,133,,109,90,84,,10,10,,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,11,,,,15,,,
,"493030 - Learning Skills, Handicapped            ",,,,,,,,15,,,15,32,,,16,17,,
,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,13,30,,28,,60,,69,,57,
,493084 - English as a Second Language - Writing  ,,,85,,19,,,30,96,,100,30,94,,86,46,131,
,493085 - English as a Second Language - Reading  ,,,33,,,,,15,36,,46,25,42,,39,22,65,
,493086 - English as a Second Language - Listening,,,161,,,,,122,270,,272,84,270,,258,93,291,
,493087 - English as a Second Language - Integrate,,,228,,103,,,14,317,,290,38,345,,257,82,238,
,493100 - Vocational ESL                          ,,,66,,,,,,66,,57,,73,,68,,62,
