,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Las Positas Total,,261,,200,234,444,,339,262,639,,606,99,524,,613,259,721,
,050630 - Management Development and Supervision  ,125,,,,119,,13,,160,,16,,,,,13,,
,050640 - Small Business and Entrepreneurship     ,,,45,,,,40,,1,,54,,,,36,51,,
,061400 - Digital Media                           ,,,,,15,,15,,16,,17,,,,18,,7,
,"070100 - Information Technology, General         ",,,,,,,,,,,,,,,16,,,
,070810 - Computer Networking                     ,,,,45,,,,42,,,,,,,,14,,
,083500 - Physical Education                      ,,,,,,,,,,,17,,,,17,44,29,
,094800 - Automotive Technology                   ,11,,8,,11,,20,,19,,42,,41,,41,,34,
,100400 - Music                                   ,,,,,,,,,3,,4,,1,,4,,23,
,101200 - Applied Photography                     ,,,,,30,,31,,31,,50,,,,34,,21,
,"130100 - Family and Consumer Sciences, General   ",,,2,,1,,1,,3,,4,,,,6,,,
,150100 - English                                 ,6,,,,,,,,,,,,7,,5,,25,
,"170100 - Mathematics, General                    ",9,,5,157,,,,202,,,,89,,,,102,,
,170200 - Mathematics Skills                      ,63,,74,32,177,,110,18,255,,142,10,245,,150,35,280,
,493009 - Supervised Tutoring                     ,2,,5,,,,,,,,,,,,,,,
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,10,,,,10,
,493086 - English as a Second Language - Listening,,,,,,,,,,,56,,60,,57,,57,
,493087 - English as a Second Language - Integrate,45,,61,,91,,109,,151,,204,,160,,229,,235,
