,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Fresno City Total,,170,,524,125,741,,532,103,"2,944",,"2,565",227,"2,012",,"3,069",384,"3,081",
,"010100 - Agriculture Technology and Sciences, Gen",,,,,,,,,,,,,,,18,,40,
,019900 - Other Agriculture and Natural Resources ,,,,,,,,,,,,,,,36,3,99,
,050640 - Small Business and Entrepreneurship     ,,,10,,,,,,,,,,,,,,,
,051400 - Office Technology/Office Computer Applic,8,,9,,,,,12,40,,107,55,256,,331,104,349,
,061220 - Film Production                         ,,,,,,,,,1,,,,,,1,,1,
,061410 - Multimedia                              ,,,,,,,,,,,,,,,,,2,
,061430 - Website Design and Development          ,,,,,,,,,1,,,,,,2,,,
,093440 - Electrical Systems and Power Transmissio,,,,,,,25,,23,,,25,24,,46,16,22,
,094900 - Automotive Collision Repair             ,69,,135,69,53,,80,,33,,,,,,,,,
,095630 - Machining and Machine Tools             ,,,21,,22,,,1,,,23,14,24,,44,19,23,
,095650 - Welding Technology                      ,16,,,24,,,24,,22,,16,9,18,,46,,,
,100400 - Music                                   ,33,,47,,38,,39,,48,,49,,41,,37,,50,
,100700 - Dramatic Arts                           ,28,,52,,87,,92,,104,,,,65,,114,99,116,
,103000 - Graphic Art and Design                  ,,,,,5,,,,4,,3,,2,,11,,5,
,493009 - Supervised Tutoring                     ,,,,,305,,,,"2,216",,"2,009",,"1,165",,"2,021",,"1,904",
,493062 - Secondary Education (Grades 9-12) and G.,8,,5,,36,,42,23,47,,45,46,44,,68,40,32,
,493084 - English as a Second Language - Writing  ,,,26,,39,,39,,106,,33,18,82,,66,50,76,
,493086 - English as a Second Language - Listening,,,181,32,122,,115,56,214,,183,60,203,,137,53,274,
,493087 - English as a Second Language - Integrate,8,,38,,34,,76,11,85,,97,,88,,91,,88,
