,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Barstow Total,,691,,546,176,617,,730,231,814,,836,471,"1,291",,909,86,638,
,051000 - Logistics and Materials Transportation  ,28,,33,8,10,,8,6,11,,5,,8,,,,12,
,051400 - Office Technology/Office Computer Applic,197,,34,15,97,,111,21,35,,28,,33,,30,,27,
,051800 - Customer Service                        ,28,,180,35,100,,104,8,28,,15,7,6,,26,,19,
,083510 - Physical Fitness and Body Movement      ,,,63,56,115,,194,140,332,,314,233,439,,,,,
,094500 - Industrial Systems Technology and Mainte,15,,4,3,5,,,,5,,,,,,,,,
,"170100 - Mathematics, General                    ",16,,11,,,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,429,,492,,211,
,493014 - Study Skills                            ,105,,97,28,115,,84,17,250,,330,171,156,,146,38,133,
,493084 - English as a Second Language - Writing  ,3,,5,,5,,16,,12,,13,,26,,32,,39,
,493086 - English as a Second Language - Listening,11,,7,,9,,15,,21,,13,,37,,28,,61,
,493087 - English as a Second Language - Integrate,26,,47,17,55,,83,28,97,,87,54,121,,142,42,114,
,493090 - Citizenship / ESL Civics                ,,,5,,,,3,,,,,,,,,,,
,493200 - General Work Experience                 ,262,,60,14,106,,112,11,23,,31,6,36,,13,6,22,
