,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Citrus Total,,256,84,232,"1,746",439,217,451,"1,479",548,301,611,"1,382",741,349,874,"1,153",785,
,"050100 - Business and Commerce, General          ",11,,4,,,7,,14,6,6,9,10,4,,,,,
,050200 - Accounting                              ,7,,11,,6,,6,,,,11,,9,,8,,2,
,050630 - Management Development and Supervision  ,,,,,5,,,,9,,,,,,,,9,
,050640 - Small Business and Entrepreneurship     ,22,,24,,11,8,9,16,5,9,,7,16,8,10,,8,
,051400 - Office Technology/Office Computer Applic,7,,7,,11,,13,,12,,,,9,,,,,
,051800 - Customer Service                        ,13,,7,,,,,,,,,,,,,,,
,059900 - Other Business and Management           ,,,,,,,,7,,,,,,,,,,
,060700 - Technical Communication                 ,,,,26,38,,18,31,29,,32,22,40,,22,34,24,
,083500 - Physical Education                      ,,,,,,,45,19,19,,68,40,133,36,139,73,133,
,083510 - Physical Fitness and Body Movement      ,,,,,,,19,48,53,56,92,63,115,64,119,53,126,
,083570 - Aquatics and Lifesaving                 ,,,7,57,19,23,13,49,43,24,31,59,34,26,39,39,29,
,089900 - Other Education                         ,18,,,,20,,,,10,,20,,,,,,,
,094800 - Automotive Technology                   ,,10,,,12,6,8,15,,4,7,26,7,,,21,,
,095670 - Industrial and Occupational Safety and H,,,,,,,,,,,,,14,,13,,,
,100210 - Painting and Drawing                    ,,,,,,,,,,,,,9,,,,,
,"120100 - Health Occupations, General             ",,,,,7,,,,,,,,16,,3,,6,
,150100 - English                                 ,,,,44,,,,,,,,,,,,,,
,150700 - Creative Writing                        ,,,,,,,,,,,,,,,15,,,
,300700 - Cosmetology and Barbering               ,,,,,2,,,,3,,,,1,,,12,2,
,309900 - Other Commercial Services               ,,,,,48,18,39,34,53,21,51,31,53,31,57,28,57,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,62,26,180,33,145,
,493010 - Career Guidance and Orientation         ,23,,,,,,,,,,,,,,,,,
,493014 - Study Skills                            ,,,9,,,,,,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,,,,"1,488",,,,"1,066",,,,941,,,,715,,
,493086 - English as a Second Language - Listening,31,23,58,20,122,68,130,66,165,83,112,71,98,59,119,83,116,
,493087 - English as a Second Language - Integrate,106,39,81,89,131,87,136,88,139,98,171,93,121,99,133,58,119,
,493090 - Citizenship / ESL Civics                ,9,8,15,9,7,,9,,,,7,,,,8,,9,
,493100 - Vocational ESL                          ,9,,6,,,,6,,2,,,,,,9,,,
,493200 - General Work Experience                 ,,4,3,13,,,,26,,,,19,,,,4,,
