,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Chaffey Total,,"2,508",,"2,550",900,"3,257",,"3,336","1,350","5,064",,"4,670",872,"3,993",,"4,782","1,512","5,602",
,051100 - Real Estate                             ,,,,,,,,,140,,67,,,,,,,
,094600 - Environmental Control Technology        ,143,,118,,107,,67,,145,,110,,95,,151,38,213,
,094800 - Automotive Technology                   ,,,,,,,,,,,,,,,,23,,
,120510 - Phlebotomy                              ,,,,,,,,,,,36,,46,,54,,,
,123000 - Nursing                                 ,,,,51,1,,1,43,6,,5,78,1,,10,55,2,
,123030 - Certified Nurse Assistant               ,,,151,,137,,223,99,137,,141,,163,,162,,,
,124010 - Dental Assistant                        ,9,,,,15,,14,,,,,,,,,,12,
,130110 - Consumer Services                       ,,,,,,,32,48,,,,,,,,,,
,130900 - Gerontology                             ,9,,31,,,,,,,,,,,,,,,
,170200 - Mathematics Skills                      ,328,,404,87,595,,444,103,,,,,,,,,,
,493009 - Supervised Tutoring                     ,"1,566",,"1,406",607,"1,713",,"1,908",777,"3,844",,"3,479",455,"2,841",,"3,637","1,101","4,568",
,493086 - English as a Second Language - Listening,78,,87,19,168,,84,81,200,,154,100,231,,191,78,271,
,493087 - English as a Second Language - Integrate,360,,321,136,495,,533,187,575,,635,239,580,,546,217,520,
,493090 - Citizenship / ESL Civics                ,15,,32,,26,,30,,17,,39,,28,,27,,14,
,493100 - Vocational ESL                          ,,,,,,,,12,,,,,,,,,,
,493200 - General Work Experience                 ,,,,,,,,,,,4,,8,,4,,2,
