,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Long Beach Total,,"1,392",570,"1,486",887,"2,160",592,"2,429","1,442","3,049",787,"3,323","1,806","4,409",995,"4,293","1,946","3,061",743
,020100 - Architecture and Architectural Technolog,,,,,,,,,,,,6,28,,56,53,5,8
,051100 - Real Estate                             ,,,,,,,,16,,7,,,,,,,14,
,051400 - Office Technology/Office Computer Applic,,,50,132,44,,48,146,59,,34,132,35,,54,110,15,
,"070100 - Information Technology, General         ",11,,11,11,,16,28,24,37,12,47,18,25,,67,16,18,
,070210 - Software Applications                   ,,,,,,,,,,,25,,7,,67,10,1,
,070820 - Computer Support                        ,,,,,,,11,,17,,16,,16,,3,,,
,070910 - E-Commerce (Technology emphasis)        ,,,,,,,12,,9,,,,,,,,,
,093400 - Electronics and Electric Technology     ,,,,,,,8,,,,,,,,,,,
,093420 - Industrial Electronics                  ,,,,,,,,,,,,45,,,,,,
,093430 - Telecommunications Technology           ,,,,,,,,,,,,,18,,,,,
,093440 - Electrical Systems and Power Transmissio,,,,,,,,,,,,,,,,56,,
,094800 - Automotive Technology                   ,16,,3,,13,,19,3,22,14,36,,17,,14,32,30,3
,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,,,25,,
,095200 - Construction Crafts Technology          ,,,,,,,,,,,,37,,,,26,,
,095220 - Electrical                              ,69,61,69,65,112,57,93,77,170,96,129,168,232,98,88,193,195,105
,095290 - Roofing                                 ,74,20,71,,101,,64,,140,,94,,90,,91,,80,
,095310 - Architectural Drafting                  ,,,,,,,,,,,,,2,,6,,,
,095640 - Sheet Metal and Structural Metal        ,,,,21,,,,9,4,,6,24,4,,7,19,5,
,095650 - Welding Technology                      ,22,21,12,,17,8,56,19,45,49,45,41,50,30,57,14,45,28
,099900 - Other Engineering and Related Industrial,13,,11,,8,,13,,21,,18,,8,,10,,17,
,100500 - Commercial Music                        ,,,,,,,,,,,,,,,8,,3,
,101200 - Applied Photography                     ,,,13,,14,,18,,17,,17,,17,,22,,19,
,123010 - Registered Nursing                      ,5,162,173,,172,139,208,157,218,181,209,120,209,167,227,122,246,
,130300 - Fashion                                 ,18,,18,10,22,,58,18,49,,51,9,45,,74,18,36,
,130500 - Child Development/Early Care and Educati,2,,,,1,,,,1,,3,,4,,6,,6,
,130560 - Parenting and Family Education          ,,,,,9,,85,,131,,138,,188,,138,,195,
,130620 - Dietetic Services and Management        ,33,16,,,10,,26,,28,,28,18,31,,14,16,21,
,150100 - English                                 ,,,12,13,28,,27,27,24,,29,21,38,21,69,41,62,7
,150700 - Creative Writing                        ,20,,19,,18,,20,,18,,20,,14,,31,,29,
,152000 - Reading                                 ,,,30,88,110,,89,123,118,,148,168,220,42,248,159,179,17
,160200 - Library Technician (Aide)               ,8,,17,8,49,,76,14,108,,108,20,138,,101,18,113,
,"170100 - Mathematics, General                    ",105,,81,72,185,,192,141,90,,159,129,221,22,222,174,186,21
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,37,,17,8,35
,210500 - Administration of Justice               ,,,,,,44,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,327,,"1,003",27,886,122,,
,493010 - Career Guidance and Orientation         ,,,,,,,,,19,,2,,,,15,10,,
,493011 - Interpersonal Skills                    ,,,,,,,21,14,21,,,,,,,,,
,493013 - Academic Guidance                       ,,,,,,,,14,5,,,,,,,,,
,493014 - Study Skills                            ,,8,8,12,9,11,8,37,13,7,32,25,21,8,21,27,4,15
,"493030 - Learning Skills, Handicapped            ",,,8,,2,,7,,2,,7,,,,,,,
,493084 - English as a Second Language - Writing  ,40,49,23,55,11,57,14,24,47,52,47,32,61,49,57,15,62,34
,493085 - English as a Second Language - Reading  ,305,80,243,95,363,80,270,120,354,50,440,198,455,337,455,141,410,322
,493086 - English as a Second Language - Listening,55,39,76,23,102,33,88,30,161,76,103,91,98,100,79,116,134,80
,493087 - English as a Second Language - Integrate,596,114,538,282,760,147,870,429,"1,101",243,"1,005",504,"1,114",57,"1,100",396,923,68
