,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Woodland Total,,457,,434,,401,,565,,510,,529,19,521,,563,40,609,
,010920 - Floriculture / Floristry                ,,,,,,,,,,,,,,,,,11,
,051400 - Office Technology/Office Computer Applic,,,,,,,23,,,,,,13,,3,,22,
,100400 - Music                                   ,,,,,,,,,,,,,18,,27,,12,
,"170100 - Mathematics, General                    ",,,,,,,,,,,,,,,,,1,
,170200 - Mathematics Skills                      ,,,,,,,,,16,,9,,18,,18,,10,
,493009 - Supervised Tutoring                     ,232,,198,,127,,263,,304,,341,,314,,288,,339,
,493060 - Elementary Education (Grades 1-8)       ,36,,32,,29,,39,,39,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,14,,18,,14,,48,,13,,,,14,,18,12,15,
,493084 - English as a Second Language - Writing  ,19,,9,,,,,,,,,,,,,,,
,493085 - English as a Second Language - Reading  ,23,,18,,10,,13,,,,,19,,,,28,4,
,493087 - English as a Second Language - Integrate,133,,159,,221,,179,,138,,179,,144,,209,,195,
