,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Joaquin Delta Total,,,,,,,,,,,,367,133,353,,311,196,"1,037",
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,,,,22,12,
,060200 - Journalism                              ,,,,,,,,,,,1,,,,,,,
,060400 - Radio and Television                    ,,,,,,,,,,,3,2,6,,3,6,4,
,061000 - Mass Communications                     ,,,,,,,,,,,7,3,6,,5,1,8,
,093400 - Electronics and Electric Technology     ,,,,,,,,,,,,,,,,,2,
,100400 - Music                                   ,,,,,,,,,,,238,62,173,,149,75,180,
,100600 - Technical Theater                       ,,,,,,,,,,,,,,,,5,1,
,100700 - Dramatic Arts                           ,,,,,,,,,,,1,13,,,2,30,1,
,100800 - Dance                                   ,,,,,,,,,,,,11,,,,21,,
,"120100 - Health Occupations, General             ",,,,,,,,,,,,,,,,4,,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,,,14,
,123900 - Psychiatric Technician                  ,,,,,,,,,,,,15,,,,29,,
,"170100 - Mathematics, General                    ",,,,,,,,,,,45,,51,,34,,26,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,,,,167,
,210500 - Administration of Justice               ,,,,,,,,,,,,27,24,,25,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,,,,,22,
,"493031 - Living Skills, Handicapped              ",,,,,,,,,,,72,,93,,93,,92,
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,,,,,144,
,493086 - English as a Second Language - Listening,,,,,,,,,,,,,,,,,131,
,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,,,,3,233,
