sector_id,soc,title
business,13-1031,"Claims Adjusters, Examiners, and Investigators"
business,13-1032,"Insurance Appraisers, Auto Damage"
business,13-1051,Cost Estimators
business,13-2028,Property Appraisers and Assessors
business,13-2082,Tax Preparers
business,23-2093,"Title Examiners, Abstractors, and Searchers"
business,39-4011,Embalmers
business,39-4031,"Morticians, Undertakers, and Funeral Arrangers"
business,39-5011,Barbers
business,39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
business,39-5091,"Makeup Artists, Theatrical and Performance"
business,39-5092,Manicurists and Pedicurists
business,39-5094,Skincare Specialists
business,41-1012,First-Line Supervisors of Non-Retail Sales Workers
business,41-3011,Advertising Sales Agents
business,41-3021,Insurance Sales Agents
business,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
business,41-9021,Real Estate Brokers
business,41-9022,Real Estate Sales Agents
business,41-9099,"Sales and Related Workers, All Other"
business,43-1011,First-Line Supervisors of Office and Administrative Support Workers
business,43-3011,Bill and Account Collectors
business,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
business,43-3051,Payroll and Timekeeping Clerks
business,43-3061,Procurement Clerks
business,43-3071,Tellers
business,43-4011,Brokerage Clerks
business,43-4041,"Credit Authorizers, Checkers, and Clerks"
business,43-4051,Customer Service Representatives
business,43-4071,File Clerks
business,43-4131,Loan Interviewers and Clerks
business,43-4141,New Accounts Clerks
business,43-4151,Order Clerks
business,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
business,43-4171,Receptionists and Information Clerks
business,43-6011,Executive Secretaries and Executive Administrative Assistants
business,43-6012,Legal Secretaries and Administrative Assistants
business,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
business,43-9041,Insurance Claims and Policy Processing Clerks
business,43-9061,"Office Clerks, General"
business,43-9111,Statistical Assistants
ecu,17-3011,Architectural and Civil Drafters
ecu,17-3022,Civil Engineering Technologists and Technicians
ecu,17-3031,Surveying and Mapping Technicians
ecu,19-4042,"Environmental Science and Protection Technicians, Including Health"
ecu,19-4043,"Geological Technicians, Except Hydrologic Technicians"
ecu,19-4044,Hydrologic Technicians
ecu,19-4051,Nuclear Technicians
ecu,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
ecu,47-2011,Boilermakers
ecu,47-2021,Brickmasons and Blockmasons
ecu,47-2022,Stonemasons
ecu,47-2031,Carpenters
ecu,47-2053,Terrazzo Workers and Finishers
ecu,47-2071,"Paving, Surfacing, and Tamping Equipment Operators"
ecu,47-2072,Pile Driver Operators
ecu,47-2073,Operating Engineers and Other Construction Equipment Operators
ecu,47-2111,Electricians
ecu,47-2121,Glaziers
ecu,47-2132,"Insulation Workers, Mechanical"
ecu,47-2152,"Plumbers, Pipefitters, and Steamfitters"
ecu,47-2171,Reinforcing Iron and Rebar Workers
ecu,47-2211,Sheet Metal Workers
ecu,47-2221,Structural Iron and Steel Workers
ecu,47-2231,Solar Photovoltaic Installers
ecu,47-4011,Construction and Building Inspectors
ecu,47-4021,Elevator and Escalator Installers and Repairers
ecu,47-4061,Rail-Track Laying and Maintenance Equipment Operators
ecu,47-5023,"Earth Drillers, Except Oil and Gas"
ecu,47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters"
ecu,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
ecu,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
ecu,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
ecu,49-2098,Security and Fire Alarm Systems Installers
ecu,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
ecu,49-9045,"Refractory Materials Repairers, Except Brickmasons"
ecu,49-9051,Electrical Power-Line Installers and Repairers
ecu,49-9081,Wind Turbine Service Technicians
ecu,49-9092,Commercial Divers
ecu,49-9099,"Installation, Maintenance, and Repair Workers, All Other"
ecu,51-7011,Cabinetmakers and Bench Carpenters
ecu,51-8011,Nuclear Power Reactor Operators
ecu,51-8012,Power Distributors and Dispatchers
ecu,51-8013,Power Plant Operators
ecu,51-8021,Stationary Engineers and Boiler Operators
ecu,51-8031,Water and Wastewater Treatment Plant and System Operators
ecu,51-8092,Gas Plant Operators
edhd,19-4061,Social Science Research Assistants
edhd,25-2011,"Preschool Teachers, Except Special Education"
edhd,25-2012,"Kindergarten Teachers, Except Special Education"
edhd,25-4031,Library Technicians
edhd,25-9044,"Teaching Assistants, Postsecondary"
edhd,25-9045,"Teaching Assistants, Except Postsecondary"
edhd,27-3091,Interpreters and Translators
edhd,39-9011,Childcare Workers
edhd,39-9031,Exercise Trainers and Group Fitness Instructors
health,21-1093,Social and Human Service Assistants
health,21-1094,Community Health Workers
health,29-1124,Radiation Therapists
health,29-1126,Respiratory Therapists
health,29-1141,Registered Nurses
health,29-1292,Dental Hygienists
health,29-2018,Clinical Laboratory Technologists and Technicians
health,29-2031,Cardiovascular Technologists and Technicians
health,29-2032,Diagnostic Medical Sonographers
health,29-2033,Nuclear Medicine Technologists
health,29-2034,Radiologic Technologists and Technicians
health,29-2035,Magnetic Resonance Imaging Technologists
health,29-2036,Medical Dosimetrists
health,29-2051,Dietetic Technicians
health,29-2052,Pharmacy Technicians
health,29-2053,Psychiatric Technicians
health,29-2055,Surgical Technologists
health,29-2057,Ophthalmic Medical Technicians
health,29-2061,Licensed Practical and Licensed Vocational Nurses
health,29-2072,Medical Records Specialists
health,29-2081,"Opticians, Dispensing"
health,29-2099,"Health Technologists and Technicians, All Other"
health,29-9021,Health Information Technologists and Medical Registrars
health,29-9093,Surgical Assistants
health,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
health,31-1128,Home Health and Personal Care Aides
health,31-1131,Nursing Assistants
health,31-1133,Psychiatric Aides
health,31-2011,Occupational Therapy Assistants
health,31-2012,Occupational Therapy Aides
health,31-2021,Physical Therapist Assistants
