soc,sector_id,coe_skill_level,title
47-4098,ecu,Below Middle Skill,Miscellaneous Construction and Related Workers
47-5011,ecu,Below Middle Skill,"Derrick Operators, Oil and Gas"
47-5012,ecu,Below Middle Skill,"Rotary Drill Operators, Oil and Gas"
47-5013,ecu,Below Middle Skill,"Service Unit Operators, Oil and Gas"
47-5022,ecu,Below Middle Skill,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
47-5023,ecu,Middle Skill,"Earth Drillers, Except Oil and Gas"
47-5032,ecu,Middle Skill,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5041,ecu,Below Middle Skill,Continuous Mining Machine Operators
47-5043,ecu,Below Middle Skill,"Roof Bolters, Mining"
47-5044,ecu,Below Middle Skill,"Loading and Moving Machine Operators, Underground Mining"
47-5049,ecu,Below Middle Skill,"Underground Mining Machine Operators, All Other"
47-5051,ecu,Below Middle Skill,"Rock Splitters, Quarry"
47-5071,ecu,Below Middle Skill,"Roustabouts, Oil and Gas"
47-5081,ecu,Below Middle Skill,Helpers--Extraction Workers
47-5099,ecu,Below Middle Skill,"Extraction Workers, All Other"
49-2021,ecu,Middle Skill,"Radio, Cellular, and Tower Equipment Installers and Repairers"
49-2022,ecu,Middle Skill,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
49-2095,ecu,Middle Skill,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
49-2098,ecu,Middle Skill,Security and Fire Alarm Systems Installers
49-9011,ecu,Below Middle Skill,Mechanical Door Repairers
49-9021,ecu,Middle Skill,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
49-9045,ecu,Middle Skill,"Refractory Materials Repairers, Except Brickmasons"
49-9051,ecu,Middle Skill,Electrical Power-Line Installers and Repairers
49-9071,ecu,Below Middle Skill,"Maintenance and Repair Workers, General"
49-9081,ecu,Middle Skill,Wind Turbine Service Technicians
49-9092,ecu,Middle Skill,Commercial Divers
49-9095,ecu,Below Middle Skill,Manufactured Building and Mobile Home Installers
49-9096,ecu,Below Middle Skill,Riggers
49-9098,ecu,Below Middle Skill,"Helpers--Installation, Maintenance, and Repair Workers"
49-9099,ecu,Middle Skill,"Installation, Maintenance, and Repair Workers, All Other"
51-7011,ecu,Middle Skill,Cabinetmakers and Bench Carpenters
51-8011,ecu,Middle Skill,Nuclear Power Reactor Operators
51-8012,ecu,Middle Skill,Power Distributors and Dispatchers
51-8013,ecu,Middle Skill,Power Plant Operators
51-8021,ecu,Middle Skill,Stationary Engineers and Boiler Operators
51-8031,ecu,Middle Skill,Water and Wastewater Treatment Plant and System Operators
51-8092,ecu,Middle Skill,Gas Plant Operators
51-8093,ecu,Below Middle Skill,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-8099,ecu,Below Middle Skill,"Plant and System Operators, All Other"
53-7031,ecu,Below Middle Skill,Dredge Operators
53-7041,ecu,Below Middle Skill,Hoist and Winch Operators
53-7071,ecu,Below Middle Skill,Gas Compressor and Gas Pumping Station Operators
53-7073,ecu,Below Middle Skill,Wellhead Pumpers
11-9031,edhd,Above Middle Skill,"Education and Childcare Administrators, Preschool and Daycare"
11-9032,edhd,Above Middle Skill,"Education Administrators, Kindergarten through Secondary"
11-9033,edhd,Above Middle Skill,"Education Administrators, Postsecondary"
11-9039,edhd,Above Middle Skill,"Education Administrators, All Other"
13-1151,edhd,Above Middle Skill,Training and Development Specialists
19-3033,edhd,Above Middle Skill,Clinical and Counseling Psychologists
19-3034,edhd,Above Middle Skill,School Psychologists
19-4061,edhd,Middle Skill,Social Science Research Assistants
21-1012,edhd,Above Middle Skill,"Educational, Guidance, and Career Counselors and Advisors"
21-1013,edhd,Above Middle Skill,Marriage and Family Therapists
21-1019,edhd,Above Middle Skill,"Counselors, All Other"
21-1021,edhd,Above Middle Skill,"Child, Family, and School Social Workers"
21-1099,edhd,Above Middle Skill,"Community and Social Service Specialists, All Other"
21-2011,edhd,Above Middle Skill,Clergy
21-2021,edhd,Above Middle Skill,"Directors, Religious Activities and Education"
21-2099,edhd,Above Middle Skill,"Religious Workers, All Other"
25-1099,edhd,Above Middle Skill,Postsecondary Teachers
25-2011,edhd,Middle Skill,"Preschool Teachers, Except Special Education"
25-2012,edhd,Middle Skill,"Kindergarten Teachers, Except Special Education"
25-2021,edhd,Above Middle Skill,"Elementary School Teachers, Except Special Education"
25-2022,edhd,Above Middle Skill,"Middle School Teachers, Except Special and Career/Technical Education"
25-2023,edhd,Above Middle Skill,"Career/Technical Education Teachers, Middle School"
25-2031,edhd,Above Middle Skill,"Secondary School Teachers, Except Special and Career/Technical Education"
25-2032,edhd,Above Middle Skill,"Career/Technical Education Teachers, Secondary School"
25-2051,edhd,Above Middle Skill,"Special Education Teachers, Preschool"
25-2052,edhd,Above Middle Skill,"Special Education Teachers, Kindergarten and Elementary School"
25-2057,edhd,Above Middle Skill,"Special Education Teachers, Middle School"
25-2058,edhd,Above Middle Skill,"Special Education Teachers, Secondary School"
25-2059,edhd,Above Middle Skill,"Special Education Teachers, All Other"
25-3011,edhd,Above Middle Skill,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-3021,edhd,Below Middle Skill,Self-Enrichment Teachers
25-3031,edhd,Above Middle Skill,"Substitute Teachers, Short-Term"
25-3041,edhd,Above Middle Skill,Tutors
25-3099,edhd,Above Middle Skill,"Teachers and Instructors, All Other"
25-4011,edhd,Above Middle Skill,Archivists
25-4012,edhd,Above Middle Skill,Curators
25-4013,edhd,Above Middle Skill,Museum Technicians and Conservators
25-4022,edhd,Above Middle Skill,Librarians and Media Collections Specialists
25-4031,edhd,Middle Skill,Library Technicians
25-9031,edhd,Above Middle Skill,Instructional Coordinators
25-9044,edhd,Middle Skill,"Teaching Assistants, Postsecondary"
25-9045,edhd,Middle Skill,"Teaching Assistants, Except Postsecondary"
25-9099,edhd,Above Middle Skill,"Educational Instruction and Library Workers, All Other"
27-2022,edhd,Above Middle Skill,Coaches and Scouts
27-3091,edhd,Middle Skill,Interpreters and Translators
29-1129,edhd,Above Middle Skill,"Therapists, All Other"
39-9011,edhd,Middle Skill,Childcare Workers
39-9031,edhd,Middle Skill,Exercise Trainers and Group Fitness Instructors
39-9041,edhd,Below Middle Skill,Residential Advisors
43-4061,edhd,Below Middle Skill,"Eligibility Interviewers, Government Programs"
11-9111,health,Above Middle Skill,Medical and Health Services Managers
19-1041,health,Above Middle Skill,Epidemiologists
19-1042,health,Above Middle Skill,"Medical Scientists, Except Epidemiologists"
19-3039,health,Above Middle Skill,"Psychologists, All Other"
21-1015,health,Above Middle Skill,Rehabilitation Counselors
21-1018,health,Above Middle Skill,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
21-1022,health,Above Middle Skill,Healthcare Social Workers
21-1023,health,Above Middle Skill,Mental Health and Substance Abuse Social Workers
21-1029,health,Above Middle Skill,"Social Workers, All Other"
21-1091,health,Above Middle Skill,Health Education Specialists
21-1093,health,Middle Skill,Social and Human Service Assistants
21-1094,health,Middle Skill,Community Health Workers
29-1011,health,Above Middle Skill,Chiropractors
29-1021,health,Above Middle Skill,"Dentists, General"
29-1022,health,Above Middle Skill,Oral and Maxillofacial Surgeons
29-1023,health,Above Middle Skill,Orthodontists
29-1024,health,Above Middle Skill,Prosthodontists
29-1029,health,Above Middle Skill,"Dentists, All Other Specialists"
29-1031,health,Above Middle Skill,Dietitians and Nutritionists
29-1041,health,Above Middle Skill,Optometrists
29-1051,health,Above Middle Skill,Pharmacists
29-1071,health,Above Middle Skill,Physician Assistants
29-1081,health,Above Middle Skill,Podiatrists
29-1122,health,Above Middle Skill,Occupational Therapists
29-1123,health,Above Middle Skill,Physical Therapists
29-1124,health,Middle Skill,Radiation Therapists
29-1125,health,Above Middle Skill,Recreational Therapists
29-1126,health,Middle Skill,Respiratory Therapists
29-1127,health,Above Middle Skill,Speech-Language Pathologists
29-1128,health,Above Middle Skill,Exercise Physiologists
29-1141,health,Middle Skill,Registered Nurses
29-1151,health,Above Middle Skill,Nurse Anesthetists
29-1161,health,Above Middle Skill,Nurse Midwives
29-1171,health,Above Middle Skill,Nurse Practitioners
29-1181,health,Above Middle Skill,Audiologists
29-1211,health,Above Middle Skill,Anesthesiologists
29-1212,health,Above Middle Skill,Cardiologists
29-1213,health,Above Middle Skill,Dermatologists
29-1214,health,Above Middle Skill,Emergency Medicine Physicians
29-1215,health,Above Middle Skill,Family Medicine Physicians
29-1216,health,Above Middle Skill,General Internal Medicine Physicians
29-1217,health,Above Middle Skill,Neurologists
29-1218,health,Above Middle Skill,Obstetricians and Gynecologists
29-1221,health,Above Middle Skill,"Pediatricians, General"
29-1222,health,Above Middle Skill,"Physicians, Pathologists"
29-1223,health,Above Middle Skill,Psychiatrists
29-1224,health,Above Middle Skill,Radiologists
29-1229,health,Above Middle Skill,"Physicians, All Other"
29-1241,health,Above Middle Skill,"Ophthalmologists, Except Pediatric"
29-1242,health,Above Middle Skill,"Orthopedic Surgeons, Except Pediatric"
29-1243,health,Above Middle Skill,Pediatric Surgeons
29-1249,health,Above Middle Skill,"Surgeons, All Other"
29-1291,health,Above Middle Skill,Acupuncturists
29-1292,health,Middle Skill,Dental Hygienists
29-1299,health,Above Middle Skill,"Healthcare Diagnosing or Treating Practitioners, All Other"
29-2018,health,Middle Skill,Clinical Laboratory Technologists and Technicians
29-2031,health,Middle Skill,Cardiovascular Technologists and Technicians
29-2032,health,Middle Skill,Diagnostic Medical Sonographers
29-2033,health,Middle Skill,Nuclear Medicine Technologists
29-2034,health,Middle Skill,Radiologic Technologists and Technicians
29-2035,health,Middle Skill,Magnetic Resonance Imaging Technologists
29-2036,health,Middle Skill,Medical Dosimetrists
29-2051,health,Middle Skill,Dietetic Technicians
29-2052,health,Middle Skill,Pharmacy Technicians
29-2053,health,Middle Skill,Psychiatric Technicians
29-2055,health,Middle Skill,Surgical Technologists
29-2057,health,Middle Skill,Ophthalmic Medical Technicians
29-2061,health,Middle Skill,Licensed Practical and Licensed Vocational Nurses
29-2072,health,Middle Skill,Medical Records Specialists
29-2081,health,Middle Skill,"Opticians, Dispensing"
29-2091,health,Above Middle Skill,Orthotists and Prosthetists
29-2092,health,Below Middle Skill,Hearing Aid Specialists
29-2099,health,Middle Skill,"Health Technologists and Technicians, All Other"
29-9021,health,Middle Skill,Health Information Technologists and Medical Registrars
29-9091,health,Above Middle Skill,Athletic Trainers
29-9092,health,Above Middle Skill,Genetic Counselors
29-9093,health,Middle Skill,Surgical Assistants
29-9099,health,Middle Skill,"Healthcare Practitioners and Technical Workers, All Other"
31-1128,health,Middle Skill,Home Health and Personal Care Aides
31-1131,health,Middle Skill,Nursing Assistants
31-1132,health,Below Middle Skill,Orderlies
31-1133,health,Middle Skill,Psychiatric Aides
31-2011,health,Middle Skill,Occupational Therapy Assistants
31-2012,health,Middle Skill,Occupational Therapy Aides
31-2021,health,Middle Skill,Physical Therapist Assistants
31-2022,health,Middle Skill,Physical Therapist Aides
31-9011,health,Middle Skill,Massage Therapists
31-9091,health,Middle Skill,Dental Assistants
31-9092,health,Middle Skill,Medical Assistants
31-9093,health,Middle Skill,Medical Equipment Preparers
31-9094,health,Middle Skill,Medical Transcriptionists
31-9095,health,Below Middle Skill,Pharmacy Aides
31-9099,health,Middle Skill,"Healthcare Support Workers, All Other"
43-6013,health,Middle Skill,Medical Secretaries and Administrative Assistants
51-9081,health,Middle Skill,Dental Laboratory Technicians
51-9082,health,Below Middle Skill,Medical Appliance Technicians
11-3021,ict,Above Middle Skill,Computer and Information Systems Managers
15-1211,ict,Above Middle Skill,Computer Systems Analysts
15-1212,ict,Above Middle Skill,Information Security Analysts
15-1221,ict,Above Middle Skill,Computer and Information Research Scientists
15-1231,ict,Middle Skill,Computer Network Support Specialists
15-1232,ict,Middle Skill,Computer User Support Specialists
15-1241,ict,Middle Skill,Computer Network Architects
15-1242,ict,Above Middle Skill,Database Administrators
15-1243,ict,Above Middle Skill,Database Architects
15-1244,ict,Middle Skill,Network and Computer Systems Administrators
15-1251,ict,Above Middle Skill,Computer Programmers
15-1252,ict,Above Middle Skill,Software Developers
15-1253,ict,Above Middle Skill,Software Quality Assurance Analysts and Testers
15-1254,ict,Middle Skill,Web Developers
15-1255,ict,Middle Skill,Web and Digital Interface Designers
15-1299,ict,Above Middle Skill,"Computer Occupations, All Other"
17-1021,ict,Above Middle Skill,Cartographers and Photogrammetrists
17-2072,ict,Above Middle Skill,"Electronics Engineers, Except Computer"
27-1011,ict,Above Middle Skill,Art Directors
27-1012,ict,Below Middle Skill,Craft Artists
27-1013,ict,Above Middle Skill,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014,ict,Above Middle Skill,Special Effects Artists and Animators
27-1019,ict,Below Middle Skill,"Artists and Related Workers, All Other"
27-1024,ict,Above Middle Skill,Graphic Designers
27-1029,ict,Above Middle Skill,"Designers, All Other"
27-2012,ict,Above Middle Skill,Producers and Directors
27-2091,ict,Below Middle Skill,"Disc Jockeys, Except Radio"
27-3011,ict,Above Middle Skill,Broadcast Announcers and Radio Disc Jockeys
27-3023,ict,Above Middle Skill,"News Analysts, Reporters, and Journalists"
27-3041,ict,Above Middle Skill,Editors
27-3042,ict,Above Middle Skill,Technical Writers
27-3043,ict,Above Middle Skill,Writers and Authors
27-3099,ict,Below Middle Skill,"Media and Communication Workers, All Other"
27-4011,ict,Middle Skill,Audio and Video Technicians
27-4012,ict,Middle Skill,Broadcast Technicians
27-4014,ict,Middle Skill,Sound Engineering Technicians
27-4015,ict,Below Middle Skill,Lighting Technicians
27-4021,ict,Middle Skill,Photographers
27-4031,ict,Above Middle Skill,"Camera Operators, Television, Video, and Film"
27-4032,ict,Above Middle Skill,Film and Video Editors
27-4099,ict,Below Middle Skill,"Media and Communication Equipment Workers, All Other"
39-3092,ict,Below Middle Skill,Costume Attendants
43-2021,ict,Below Middle Skill,Telephone Operators
43-2099,ict,Below Middle Skill,"Communications Equipment Operators, All Other"
43-9021,ict,Middle Skill,Data Entry Keyers
43-9022,ict,Middle Skill,Word Processors and Typists
43-9031,ict,Middle Skill,Desktop Publishers
43-9081,ict,Above Middle Skill,Proofreaders and Copy Markers
49-2097,ict,Middle Skill,Audiovisual Equipment Installers and Repairers
49-9052,ict,Middle Skill,Telecommunications Line Installers and Repairers
49-9061,ict,Middle Skill,Camera and Photographic Equipment Repairers
51-9151,ict,Below Middle Skill,Photographic Process Workers and Processing Machine Operators
15-2021,non_cte_stem,Above Middle Skill,Mathematicians
15-2041,non_cte_stem,Above Middle Skill,Statisticians
15-2051,non_cte_stem,Above Middle Skill,Data Scientists
15-2099,non_cte_stem,Above Middle Skill,"Mathematical Science Occupations, All Other"
17-2011,non_cte_stem,Above Middle Skill,Aerospace Engineers
17-2121,non_cte_stem,Above Middle Skill,Marine Engineers and Naval Architects
17-2199,non_cte_stem,Above Middle Skill,"Engineers, All Other"
19-1021,non_cte_stem,Above Middle Skill,Biochemists and Biophysicists
19-1022,non_cte_stem,Above Middle Skill,Microbiologists
19-1099,non_cte_stem,Above Middle Skill,"Life Scientists, All Other"
19-2011,non_cte_stem,Above Middle Skill,Astronomers
19-2012,non_cte_stem,Above Middle Skill,Physicists
19-2021,non_cte_stem,Above Middle Skill,Atmospheric and Space Scientists
19-2031,non_cte_stem,Above Middle Skill,Chemists
19-2043,non_cte_stem,Above Middle Skill,Hydrologists
19-2099,non_cte_stem,Above Middle Skill,"Physical Scientists, All Other"
19-3011,non_cte_stem,Above Middle Skill,Economists
19-3022,non_cte_stem,Above Middle Skill,Survey Researchers
19-3041,non_cte_stem,Above Middle Skill,Sociologists
19-3051,non_cte_stem,Above Middle Skill,Urban and Regional Planners
19-3091,non_cte_stem,Above Middle Skill,Anthropologists and Archeologists
19-3092,non_cte_stem,Above Middle Skill,Geographers
19-3093,non_cte_stem,Above Middle Skill,Historians
19-3094,non_cte_stem,Above Middle Skill,Political Scientists
19-3099,non_cte_stem,Above Middle Skill,"Social Scientists and Related Workers, All Other"
11-9161,public_safety,Above Middle Skill,Emergency Management Directors
19-4092,public_safety,Middle Skill,Forensic Science Technicians
21-1092,public_safety,Above Middle Skill,Probation Officers and Correctional Treatment Specialists
29-2042,public_safety,Middle Skill,Emergency Medical Technicians
29-2043,public_safety,Middle Skill,Paramedics
33-1011,public_safety,Middle Skill,First-Line Supervisors of Correctional Officers
33-1012,public_safety,Middle Skill,First-Line Supervisors of Police and Detectives
33-1021,public_safety,Middle Skill,First-Line Supervisors of Firefighting and Prevention Workers
33-1091,public_safety,Middle Skill,First-Line Supervisors of Security Workers
33-1099,public_safety,Middle Skill,"First-Line Supervisors of Protective Service Workers, All Other"
33-2011,public_safety,Middle Skill,Firefighters
33-2021,public_safety,Middle Skill,Fire Inspectors and Investigators
33-2022,public_safety,Middle Skill,Forest Fire Inspectors and Prevention Specialists
33-3011,public_safety,Middle Skill,Bailiffs
33-3012,public_safety,Middle Skill,Correctional Officers and Jailers
33-3021,public_safety,Middle Skill,Detectives and Criminal Investigators
33-3031,public_safety,Middle Skill,Fish and Game Wardens
33-3041,public_safety,Below Middle Skill,Parking Enforcement Workers
33-3051,public_safety,Middle Skill,Police and Sheriff's Patrol Officers
33-3052,public_safety,Middle Skill,Transit and Railroad Police
33-9031,public_safety,Middle Skill,Gambling Surveillance Officers and Gambling Investigators
33-9032,public_safety,Middle Skill,Security Guards
33-9091,public_safety,Below Middle Skill,Crossing Guards and Flaggers
33-9092,public_safety,Below Middle Skill,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9093,public_safety,Middle Skill,Transportation Security Screeners
33-9094,public_safety,Below Middle Skill,School Bus Monitors
33-9099,public_safety,Below Middle Skill,"Protective Service Workers, All Other"
43-5031,public_safety,Middle Skill,Public Safety Telecommunicators
53-3011,public_safety,Below Middle Skill,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
11-9051,retail,Middle Skill,Food Service Managers
11-9071,retail,Middle Skill,Gambling Managers
11-9081,retail,Middle Skill,Lodging Managers
13-1121,retail,Above Middle Skill,"Meeting, Convention, and Event Planners"
27-1022,retail,Above Middle Skill,Fashion Designers
27-1025,retail,Above Middle Skill,Interior Designers
27-1026,retail,Below Middle Skill,Merchandise Displayers and Window Trimmers
27-2021,retail,Below Middle Skill,Athletes and Sports Competitors
27-2023,retail,Below Middle Skill,"Umpires, Referees, and Other Sports Officials"
35-1011,retail,Middle Skill,Chefs and Head Cooks
35-1012,retail,Middle Skill,First-Line Supervisors of Food Preparation and Serving Workers
35-2011,retail,Below Middle Skill,"Cooks, Fast Food"
35-2012,retail,Below Middle Skill,"Cooks, Institution and Cafeteria"
35-2013,retail,Middle Skill,"Cooks, Private Household"
35-2014,retail,Below Middle Skill,"Cooks, Restaurant"
35-2015,retail,Below Middle Skill,"Cooks, Short Order"
35-2019,retail,Below Middle Skill,"Cooks, All Other"
35-2021,retail,Below Middle Skill,Food Preparation Workers
35-3011,retail,Below Middle Skill,Bartenders
35-3023,retail,Below Middle Skill,Fast Food and Counter Workers
35-3031,retail,Below Middle Skill,Waiters and Waitresses
35-3041,retail,Below Middle Skill,"Food Servers, Nonrestaurant"
35-9011,retail,Below Middle Skill,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021,retail,Below Middle Skill,Dishwashers
35-9031,retail,Below Middle Skill,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099,retail,Below Middle Skill,"Food Preparation and Serving Related Workers, All Other"
37-1011,retail,Middle Skill,First-Line Supervisors of Housekeeping and Janitorial Workers
37-2011,retail,Below Middle Skill,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2012,retail,Below Middle Skill,Maids and Housekeeping Cleaners
37-2019,retail,Below Middle Skill,"Building Cleaning Workers, All Other"
39-1013,retail,Middle Skill,First-Line Supervisors of Gambling Services Workers
39-1014,retail,Middle Skill,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
39-1022,retail,Middle Skill,First-Line Supervisors of Personal Service Workers
39-3011,retail,Below Middle Skill,Gambling Dealers
39-3012,retail,Below Middle Skill,Gambling and Sports Book Writers and Runners
39-3019,retail,Below Middle Skill,"Gambling Service Workers, All Other"
39-3021,retail,Below Middle Skill,Motion Picture Projectionists
39-3031,retail,Below Middle Skill,"Ushers, Lobby Attendants, and Ticket Takers"
39-3091,retail,Below Middle Skill,Amusement and Recreation Attendants
39-3093,retail,Below Middle Skill,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3099,retail,Below Middle Skill,"Entertainment Attendants and Related Workers, All Other"
39-6011,retail,Below Middle Skill,Baggage Porters and Bellhops
39-6012,retail,Below Middle Skill,Concierges
39-7018,retail,Middle Skill,Tour and Travel Guides
39-9032,retail,Below Middle Skill,Recreation Workers
41-1011,retail,Middle Skill,First-Line Supervisors of Retail Sales Workers
41-2012,retail,Below Middle Skill,Gambling Change Persons and Booth Cashiers
41-2031,retail,Below Middle Skill,Retail Salespersons
41-3041,retail,Middle Skill,Travel Agents
41-9011,retail,Below Middle Skill,Demonstrators and Product Promoters
43-3041,retail,Below Middle Skill,Gambling Cage Workers
43-4081,retail,Below Middle Skill,"Hotel, Motel, and Resort Desk Clerks"
43-4181,retail,Middle Skill,Reservation and Transportation Ticket Agents and Travel Clerks
51-3011,retail,Below Middle Skill,Bakers
51-3021,retail,Below Middle Skill,Butchers and Meat Cutters
53-2031,retail,Middle Skill,Flight Attendants
11-1031,unassigned,Above Middle Skill,Legislators
11-9131,unassigned,Middle Skill,Postmasters and Mail Superintendents
13-1041,unassigned,Above Middle Skill,Compliance Officers
23-1011,unassigned,Above Middle Skill,Lawyers
23-1012,unassigned,Above Middle Skill,Judicial Law Clerks
23-1021,unassigned,Above Middle Skill,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022,unassigned,Above Middle Skill,"Arbitrators, Mediators, and Conciliators"
23-1023,unassigned,Above Middle Skill,"Judges, Magistrate Judges, and Magistrates"
23-2011,unassigned,Middle Skill,Paralegals and Legal Assistants
23-2099,unassigned,Middle Skill,"Legal Support Workers, All Other"
27-2011,unassigned,Middle Skill,Actors
27-2031,unassigned,Below Middle Skill,Dancers
27-2032,unassigned,Middle Skill,Choreographers
27-2041,unassigned,Above Middle Skill,Music Directors and Composers
27-2042,unassigned,Below Middle Skill,Musicians and Singers
27-2099,unassigned,Below Middle Skill,"Entertainers and Performers, Sports and Related Workers, All Other"
27-3092,unassigned,Middle Skill,Court Reporters and Simultaneous Captioners
33-9011,unassigned,Below Middle Skill,Animal Control Workers
33-9021,unassigned,Middle Skill,Private Detectives and Investigators
43-4031,unassigned,Middle Skill,"Court, Municipal, and License Clerks"
43-5051,unassigned,Below Middle Skill,Postal Service Clerks
43-5052,unassigned,Below Middle Skill,Postal Service Mail Carriers
43-5053,unassigned,Below Middle Skill,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
