soc,sector_id,coe_skill_level,title
51-6099,adm,Below Middle Skill,"Textile, Apparel, and Furnishings Workers, All Other"
51-7021,adm,Below Middle Skill,Furniture Finishers
51-7031,adm,Middle Skill,"Model Makers, Wood"
51-7032,adm,Middle Skill,"Patternmakers, Wood"
51-7041,adm,Middle Skill,"Sawing Machine Setters, Operators, and Tenders, Wood"
51-7042,adm,Middle Skill,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
51-7099,adm,Middle Skill,"Woodworkers, All Other"
51-9012,adm,Below Middle Skill,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
51-9021,adm,Below Middle Skill,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51-9022,adm,Below Middle Skill,"Grinding and Polishing Workers, Hand"
51-9023,adm,Below Middle Skill,"Mixing and Blending Machine Setters, Operators, and Tenders"
51-9031,adm,Below Middle Skill,"Cutters and Trimmers, Hand"
51-9032,adm,Below Middle Skill,"Cutting and Slicing Machine Setters, Operators, and Tenders"
51-9041,adm,Below Middle Skill,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9051,adm,Below Middle Skill,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9061,adm,Middle Skill,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071,adm,Middle Skill,Jewelers and Precious Stone and Metal Workers
51-9083,adm,Middle Skill,Ophthalmic Laboratory Technicians
51-9111,adm,Below Middle Skill,Packaging and Filling Machine Operators and Tenders
51-9123,adm,Below Middle Skill,"Painting, Coating, and Decorating Workers"
51-9124,adm,Below Middle Skill,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
51-9141,adm,Middle Skill,Semiconductor Processing Technicians
51-9161,adm,Middle Skill,Computer Numerically Controlled Tool Operators
51-9162,adm,Middle Skill,Computer Numerically Controlled Tool Programmers
51-9191,adm,Below Middle Skill,Adhesive Bonding Machine Operators and Tenders
51-9192,adm,Below Middle Skill,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9193,adm,Below Middle Skill,Cooling and Freezing Equipment Operators and Tenders
51-9194,adm,Below Middle Skill,Etchers and Engravers
51-9195,adm,Middle Skill,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9196,adm,Below Middle Skill,"Paper Goods Machine Setters, Operators, and Tenders"
51-9197,adm,Below Middle Skill,Tire Builders
51-9198,adm,Below Middle Skill,Helpers--Production Workers
51-9199,adm,Below Middle Skill,"Production Workers, All Other"
53-7011,adm,Below Middle Skill,Conveyor Operators and Tenders
53-7063,adm,Below Middle Skill,Machine Feeders and Offbearers
53-7064,adm,Below Middle Skill,"Packers and Packagers, Hand"
11-9013,agwet,Middle Skill,"Farmers, Ranchers, and Other Agricultural Managers"
13-1074,agwet,Below Middle Skill,Farm Labor Contractors
17-2021,agwet,Above Middle Skill,Agricultural Engineers
17-2081,agwet,Above Middle Skill,Environmental Engineers
17-2111,agwet,Above Middle Skill,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-3025,agwet,Middle Skill,Environmental Engineering Technologists and Technicians
19-1011,agwet,Above Middle Skill,Animal Scientists
19-1012,agwet,Above Middle Skill,Food Scientists and Technologists
19-1013,agwet,Above Middle Skill,Soil and Plant Scientists
19-1023,agwet,Above Middle Skill,Zoologists and Wildlife Biologists
19-1031,agwet,Above Middle Skill,Conservation Scientists
19-1032,agwet,Above Middle Skill,Foresters
19-4012,agwet,Middle Skill,Agricultural Technicians
19-4013,agwet,Middle Skill,Food Science Technicians
19-4071,agwet,Middle Skill,Forest and Conservation Technicians
25-9021,agwet,Above Middle Skill,Farm and Home Management Educators
27-1023,agwet,Middle Skill,Floral Designers
29-1131,agwet,Above Middle Skill,Veterinarians
29-2056,agwet,Middle Skill,Veterinary Technologists and Technicians
31-9096,agwet,Middle Skill,Veterinary Assistants and Laboratory Animal Caretakers
37-1012,agwet,Middle Skill,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-2021,agwet,Below Middle Skill,Pest Control Workers
37-3011,agwet,Below Middle Skill,Landscaping and Groundskeeping Workers
37-3012,agwet,Middle Skill,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3013,agwet,Below Middle Skill,Tree Trimmers and Pruners
39-2011,agwet,Middle Skill,Animal Trainers
39-2021,agwet,Below Middle Skill,Animal Caretakers
45-1011,agwet,Middle Skill,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
