District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Antelope CCD,Antelope Valley,FTW 122     ,CCC000004762,Wildland Public Info. Officer                                       ,1,Wildland Fire Technology-213310                                                      ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,BIOL 102    ,CCC000005332,Human Biology                                                       ,3,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,HE 201      ,CCC000021738,Women's Health Issues                                               ,6,Health Education-083700                                                              ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ENGL 103    ,CCC000023636,Critical Thinking and Writing                                       ,10,English-150100                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",A,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CA 182      ,CCC000024297,Network Security                                                    ,1,Computer Networking-070810                                                           ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,BIOL 103    ,CCC000034939,Introduction to Botany                                              ,1,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,HIST 107    ,CCC000054696,"U.S. History, 1607-1877                                             ",25,History-220500                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,INT 101     ,CCC000059581,Prin of Sign Lang Interpreting                                      ,1,Sign Language Interpreting-085010                                                    ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOL 101    ,CCC000064478,Physical Geology                                                    ,2,Geology-191400                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ASTR 101    ,CCC000071022,Astronomy                                                           ,3,Astronomy-191100                                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,HIST 108    ,CCC000084281,U.S. History from 1865                                              ,26,History-220500                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,BIOL 201    ,CCC000090498,General Human Anatomy                                               ,9,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,FTV 220     ,CCC000092760,Advanced Screenwriting                                              ,1,Film Studies-061200                                                                  ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOG 220    ,CCC000101062,Data Acq & Mgt in GIS                                               ,1,Geographic Information Systems-220610                                                ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,STAT C1000  ,CCC000105585,Introduction to Statistics                                          ,34,"Mathematics, General-170100                                                          ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOL 101L   ,CCC000109546,Physical Geology Lab                                                ,2,Geology-191400                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 206      ,CCC000112758,Criminology                                                         ,10,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,ELTE 101    ,CCC000116993,Survey of Electronics                                               ,2,Electronics and Electric Technology-093400                                           ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,04.00,04.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,MUS 251A    ,CCC000121640,Music Theory III                                                    ,1,Music-100400                                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,FTV 101     ,CCC000126676,Introduction to Film                                                ,4,Film Studies-061200                                                                  ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,HE 120      ,CCC000130658,Stress Management                                                   ,7,Health Education-083700                                                              ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,GEOG 102    ,CCC000131561,Phy Geog: Earth's Weather&Clim                                      ,1,"Physical Sciences, General-190100                                                    ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,CFE 102     ,CCC000132559,The Developing Child                                                ,9,Child Development/Early Care and Education-130500                                    ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,COMM 101    ,CCC000132620,Intro to Public Speaking                                            ,50,Speech Communication-150600                                                          ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",C,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 104      ,CCC000133984,Introduction to Corrections                                         ,2,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,MOA 110     ,CCC000138470,Beg Medical Office Assisting                                        ,1,Medical Assisting-120800                                                             ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,04.00,04.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Antelope CCD,Antelope Valley,AJ 207      ,CCC000142065,Probation and Parole                                                ,2,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
