District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Kern CCD,Bakersfield,ORNHB72NC   ,CCC000631116,Edible Garden Install & Care                                        ,1,Horticulture-010900                                                                  ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,Short-term Vocational Program/Career Techincal                             ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ORNHB73NC   ,CCC000631117,Intro to Edible Hydroponics                                         ,1,Horticulture-010900                                                                  ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,Short-term Vocational Program/Career Techincal                             ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,TECMB40     ,CCC000631122,Contemporary Mathematics for Careers                                ,7,"Mathematics, General-170100                                                          ",Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",B,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,MATHB99NC   ,CCC000631226,Math Jam - Math Skill Building                                      ,2,Mathematics Skills-170200                                                            ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is a basic skills course                                            ,Non-Occupational                                                           ,Not applicable                                                             ,Elementary and Secondary Basic Skills                                      ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB10BB   ,CCC000631494,Intercollegiate Competition Men: Basketball                         ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.50,01.50,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB10FB   ,CCC000631495,Intercoll Comp Men: Football                                        ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB21OL   ,CCC000631498,Beginning Olympic Lifting                                           ,1,Kinesiology-127000                                                                   ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB21PB   ,CCC000631499,Beginning Pickleball                                                ,1,Kinesiology-127000                                                                   ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,CGRAP114    ,CCC000631770,Advanced Digital Video Production                                   ,1,Film Production-061220                                                               ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,COMPB14     ,CCC000631833,Discrete Structures                                                 ,2,Computer Science (Transfer)-070600                                                   ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",C,Course is not a support course                                             ,Fall 2025
