District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Allan Hancock CCD,Allan Hancock,MT189       ,CCC000000652,Independent Projects                                                ,1,Machining and Machine Tools-095630                                                   ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,01.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,BUS375      ,CCC000001583,Patents and Copyrights                                              ,1,"Business and Commerce, General-050100                                                ",Credit - Degree Applicable                                                 ,Not transferable                                                           ,00.50,00.50,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,COMM103     ,CCC000002916,Interpersonal Communication                                         ,2,Speech Communication-150600                                                          ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,GRPH118     ,CCC000003375,User Interface Design                                               ,1,Graphic Art and Design-103000                                                        ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,BUS110      ,CCC000004867,Business Law                                                        ,3,"Business and Commerce, General-050100                                                ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Advanced Occupational (not limited to apprentices)                         ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,MUS145      ,CCC000008804,Big Band Jazz                                                       ,2,Music-100400                                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,THEA101     ,CCC000011520,Applied Professional Acting I                                       ,1,Dramatic Arts-100700                                                                 ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,10.00,10.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,ENGR152     ,CCC000013405,Statics                                                             ,2,"Engineering, General (requires Calculus) (Transfer)-090100                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,ASL138      ,CCC000017189,History of Deaf                                                     ,1,Sign Language-085000                                                                 ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Allan Hancock CCD,Allan Hancock,DANC183     ,CCC000017219,Dance Ensemble                                                      ,1,Dance-100800                                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
