District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Lake Tahoe CCD,Lake Tahoe,PSY-210     ,CCC000345403,Introduction to Biological Psychology                               ,1,"Psychology, General-200100                                                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,ENG-200     ,CCC000345649,Masterpieces of the Ancient and Medieval Worlds                     ,1,Comparative Literature-150300                                                        ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,RES-151     ,CCC000346179,California Real Estate Principles                                   ,1,Real Estate-051100                                                                   ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,04.00,04.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,ENG-108     ,CCC000346769,Women in Literature                                                 ,1,Comparative Literature-150300                                                        ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,RES-155     ,CCC000347120,Real Estate Practice                                                ,1,Real Estate-051100                                                                   ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,04.00,04.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,GEG-103     ,CCC000348443,World Regional Geography                                            ,1,Geography-220600                                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,ANT-102     ,CCC000349121,Cultural Anthropology                                               ,1,Anthropology-220200                                                                  ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,ART-145B    ,CCC000349365,Landscape Photography (B)                                           ,1,Applied Photography-101200                                                           ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,01.00,Course is not a basic skills course                                        ,Possibly Occupational                                                      ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,BSN-100     ,CCC000350096,Introduction to Business                                            ,3,"Business and Commerce, General-050100                                                ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Lake Tahoe CCD,Lake Tahoe,CRJ-133     ,CCC000350504,Internship-Occupational Work Experience                             ,1,Administration of Justice-210500                                                     ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,06.00,01.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
