,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Skyline Total,,,879,"2,947.32","15,085",903,"2,872.32","16,755",261,"1,389.05","6,770",863,"2,906.55","17,369",889,"1,280.98","18,132",275,"1,646.03","8,046",918,"3,455.49","19,831",980,"3,544.74","20,560",271,"1,667.02","8,123",940,"3,536.68","20,373",991,"3,550.12","21,176",280,"1,760.03","8,695",910,"3,545.97","20,291"
,,060200 - Journalism                              ,8,8.02,64,9,6.26,58,,,,6,6.33,63,8,3.00,84,,,,6,12.40,110,7,7.45,75,,,,9,7.63,73,10,10.29,74,,,,11,8.72,76
,,061200 - Film Studies                            ,1,3.62,19,2,17.54,92,1,4.94,27,2,17.92,94,2,0.00,99,2,15.54,85,2,16.97,89,3,26.97,143,2,14.62,80,2,18.12,97,3,25.58,136,2,15.00,82,2,16.27,87
,,061400 - Digital Media                           ,7,12.12,88,7,16.23,108,2,4.57,15,6,17.66,111,7,14.57,104,1,3.05,10,10,22.72,138,15,35.44,230,,,,10,22.58,154,10,21.86,141,,,,16,53.80,322
,,070600 - Computer Science (Transfer)             ,6,15.22,76,10,20.22,139,,,,6,17.31,135,8,13.81,161,,,,6,16.43,135,8,20.31,167,,,,2,1.60,16,1,3.70,37,,,,1,3.63,34
,,070710 - Computer Programming                    ,4,19.41,71,5,11.59,66,2,12.31,53,5,12.80,92,4,10.20,80,2,12.33,55,5,12.88,95,5,14.03,81,2,6.96,39,9,23.01,177,9,21.94,148,,,,9,13.95,127
,,070720 - Database Design and Administration      ,,,,,,,,,,,,,,,,,,,,,,2,1.60,15,,,,,,,2,1.40,14,,,,,,
,,070800 - Computer Infrastructure and Support     ,14,25.74,182,9,16.42,126,,,,8,17.75,122,10,14.67,160,,,,7,23.42,136,10,26.98,203,1,1.82,14,8,38.66,211,10,26.15,211,1,1.45,11,9,38.75,195
,,"080100 - Education, General                      ",,,,1,6.22,7,,,,,,,,,,,,,,,,1,14.23,16,,,,,,,1,1.24,8,,,,,,
,,083500 - Physical Education                      ,47,72.06,575,48,81.32,602,21,89.20,494,56,89.08,697,53,56.21,783,22,96.72,543,53,87.46,675,50,105.62,723,17,105.23,563,46,96.46,699,52,122.55,771,20,118.15,653,45,99.24,755
,,083510 - Physical Fitness and Body Movement      ,16,16.77,161,17,32.82,205,7,29.71,168,14,20.19,175,24,13.30,307,5,37.95,211,21,34.89,321,18,39.53,270,6,43.25,241,20,37.32,345,20,30.85,290,6,72.50,404,24,51.19,418
