,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Mission Total,,,72,205.16,"1,854",717,"1,932.65","14,476",228,701.73,"5,077",708,"1,929.95","13,995",60,160.98,"1,457",707,"1,713.56","12,536",212,593.18,"4,550",666,"1,899.94","13,808",72,199.44,"1,762",693,"1,914.73","13,731",224,671.56,"5,041",712,"2,119.28","15,416",63,184.93,"1,678",728,"2,037.37","15,042",236,693.04,"5,240",761,"2,183.96","16,328",62,184.12,"1,670",732,"2,074.02","15,214",237,728.67,"5,464",741,"2,161.73","16,164",59,170.27,"1,515"
,,111720 - Vietnamese                              ,,,,2,6.31,44,,,,2,5.94,45,,,,1,2.42,14,,,,1,2.10,20,,,,2,5.99,39,,,,,,,,,,2,5.98,46,,,,,,,,,,1,2.70,27,,,,,,,,,
,,"120100 - Health Occupations, General             ",,,,7,11.76,169,,,,4,5.28,89,,,,15,18.73,346,5,3.15,79,12,16.76,293,2,0.42,25,18,22.19,391,5,4.03,86,7,9.75,154,3,0.70,41,6,9.23,136,4,1.16,68,8,12.39,181,3,0.75,44,8,12.24,176,4,0.89,53,8,12.75,187,4,0.87,51
,,123000 - Nursing                                 ,,,,,,,,,,5,3.45,45,,,,1,1.22,22,,,,3,3.92,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.96,92,,,
,,123010 - Registered Nursing                      ,,,,7,20.60,116,6,7.29,86,10,22.39,116,,,,7,34.50,108,5,4.92,58,9,18.26,100,,,,7,34.15,112,5,5.31,62,9,22.31,120,,,,7,21.24,112,5,4.97,58,9,20.82,112,,,,7,22.03,116,,,,1,2.13,23,,,
,,123020 - Licensed Vocational Nursing             ,,,,8,16.77,54,,,,6,15.04,69,,,,10,33.19,104,,,,10,37.36,139,,,,18,53.90,250,,,,30,71.55,542,,,,30,68.06,535,,,,30,71.61,540,,,,30,68.19,525,,,,30,67.57,513,,,
,,123030 - Certified Nurse Assistant               ,,,,7,19.52,152,4,11.18,60,7,21.25,163,,,,8,22.12,161,5,16.20,96,7,23.14,159,,,,6,20.30,131,6,19.27,111,8,20.32,171,,,,8,16.69,139,7,18.87,147,8,22.48,185,,,,8,24.60,187,7,19.05,152,8,23.51,194,,,
,,127000 - Kinesiology                             ,,,,1,0.33,7,,,,1,0.31,3,,,,1,0.21,2,,,,,,,,,,3,1.15,11,,,,7,15.22,86,,,,7,15.54,88,1,2.40,24,6,19.58,114,,,,7,17.84,98,1,4.36,27,9,19.95,117,,,
,,130500 - Child Development/Early Care and Educati,2,3.22,58,20,60.30,562,3,8.70,94,17,49.11,457,,,,15,30.14,281,3,7.60,76,18,44.70,413,,,,16,37.79,348,4,9.90,99,18,43.09,402,,,,19,44.26,404,4,8.06,59,18,48.53,459,,,,19,50.39,461,4,12.02,99,23,62.33,581,,,
,,130520 - Children with Special Needs             ,,,,,,,,,,1,3.90,39,,,,,,,,,,1,1.78,17,,,,,,,,,,,,,,,,1,1.99,19,,,,,,,,,,,,,,,,1,2.31,22,,,
,,130580 - Child Development Administration and Man,,,,3,5.46,64,,,,1,1.30,13,1,2.10,34,1,2.70,27,,,,,,,,,,2,3.77,45,,,,1,2.10,21,,,,2,4.50,56,,,,2,4.73,58,,,,2,4.43,53,1,2.20,22,2,4.47,54,,,
,,130590 - Infants and Toddlers                    ,,,,1,3.17,34,,,,1,2.80,28,,,,1,2.20,21,,,,1,1.99,19,,,,2,3.98,38,,,,2,4.20,40,,,,2,3.88,37,,,,1,2.62,25,,,,1,2.73,26,,,,1,2.90,29,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,6,17.87,192,2,4.91,53,6,17.07,170,,,,6,14.20,141,2,5.20,52,7,19.34,191,,,,6,17.71,175,1,3.20,32,7,20.24,199,,,,7,20.42,201,2,5.40,54,6,19.45,191,,,,6,16.35,160,2,5.50,55,6,18.96,186,,,
,,130630 - Culinary Arts                           ,,,,3,6.12,51,,,,2,3.99,42,,,,5,9.70,79,,,,6,12.20,123,,,,4,10.29,81,3,4.75,41,10,20.82,207,,,,9,18.72,168,3,5.76,44,8,17.69,153,,,,5,9.84,108,1,1.80,18,8,18.98,187,,,
,,130700 - Hospitality                             ,,,,3,2.63,32,,,,3,2.95,39,,,,,,,1,0.80,6,,,,,,,2,2.29,23,,,,1,3.04,22,,,,1,1.30,19,,,,1,3.87,29,,,,1,0.53,8,,,,1,3.47,26,,,
,,130710 - Restaurant and Food Services and Managem,,,,14,22.08,141,4,2.10,14,9,21.38,98,,,,15,21.53,122,4,4.81,52,9,26.15,120,1,0.14,1,12,25.30,142,5,4.68,37,13,29.72,192,,,,12,33.35,188,3,2.52,18,15,32.31,278,,,,13,33.19,205,7,10.33,97,11,26.48,198,2,2.16,8
,,130900 - Gerontology                             ,,,,2,1.71,49,1,0.69,20,2,1.57,45,,,,2,1.71,48,,,,2,2.23,64,,,,2,2.13,61,,,,2,1.99,56,,,,2,1.99,52,,,,2,2.32,67,,,,2,1.35,37,,,,2,2.67,77,,,
,,150100 - English                                 ,1,1.17,12,48,110.16,"1,088",17,32.80,341,49,118.99,"1,060",1,1.40,15,38,85.81,789,13,28.70,275,48,123.24,"1,073",,,,41,105.35,967,13,32.97,313,52,132.89,"1,188",,,,42,106.62,999,14,30.56,291,54,136.55,"1,236",,,,47,115.22,"1,079",17,38.52,369,54,138.14,"1,254",,,
,,150600 - Speech Communication                    ,2,5.60,57,22,50.16,492,9,19.08,202,24,59.33,537,4,7.50,81,23,43.24,424,8,16.26,162,22,45.84,415,4,9.10,91,21,44.08,430,8,18.13,180,23,50.19,488,3,7.20,72,25,50.00,490,6,11.65,116,26,54.32,527,5,10.30,103,24,46.88,453,8,15.88,159,25,50.13,487,4,8.50,85
,,150900 - Philosophy                              ,1,2.05,22,6,11.27,121,2,4.63,50,5,9.00,90,1,2.10,21,5,7.45,74,2,4.30,43,3,6.60,66,1,2.60,26,3,7.70,77,2,5.90,59,5,10.74,106,,,,4,10.92,108,2,5.90,59,5,12.81,127,,,,4,11.70,117,1,2.70,27,5,11.75,116,,,
,,152000 - Reading                                 ,,,,3,4.84,52,1,1.02,11,2,4.00,40,,,,2,3.10,32,1,1.00,10,2,4.50,45,,,,2,3.00,30,,,,1,2.70,27,,,,1,2.50,25,,,,1,2.00,20,,,,1,2.90,29,,,,1,2.10,21,,,
,,159900 - Other Humanities                        ,1,2.23,23,6,11.59,118,,,,7,16.61,164,1,0.28,3,5,14.36,142,1,2.20,22,6,17.73,176,1,3.10,31,7,14.30,142,2,4.60,46,5,14.69,146,1,3.80,38,4,13.00,130,1,2.60,26,6,15.86,158,1,4.00,40,5,14.20,142,1,2.70,27,6,15.57,155,1,2.90,29
,,"170100 - Mathematics, General                    ",2,6.96,56,51,182.60,"1,213",20,86.49,578,46,180.60,"1,192",2,6.57,53,42,144.48,942,20,80.67,502,42,167.20,"1,100",2,8.00,60,44,157.71,"1,017",18,73.09,472,43,196.83,"1,253",1,4.00,30,40,166.09,"1,102",19,83.45,545,46,202.53,"1,297",1,3.33,25,39,171.03,"1,099",19,88.00,557,48,187.60,"1,246",1,3.47,26
,,"190200 - Physics, General                        ",,,,8,59.37,253,1,5.44,27,8,35.73,154,,,,7,32.49,150,2,9.26,41,5,24.14,104,,,,8,41.02,188,2,12.50,55,7,44.01,189,,,,9,52.53,240,2,13.79,61,7,43.67,191,,,,9,50.45,232,1,8.20,39,8,54.39,240,,,
,,"190500 - Chemistry, General                      ",,,,20,87.96,361,9,55.42,216,19,80.12,328,,,,18,69.73,293,6,29.37,133,16,71.55,316,1,2.90,29,20,78.29,363,9,42.98,183,15,78.61,363,1,2.10,21,17,77.29,375,8,42.63,175,16,92.26,420,,,,15,81.53,357,8,47.70,195,20,101.51,446,,,
,,191100 - Astronomy                               ,1,2.47,24,5,24.59,137,1,6.25,31,4,23.73,129,1,2.11,22,5,22.84,139,,,,5,23.92,140,,,,5,23.20,137,,,,4,20.68,114,,,,5,25.37,152,,,,5,25.98,156,,,,5,23.48,143,,,,5,26.25,157,,,
,,"200100 - Psychology, General                     ",7,21.91,235,23,61.07,627,10,31.30,338,22,53.92,530,5,17.20,172,21,60.30,596,10,30.90,309,21,59.52,588,6,20.80,208,23,65.18,642,10,35.03,349,25,83.06,812,5,20.20,202,24,74.08,726,10,35.92,358,28,79.60,779,5,20.90,209,23,65.97,648,10,36.26,361,27,74.00,724,5,19.40,194
,,210400 - Human Services                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9.53,92,,,,7,21.05,202,1,1.45,14,4,11.63,114,,,
,,213300 - Fire Technology                         ,,,,17,46.60,450,4,9.45,102,20,53.45,461,,,,20,57.74,483,4,7.90,79,23,71.26,562,1,0.67,11,23,55.90,457,6,7.56,82,24,79.52,624,,,,27,78.15,640,4,10.10,101,27,72.57,593,,,,30,89.24,759,4,9.30,93,34,90.11,748,,,
,,213310 - Wildland Fire Technology                ,,,,1,2.30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,213350 - Fire Academy                            ,,,,,,,,,,1,26.24,27,,,,,,,,,,1,27.74,29,,,,1,28.14,30,,,,1,24.07,25,,,,1,21.18,22,,,,1,23.45,25,,,,1,22.51,24,,,,1,23.45,25,,,
,,"220100 - Social Sciences, General                ",,,,2,3.73,40,,,,3,3.90,39,,,,1,1.50,15,,,,2,6.20,62,,,,3,6.61,65,,,,4,10.10,99,,,,2,6.00,60,,,,2,5.60,56,,,,2,4.20,42,,,,2,5.20,52,,,
,,220200 - Anthropology                            ,2,4.93,53,4,9.04,97,2,2.96,32,3,7.80,78,2,4.00,40,4,9.57,95,2,5.00,50,2,7.00,70,2,4.80,48,3,8.40,84,2,6.40,64,5,13.57,135,2,5.80,58,5,14.83,147,2,5.20,52,6,18.24,186,2,5.70,57,5,15.11,150,2,6.40,64,6,18.27,181,2,6.90,69
,,220300 - Ethnic Studies                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8.30,83,3,4.30,43,4,6.40,64,1,1.70,17,5,8.07,80,4,9.30,93,8,16.10,158,,,
,,220400 - Economics                               ,4,28.28,134,7,32.21,161,5,27.51,131,7,30.96,164,2,12.40,62,6,31.27,165,5,30.80,154,5,29.93,149,4,27.00,135,7,33.26,174,4,27.00,135,7,41.37,220,3,18.40,92,5,32.00,160,5,29.80,149,6,37.30,202,3,19.20,96,7,37.00,197,5,32.60,163,7,36.50,191,3,19.00,95
,,220500 - History                                 ,4,14.81,159,18,47.06,505,8,22.59,244,16,48.76,484,4,14.40,144,17,41.48,411,8,25.90,259,15,44.23,433,5,16.70,167,13,41.28,404,6,23.40,234,14,54.61,535,5,20.40,204,12,45.55,447,8,23.90,239,13,48.90,480,5,16.30,163,13,48.70,480,8,24.80,248,14,48.57,474,4,14.30,143
,,220600 - Geography                               ,,,,2,5.58,60,1,2.41,26,2,6.20,62,,,,2,4.77,47,1,2.90,29,2,5.11,50,,,,2,4.25,42,1,3.10,31,1,3.30,33,,,,2,6.30,63,1,3.00,30,2,6.80,68,,,,2,6.60,66,1,3.10,31,2,5.80,58,,,
,,220700 - Political Science                       ,5,12.67,136,12,31.03,333,4,12.21,132,10,26.71,266,3,7.60,76,9,22.45,223,5,15.40,154,9,19.76,194,2,7.80,78,9,23.06,228,4,13.10,131,8,30.27,296,2,7.70,77,8,23.14,226,5,20.40,204,13,32.20,316,2,8.70,87,11,31.73,312,4,16.60,166,13,33.49,330,2,7.90,79
,,220800 - Sociology                               ,3,10.07,108,16,34.90,360,5,13.14,142,15,38.20,377,2,7.80,78,18,38.02,378,4,12.60,126,14,36.96,365,3,11.40,114,16,39.01,385,4,12.72,127,18,44.87,440,3,10.90,109,19,44.58,436,7,22.54,220,16,49.66,486,2,8.20,82,18,50.90,499,7,26.72,261,15,49.14,481,2,8.00,80
,,493010 - Career Guidance and Orientation         ,,,,2,0.61,19,1,0.16,10,3,1.12,27,,,,1,0.30,6,,,,1,0.45,9,,,,1,0.40,8,,,,1,0.60,12,,,,2,1.00,20,1,0.13,8,2,0.58,23,,,,3,1.37,39,,,,2,1.13,36,,,
,,493011 - Interpersonal Skills                    ,,,,1,2.89,31,,,,1,3.00,30,,,,1,2.90,29,,,,1,3.30,33,,,,1,3.10,31,,,,1,3.00,30,,,,1,2.30,23,,,,2,4.68,46,,,,,,,,,,2,5.51,54,,,
,,493013 - Academic Guidance                       ,2,3.91,42,10,15.90,182,3,6.69,79,10,21.43,243,2,5.00,54,11,20.77,223,3,9.30,93,11,25.53,264,2,3.90,39,11,18.27,204,2,4.30,43,12,30.88,318,2,5.20,52,11,22.96,253,2,4.01,40,11,28.09,293,2,6.30,63,12,21.43,252,3,6.90,68,11,28.88,301,2,5.90,59
,,493200 - General Work Experience                 ,,,,1,0.14,1,,,,7,34.44,68,,,,6,40.52,74,2,0.43,2,4,35.86,63,,,,4,43.77,79,3,0.86,4,7,37.14,68,1,0.14,1,4,36.86,65,1,0.41,1,7,25.52,66,,,,5,30.25,75,1,0.10,1,3,1.13,4,,,
,Credit - Not Degree Applicable                     Total,,,,,48,88.11,745,5,4.87,68,46,95.52,820,,,,37,74.59,616,2,1.96,42,36,77.93,656,,,,35,66.13,542,4,5.03,74,31,45.66,329,,,,29,39.52,307,8,5.19,61,36,46.76,391,,,,34,39.67,273,13,12.98,109,42,56.03,419,,,
,,079900 - Other Information Technology            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14.80,74,1,8.00,40,3,15.80,79,,,
,,094740 - Railroad and Light Rail Operations      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.68,14,2,3.41,50,,,,1,1.81,12,4,0.78,7,5,3.92,32,,,
,,"120100 - Health Occupations, General             ",,,,1,1.56,21,,,,1,1.92,27,,,,1,1.21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,129900 - Other Health Occupations                ,,,,1,0.56,18,1,0.89,26,1,0.70,21,,,,1,0.53,13,1,0.83,25,1,0.87,26,,,,1,0.77,23,1,0.90,27,1,0.77,23,,,,1,1.00,30,1,0.70,21,1,0.80,24,,,,1,0.80,24,1,1.00,30,1,1.03,31,,,
,,130700 - Hospitality                             ,,,,,,,,,,1,0.87,13,,,,,,,,,,,,,,,,,,,1,0.69,5,,,,,,,,,,1,1.26,10,1,2.04,15,,,,,,,,,,1,2.58,15,,,
,,"170100 - Mathematics, General                    ",,,,4,9.70,66,1,2.31,15,6,10.77,87,,,,2,5.24,39,,,,2,2.22,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,,,,2,2.85,46,,,,1,1.54,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"190200 - Physics, General                        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.47,14,,,,1,0.84,8,1,2.10,20,1,2.10,20,,,
,,"493030 - Learning Skills, Handicapped            ",,,,1,0.51,5,,,,1,0.70,7,,,,1,1.50,15,,,,2,2.41,23,,,,3,2.45,27,,,,1,1.36,13,,,,1,0.52,5,,,,1,1.68,16,,,,1,1.23,12,,,,1,2.10,20,,,
,,"493032 - Learning Skills, Learning Disabled      ",,,,5,3.01,31,2,0.37,8,6,5.15,58,,,,7,5.99,59,,,,4,4.77,46,,,,4,3.02,30,,,,2,2.70,27,,,,2,1.61,18,,,,2,2.70,31,,,,2,1.02,11,,,,2,2.20,24,,,
,,493084 - English as a Second Language - Writing  ,,,,9,20.28,132,,,,7,22.72,142,,,,5,17.31,101,,,,6,18.72,115,,,,6,17.62,104,,,,12,23.67,112,,,,11,21.73,114,1,0.20,3,12,18.70,98,,,,12,12.59,68,1,0.13,2,11,12.20,65,,,
,,493085 - English as a Second Language - Reading  ,,,,8,14.25,135,,,,7,16.78,160,,,,6,11.16,107,,,,7,15.31,146,,,,7,9.64,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,493086 - English as a Second Language - Listening,,,,9,16.69,144,,,,9,19.19,156,,,,8,20.39,176,,,,7,19.61,152,,,,6,15.57,130,1,2.04,21,10,11.07,96,,,,9,9.52,91,2,0.94,9,10,10.40,91,,,,7,2.81,27,3,0.68,7,11,9.85,94,,,
,,493087 - English as a Second Language - Integrate,,,,8,18.70,147,1,1.30,19,5,12.98,102,,,,5,10.76,84,1,1.13,17,5,13.32,105,,,,6,15.64,122,1,1.40,21,3,3.99,38,,,,3,2.41,23,1,0.41,4,6,5.56,52,,,,6,3.77,37,2,0.29,3,6,4.25,39,,,
,,493100 - Vocational ESL                          ,,,,,,,,,,1,2.20,22,,,,1,0.50,5,,,,2,0.70,7,,,,2,1.42,14,,,,2,2.10,20,,,,2,2.73,26,,,,,,,,,,,,,,,,,,,,,
