,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Mission Total,,,72,205.16,"1,854",717,"1,932.65","14,476",228,701.73,"5,077",708,"1,929.95","13,995",60,160.98,"1,457",707,"1,713.56","12,536",212,593.18,"4,550",666,"1,899.94","13,808",72,199.44,"1,762",693,"1,914.73","13,731",224,671.56,"5,041",712,"2,119.28","15,416",63,184.93,"1,678",728,"2,037.37","15,042",236,693.04,"5,240",761,"2,183.96","16,328",62,184.12,"1,670",732,"2,074.02","15,214",237,728.67,"5,464",741,"2,161.73","16,164",59,170.27,"1,515"
,,050600 - Business Management                     ,,,,3,3.76,49,,,,4,3.97,56,,,,5,6.72,79,,,,2,2.21,33,,,,3,4.96,59,,,,6,8.37,105,,,,2,5.28,63,,,,3,5.33,66,,,,1,3.30,33,,,,3,7.90,87,,,
,,050630 - Management Development and Supervision  ,,,,,,,,,,,,,,,,1,1.40,14,,,,1,2.00,20,,,,,,,,,,1,1.78,17,,,,,,,,,,,,,,,,1,2.80,28,,,,,,,,,
,,050640 - Small Business and Entrepreneurship     ,,,,2,3.16,34,,,,1,1.70,17,,,,1,2.60,26,,,,2,4.00,40,,,,2,4.40,44,,,,,,,,,,2,4.90,49,,,,,,,,,,1,3.20,32,,,,2,5.80,58,,,
,,050800 - International Business and Trade        ,,,,1,0.84,9,,,,1,1.90,19,,,,1,1.50,15,,,,1,2.30,23,,,,1,2.30,23,,,,1,2.40,24,,,,1,2.40,24,,,,1,3.00,30,,,,1,1.90,19,,,,1,2.40,24,,,
,,050900 - Marketing and Distribution              ,,,,1,2.24,24,,,,1,0.70,7,,,,1,1.10,11,,,,1,1.60,16,,,,1,2.80,28,,,,1,2.90,29,1,2.00,20,,,,,,,1,2.90,29,,,,1,1.70,17,,,,1,1.70,17,,,
,,050940 - Sales and Salesmanship                  ,,,,,,,,,,1,0.80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,051000 - Logistics and Materials Transportation  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,10,,,,,,,,,,,,,,,,,,,,,
,,051400 - Office Technology/Office Computer Applic,,,,13,13.20,243,4,5.47,80,11,14.21,233,,,,10,10.44,199,3,4.53,66,9,14.81,244,3,5.20,78,9,11.09,205,3,4.93,69,6,6.81,135,3,4.53,66,8,7.97,151,3,7.19,85,6,7.37,155,3,4.93,72,5,5.77,110,3,3.74,81,6,8.82,148,,,
,,061220 - Film Production                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.43,20,,,,,,,,,,,,,,,,1,1.33,8,,,,,,,,,,1,1.00,6,,,
,,061420 - Electronic Game Design                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.33,14,,,,,,,,,,1,3.17,19,,,,,,
,,061430 - Website Design and Development          ,,,,4,10.44,59,1,6.34,36,3,9.78,57,,,,5,11.84,70,1,4.67,28,4,11.32,67,,,,3,11.84,71,2,5.84,35,3,10.39,62,,,,3,11.00,66,1,4.83,29,4,15.16,91,,,,3,13.00,62,1,3.00,18,3,9.67,58,,,
,,061440 - Animation                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.83,29,,,,,,,,,,1,3.33,20,,,,,,,,,,1,2.50,15,,,
,,061450 - Desktop Publishing                      ,,,,1,3.19,18,,,,1,3.78,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"070100 - Information Technology, General         ",,,,2,5.96,62,,,,2,5.30,53,,,,2,5.38,52,,,,2,4.20,42,,,,2,4.42,44,,,,2,5.86,57,,,,2,6.31,60,,,,2,5.62,54,,,,1,2.41,23,,,,1,1.99,19,,,
