Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
GS,11-3013,Facilities Managers,Bachelor's degree,1190,0.057738621,110,52.86846183,109970
CVML,11-3013,Facilities Managers,Bachelor's degree,1720,0.057089232,170,53.37320129,111020
OC,11-3013,Facilities Managers,Bachelor's degree,1880,0.038482555,170,54.08686441,112500
CVML,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,2800,0.085710698,270,47.70297072,99220
SCC,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,1170,0.01976927,100,56.39752003,117310
FN,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,380,0.053232228,30,51.28144456,106670
IE/D,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,3730,0.088334227,370,47.23020414,98240
GS,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,1620,0.07289772,150,54.07739426,112480
OC,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,3000,0.017329325,240,61.46505301,127850
SD/I,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,2600,0.027826235,220,56.98267656,118520
LA,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,9230,0.001072838,720,60.20691551,125230
CA,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,32360,0.036276345,2790,58.84143069,122390
Bay,11-3071,"Transportation, Storage, and Distribution Managers",High school diploma or equivalent,6750,0.02382644,570,70.76507309,147190
LA,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,1180,-0.036882229,120,19.34507471,40240
OC,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,430,-0.207563456,40,19.01878872,39560
CA,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,55420,-0.020650714,5990,18.98843206,39500
SCC,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,10480,0.099264557,1350,19.17246661,39880
FN,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,3020,-0.012283735,330,18.80930751,39120
Bay,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,10830,-0.010210448,1150,18.40590876,38280
IE/D,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,2290,-0.043327638,230,18.75226914,39000
CVML,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,21350,-0.081351545,2140,18.76124569,39020
GS,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,2360,0.035053287,270,18.34342982,38150
SD/I,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,3400,-0.042594726,350,19.27115762,40080
LA,11-9051,Food Service Managers,High school diploma or equivalent,11780,0.039739239,1400,34.75066366,72280
FN,11-9051,Food Service Managers,High school diploma or equivalent,690,0.029301837,80,27.62289542,57460
GS,11-9051,Food Service Managers,High school diploma or equivalent,2520,0.054941498,310,32.40532283,67400
SD/I,11-9051,Food Service Managers,High school diploma or equivalent,5290,0.053328555,650,36.33509121,75580
IE/D,11-9051,Food Service Managers,High school diploma or equivalent,5460,0.079437387,700,31.06614298,64620
OC,11-9051,Food Service Managers,High school diploma or equivalent,4170,0.051071789,510,34.54624044,71860
SCC,11-9051,Food Service Managers,High school diploma or equivalent,2260,0.039562682,270,34.11594941,70960
CVML,11-9051,Food Service Managers,High school diploma or equivalent,3930,0.090821076,520,28.70227801,59700
Bay,11-9051,Food Service Managers,High school diploma or equivalent,10440,0.02991067,1230,39.22185979,81580
CA,11-9051,Food Service Managers,High school diploma or equivalent,46790,0.050297472,5720,34.08463619,70900
IE/D,11-9071,Gambling Managers,High school diploma or equivalent,80,0.081598895,10,44.34548157,92240
OC,11-9071,Gambling Managers,High school diploma or equivalent,20,-0.018461318,0,55.63512911,115720
LA,11-9071,Gambling Managers,High school diploma or equivalent,180,-0.106366123,20,54.50066276,113360
FN,11-9071,Gambling Managers,High school diploma or equivalent,10,0.029617223,0,41.75447543,86850
CVML,11-9071,Gambling Managers,High school diploma or equivalent,50,0.0100514,10,47.62002102,99050
SCC,11-9071,Gambling Managers,High school diploma or equivalent,10,0.077101904,0,36.64459208,76220
SD/I,11-9071,Gambling Managers,High school diploma or equivalent,50,0.01205096,10,46.99987061,97760
CA,11-9071,Gambling Managers,High school diploma or equivalent,560,-0.01584371,70,46.34242193,96390
Bay,11-9071,Gambling Managers,High school diploma or equivalent,100,-0.01233392,10,41.23337686,85770
GS,11-9071,Gambling Managers,High school diploma or equivalent,60,0.076565353,10,46.52444084,96770
OC,11-9081,Lodging Managers,High school diploma or equivalent,610,0.075152761,70,34.08394708,70890
SCC,11-9081,Lodging Managers,High school diploma or equivalent,390,0.063971766,50,35.3440652,73520
GS,11-9081,Lodging Managers,High school diploma or equivalent,340,0.059302763,40,35.89245021,74660
CA,11-9081,Lodging Managers,High school diploma or equivalent,6050,0.05186378,690,35.87981367,74630
IE/D,11-9081,Lodging Managers,High school diploma or equivalent,660,0.038181605,70,33.36115008,69390
LA,11-9081,Lodging Managers,High school diploma or equivalent,1170,0.047278305,130,36.14259854,75180
FN,11-9081,Lodging Managers,High school diploma or equivalent,210,0.039563419,20,32.06125177,66690
SD/I,11-9081,Lodging Managers,High school diploma or equivalent,630,0.083885523,80,37.26303291,77510
CVML,11-9081,Lodging Managers,High school diploma or equivalent,450,0.06773853,50,32.8238962,68270
Bay,11-9081,Lodging Managers,High school diploma or equivalent,1500,0.020661682,160,40.74625137,84750
GS,11-9131,Postmasters and Mail Superintendents,High school diploma or equivalent,80,0.012428732,10,48.11128365,100070
