Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
OC,25-2012,"Kindergarten Teachers, Except Special Education",Bachelor's degree,400,0.043220406,50,36.71714255,76370
LA,25-2012,"Kindergarten Teachers, Except Special Education",Bachelor's degree,1450,0.028013209,170,38.27651023,79620
LA,25-4031,Library Technicians,Postsecondary nondegree award,1660,0.012460563,300,24.35603538,50660
Bay,25-4031,Library Technicians,Postsecondary nondegree award,1590,0.027732394,300,29.31746386,60980
SD/I,25-4031,Library Technicians,Postsecondary nondegree award,820,0.00781442,150,26.19721876,54490
CA,25-4031,Library Technicians,Postsecondary nondegree award,7820,0.01916519,1450,25.61,53270
SCC,25-4031,Library Technicians,Postsecondary nondegree award,570,-0.017196112,100,25.02710196,52060
FN,25-4031,Library Technicians,Postsecondary nondegree award,300,-0.003213671,50,21.51905587,44760
IE/D,25-4031,Library Technicians,Postsecondary nondegree award,890,0.042221162,170,27.06525104,56300
CVML,25-4031,Library Technicians,Postsecondary nondegree award,850,0.035699193,160,23.41864546,48710
GS,25-4031,Library Technicians,Postsecondary nondegree award,680,0.013707325,120,26.27582385,54650
OC,25-4031,Library Technicians,Postsecondary nondegree award,420,0.020725707,80,22.64988895,47110
Bay,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,3240,0.046293816,440,21.98673507,45730
LA,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,5970,0.065993412,830,19.73995648,41060
OC,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,1530,0.052669826,210,17.37908903,36150
FN,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,390,0.047432242,50,23.26923619,48400
GS,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,5060,0.019161491,640,31.828339,66200
IE/D,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,770,0.032771008,100,19.49980516,40560
SCC,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,1040,0.011518929,130,24.00692241,49930
CA,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,23080,0.044084627,3100,23.59908008,49090
SD/I,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,2940,0.040006192,390,21.85555955,45460
CVML,25-9044,"Teaching Assistants, Postsecondary",Bachelor's degree,1970,0.047395297,270,17.98138762,37400
FN,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",5620,0.044470491,750,21.2443895,44190
GS,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",13240,0.065204133,1840,21.93457111,45620
OC,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",12670,0.037186146,1670,21.86067467,45470
SCC,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",9920,0.032557747,1310,22.57005135,46950
Bay,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",33600,0.041267683,4470,23.90393141,49720
LA,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",39410,0.022988977,5040,22.3728101,46540
IE/D,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",21920,0.068153451,3060,22.23778059,46250
CVML,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",25920,0.089561262,3770,21.50349904,44730
SD/I,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",14550,0.046515194,1950,22.16785868,46110
CA,25-9045,"Teaching Assistants, Except Postsecondary","Some college, no degree",178270,0.050588862,24120,22.33262017,46450
GS,27-1023,Floral Designers,High school diploma or equivalent,320,-0.028212727,40,22.10426596,45980
IE/D,27-1023,Floral Designers,High school diploma or equivalent,500,-0.037386187,60,22.74341013,47310
SD/I,27-1023,Floral Designers,High school diploma or equivalent,560,-0.006327684,70,21.47690733,44670
CVML,27-1023,Floral Designers,High school diploma or equivalent,450,-0.067912855,60,20.16057932,41930
Bay,27-1023,Floral Designers,High school diploma or equivalent,1390,-0.050046391,180,22.24040232,46260
FN,27-1023,Floral Designers,High school diploma or equivalent,90,-0.064807638,10,18.96188657,39440
SCC,27-1023,Floral Designers,High school diploma or equivalent,320,-0.062070371,40,22.48092985,46760
LA,27-1023,Floral Designers,High school diploma or equivalent,1370,-0.019097498,170,23.47635667,48830
OC,27-1023,Floral Designers,High school diploma or equivalent,390,-0.127521077,50,20.67392822,43000
CA,27-1023,Floral Designers,High school diploma or equivalent,5450,-0.04178978,690,22.31416303,46410
GS,27-2011,Actors,"Some college, no degree",240,0.134725009,30,31.55298943,65630
SD/I,27-2011,Actors,"Some college, no degree",400,0.07271988,50,28.79729647,59900
CVML,27-2011,Actors,"Some college, no degree",200,0.103854514,30,31.41946819,65350
Bay,27-2011,Actors,"Some college, no degree",1420,0.051904622,180,31.70470279,65950
FN,27-2011,Actors,"Some college, no degree",70,0.119444392,10,31.61030645,65750
SCC,27-2011,Actors,"Some college, no degree",460,0.023644924,60,31.70948716,65960
LA,27-2011,Actors,"Some college, no degree",21990,-0.094045445,2320,54.30305617,112950
IE/D,27-2011,Actors,"Some college, no degree",280,0.123536053,40,32.43644612,67470
OC,27-2011,Actors,"Some college, no degree",3250,0.025446949,380,47.23248935,98240
CA,27-2011,Actors,"Some college, no degree",29060,-0.060040977,3180,33.45088246,69580
IE/D,27-2032,Choreographers,High school diploma or equivalent,40,0.103496225,10,29.17246669,60680
SD/I,27-2032,Choreographers,High school diploma or equivalent,80,0.04656066,10,24.04086308,50000
CA,27-2032,Choreographers,High school diploma or equivalent,730,0.033342039,110,32.5217048,67650
LA,27-2032,Choreographers,High school diploma or equivalent,220,-0.001893162,30,32.05628888,66680
SCC,27-2032,Choreographers,High school diploma or equivalent,20,0.012002422,0,29.1633135,60660
Bay,27-2032,Choreographers,High school diploma or equivalent,210,0.022718472,30,39.7021121,82580
OC,27-2032,Choreographers,High school diploma or equivalent,50,0.05900155,10,30.4194667,63270
GS,27-2032,Choreographers,High school diploma or equivalent,80,0.082602742,10,38.01681422,79070
CVML,27-2032,Choreographers,High school diploma or equivalent,20,0.070887353,0,28.46211882,59200
FN,27-2032,Choreographers,High school diploma or equivalent,0,0.234174913,0,25.77973475,53620
FN,27-3091,Interpreters and Translators,Bachelor's degree,140,0.008674604,10,32.86819545,68370
SD/I,27-3091,Interpreters and Translators,Bachelor's degree,940,-0.004634819,90,35.24652689,73310
LA,27-3091,Interpreters and Translators,Bachelor's degree,2160,-0.02135651,190,34.2320317,71200
SCC,27-3091,Interpreters and Translators,Bachelor's degree,450,-0.000647105,40,36.98230662,76920
OC,27-3091,Interpreters and Translators,Bachelor's degree,770,0.014147899,70,32.21802205,67010
CA,27-3091,Interpreters and Translators,Bachelor's degree,9440,0.006765576,900,34.22235268,71180
Bay,27-3091,Interpreters and Translators,Bachelor's degree,2580,-0.009321227,240,39.5968931,82360
CVML,27-3091,Interpreters and Translators,Bachelor's degree,630,0.052246697,70,30.91327449,64300
GS,27-3091,Interpreters and Translators,Bachelor's degree,640,0.01353075,60,31.60839619,65750
IE/D,27-3091,Interpreters and Translators,Bachelor's degree,740,0.043698693,70,35.79402702,74450
SCC,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,170,-0.026242225,20,57.84892392,120330
CA,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,2570,0.010445381,260,50.12306087,104260
IE/D,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,380,0.03845005,40,61.29681647,127500
GS,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,180,0.058535581,20,52.76621958,109750
CVML,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,200,0.033319262,20,49.81504295,103620
Bay,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,540,-0.008149086,50,58.38057009,121430
FN,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,30,0.038486643,0,42.95960152,89360
SD/I,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,230,-0.001202807,20,54.53595399,113430
LA,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,640,0.0027472,60,38.59788479,80280
OC,27-3092,Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,190,0.017608514,20,37.3921111,77780
IE/D,27-4011,Audio and Video Technicians,Postsecondary nondegree award,650,0.070514197,60,27.90649781,58050
SD/I,27-4011,Audio and Video Technicians,Postsecondary nondegree award,950,0.015339646,80,28.44304782,59160
CVML,27-4011,Audio and Video Technicians,Postsecondary nondegree award,530,0.072968104,50,27.06413248,56290
SCC,27-4011,Audio and Video Technicians,Postsecondary nondegree award,450,0.027184649,40,25.01047788,52020
OC,27-4011,Audio and Video Technicians,Postsecondary nondegree award,810,0.047203831,70,28.37995068,59030
LA,27-4011,Audio and Video Technicians,Postsecondary nondegree award,5240,-0.01284339,400,31.11566521,64720
GS,27-4011,Audio and Video Technicians,Postsecondary nondegree award,410,0.069227435,40,28.26525072,58790
Bay,27-4011,Audio and Video Technicians,Postsecondary nondegree award,2450,0.032353659,200,34.11634386,70960
FN,27-4011,Audio and Video Technicians,Postsecondary nondegree award,170,0.09350517,20,35.93986295,74750
CA,27-4011,Audio and Video Technicians,Postsecondary nondegree award,12030,0.0239065,1000,30.62586801,63700
SD/I,27-4012,Broadcast Technicians,Associate's degree,170,-0.122974005,10,30.05088962,62510
OC,27-4012,Broadcast Technicians,Associate's degree,100,-0.031227318,10,37.35434041,77700
SCC,27-4012,Broadcast Technicians,Associate's degree,70,-0.033185872,10,31.11215102,64710
Bay,27-4012,Broadcast Technicians,Associate's degree,780,0.005804783,70,37.10028386,77170
FN,27-4012,Broadcast Technicians,Associate's degree,30,0.09864035,0,31.46163224,65440
CVML,27-4012,Broadcast Technicians,Associate's degree,140,-0.144644876,10,26.49041555,55100
IE/D,27-4012,Broadcast Technicians,Associate's degree,90,0.00572267,10,32.05874498,66680
LA,27-4012,Broadcast Technicians,Associate's degree,1170,0.022272385,90,43.32963807,90130
GS,27-4012,Broadcast Technicians,Associate's degree,160,-0.068559758,10,36.50607957,75930
CA,27-4012,Broadcast Technicians,Associate's degree,2900,0.02440075,260,34.32611554,71400
SD/I,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,220,-0.004519371,20,31.43184355,65380
SCC,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,140,0.132719881,20,37.88433821,78800
LA,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,3500,-0.037371553,270,37.71908333,78460
FN,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,20,0.182916961,0,36.13326137,75160
CVML,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,90,0.119753285,10,39.43466385,82020
IE/D,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,170,0.093822619,20,32.17251979,66920
GS,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,120,0.063051139,10,32.58666995,67780
Bay,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,870,0.01208679,70,44.15976734,91850
OC,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,330,0.032937343,30,34.32063332,71390
CA,27-4014,Sound Engineering Technicians,Postsecondary nondegree award,5640,-0.004505458,470,37.44664683,77890
Bay,27-4021,Photographers,High school diploma or equivalent,4920,-0.025985883,400,28.70522163,59710
CA,27-4021,Photographers,High school diploma or equivalent,24340,0.004857103,2080,26.35772842,54820
LA,27-4021,Photographers,High school diploma or equivalent,8940,-0.00070711,750,26.37721867,54860
SCC,27-4021,Photographers,High school diploma or equivalent,1160,-0.015784823,100,27.23006921,56640
GS,27-4021,Photographers,High school diploma or equivalent,1130,0.030953051,100,26.13042322,54350
CVML,27-4021,Photographers,High school diploma or equivalent,1000,0.016121254,90,25.01983538,52040
SD/I,27-4021,Photographers,High school diploma or equivalent,2140,0.004674814,180,25.66849658,53390
FN,27-4021,Photographers,High school diploma or equivalent,220,-0.043345874,20,28.73477995,59770
IE/D,27-4021,Photographers,High school diploma or equivalent,1630,0.065739169,160,25.03567242,52070
OC,27-4021,Photographers,High school diploma or equivalent,2660,0.02014032,230,24.95201273,51900
SD/I,29-1124,Radiation Therapists,Associate's degree,140,0.106175927,10,82.32037588,171230
CA,29-1124,Radiation Therapists,Associate's degree,1870,0.079046163,120,80.02,166440
FN,29-1124,Radiation Therapists,Associate's degree,40,0.107031127,0,72.74227174,151300
IE/D,29-1124,Radiation Therapists,Associate's degree,510,0.066824757,30,63.59579172,132280
CVML,29-1124,Radiation Therapists,Associate's degree,90,0.129172502,10,73.6898981,153270
Bay,29-1124,Radiation Therapists,Associate's degree,390,0.067483503,20,97.21640237,202210
GS,29-1124,Radiation Therapists,Associate's degree,120,0.102267019,10,87.74237001,182500
LA,29-1124,Radiation Therapists,Associate's degree,330,0.048787986,20,81.0320099,168550
SCC,29-1124,Radiation Therapists,Associate's degree,90,0.050728799,10,69.51257388,144590
OC,29-1124,Radiation Therapists,Associate's degree,120,0.06841331,10,82.19212389,170960
SD/I,29-1126,Respiratory Therapists,Associate's degree,1460,0.101968376,100,50.24751185,104510
FN,29-1126,Respiratory Therapists,Associate's degree,400,0.102302736,30,49.11679122,102160
CA,29-1126,Respiratory Therapists,Associate's degree,18570,0.078423288,1220,50.4,104830
IE/D,29-1126,Respiratory Therapists,Associate's degree,2170,0.127954654,170,47.73918079,99300
Bay,29-1126,Respiratory Therapists,Associate's degree,3760,0.057979958,240,65.46822423,136170
LA,29-1126,Respiratory Therapists,Associate's degree,5000,0.048908715,290,50.28929675,104600
GS,29-1126,Respiratory Therapists,Associate's degree,1280,0.097431757,90,63.65678714,132410
SCC,29-1126,Respiratory Therapists,Associate's degree,800,0.080041104,50,51.57169286,107270
OC,29-1126,Respiratory Therapists,Associate's degree,1610,0.066828666,100,50.37349424,104780
CVML,29-1126,Respiratory Therapists,Associate's degree,1810,0.095396223,130,47.96322287,99760
OC,29-1141,Registered Nurses,Bachelor's degree,25660,0.061657448,1640,65.57843203,136400
GS,29-1141,Registered Nurses,Bachelor's degree,25930,0.085103933,1790,81.73095261,170000
SCC,29-1141,Registered Nurses,Bachelor's degree,16530,0.068128667,1080,64.38738744,133930
CA,29-1141,Registered Nurses,Bachelor's degree,347060,0.07554815,23270,67.26347683,139910
LA,29-1141,Registered Nurses,Bachelor's degree,81440,0.044282653,4880,64.70811461,134590
Bay,29-1141,Registered Nurses,Bachelor's degree,81060,0.060442158,5180,92.85983096,193150
FN,29-1141,Registered Nurses,Bachelor's degree,7210,0.071340658,480,62.46700955,129930
SD/I,29-1141,Registered Nurses,Bachelor's degree,30870,0.092949682,2190,66.46424391,138250
CVML,29-1141,Registered Nurses,Bachelor's degree,33170,0.080747606,2260,62.09197843,129150
IE/D,29-1141,Registered Nurses,Bachelor's degree,36020,0.110533769,2690,64.14805204,133430
CA,29-1292,Dental Hygienists,Associate's degree,25360,0.072716948,1950,59.78580286,124350
Bay,29-1292,Dental Hygienists,Associate's degree,6720,0.043962022,470,67.39049559,140170
FN,29-1292,Dental Hygienists,Associate's degree,500,0.025076975,30,57.7238755,120070
SD/I,29-1292,Dental Hygienists,Associate's degree,2090,0.08353911,170,59.43454003,123620
IE/D,29-1292,Dental Hygienists,Associate's degree,1950,0.10421251,160,51.81097524,107770
LA,29-1292,Dental Hygienists,Associate's degree,5350,0.077951667,420,57.67152556,119960
OC,29-1292,Dental Hygienists,Associate's degree,2630,0.08723885,210,61.30110308,127510
GS,29-1292,Dental Hygienists,Associate's degree,2370,0.072588417,180,59.97224039,124740
SCC,29-1292,Dental Hygienists,Associate's degree,1330,0.068958493,100,60.97096111,126820
CVML,29-1292,Dental Hygienists,Associate's degree,2210,0.085772909,180,54.32881583,113000
Bay,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,8290,0.038049213,600,40.44716698,84130
GS,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,2360,0.06427979,180,39.11007816,81350
FN,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,430,0.039338376,30,30.74363438,63950
OC,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,3160,0.032865452,220,33.34020431,69350
CVML,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,2100,0.075748402,170,31.80683269,66160
SCC,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,1070,0.058924775,80,31.20930839,64920
CA,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,30430,0.052465726,2270,36.48569343,75890
SD/I,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,3140,0.045828965,230,30.59076843,63630
IE/D,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,1690,0.154608845,170,29.73993036,61860
LA,29-2018,Clinical Laboratory Technologists and Technicians,Bachelor's degree,7060,0.014335898,460,31.93925436,66430
CVML,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,390,0.074731221,30,38.93961104,80990
LA,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,1860,-0.010315365,100,32.02478727,66610
GS,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,350,0.079624841,30,42.66187345,88740
SD/I,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,490,0.074543572,30,36.10721662,75100
FN,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,50,0.134961069,0,35.13464152,73080
SCC,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,500,0.013461666,30,51.06757858,106220
IE/D,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,480,0.131595797,40,30.86431787,64200
OC,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,600,0.025872283,40,31.50251587,65530
CA,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,5790,0.042133663,380,37.72497729,78470
Bay,29-2031,Cardiovascular Technologists and Technicians,Associate's degree,980,0.046857762,70,47.29638937,98380
FN,29-2032,Diagnostic Medical Sonographers,Associate's degree,210,0.072741577,10,59.89198382,124580
GS,29-2032,Diagnostic Medical Sonographers,Associate's degree,700,0.111491984,50,76.33678106,158780
LA,29-2032,Diagnostic Medical Sonographers,Associate's degree,2550,0.049353088,150,57.07190039,118710
SD/I,29-2032,Diagnostic Medical Sonographers,Associate's degree,820,0.115170477,60,61.42469846,127760
SCC,29-2032,Diagnostic Medical Sonographers,Associate's degree,460,0.094718091,30,61.94344221,128840
OC,29-2032,Diagnostic Medical Sonographers,Associate's degree,1010,0.077664639,70,58.62956251,121950
CVML,29-2032,Diagnostic Medical Sonographers,Associate's degree,1110,0.105487003,80,54.82941316,114050
IE/D,29-2032,Diagnostic Medical Sonographers,Associate's degree,1010,0.157504872,80,51.10104907,106290
Bay,29-2032,Diagnostic Medical Sonographers,Associate's degree,2240,0.077133734,150,77.04627766,160260
CA,29-2032,Diagnostic Medical Sonographers,Associate's degree,10420,0.094232209,720,61.81657865,128580
OC,29-2033,Nuclear Medicine Technologists,Associate's degree,120,0.041551111,10,76.01196682,158100
CA,29-2033,Nuclear Medicine Technologists,Associate's degree,1630,0.047449523,90,78.04489177,162330
Bay,29-2033,Nuclear Medicine Technologists,Associate's degree,450,0.031115045,20,83.87119726,174450
IE/D,29-2033,Nuclear Medicine Technologists,Associate's degree,150,0.117830432,10,72.05768624,149880
GS,29-2033,Nuclear Medicine Technologists,Associate's degree,130,0.063755888,10,82.87333549,172380
SCC,29-2033,Nuclear Medicine Technologists,Associate's degree,170,0.019897512,10,67.89187022,141220
LA,29-2033,Nuclear Medicine Technologists,Associate's degree,320,0.007626319,10,74.89679591,155790
CVML,29-2033,Nuclear Medicine Technologists,Associate's degree,130,0.050248409,10,76.80703075,159760
SD/I,29-2033,Nuclear Medicine Technologists,Associate's degree,110,0.077386826,10,77.94893614,162130
FN,29-2033,Nuclear Medicine Technologists,Associate's degree,10,0.13026243,0,72.97970135,151800
SCC,29-2034,Radiologic Technologists and Technicians,Associate's degree,1070,0.07800113,70,52.1827331,108540
Bay,29-2034,Radiologic Technologists and Technicians,Associate's degree,4810,0.072864917,330,69.23854336,144020
IE/D,29-2034,Radiologic Technologists and Technicians,Associate's degree,2210,0.13115805,180,50.62418315,105300
GS,29-2034,Radiologic Technologists and Technicians,Associate's degree,1490,0.096129208,110,64.89332198,134980
LA,29-2034,Radiologic Technologists and Technicians,Associate's degree,4640,0.041316147,280,51.65712653,107450
CVML,29-2034,Radiologic Technologists and Technicians,Associate's degree,2300,0.086568909,160,52.80911662,109840
SD/I,29-2034,Radiologic Technologists and Technicians,Associate's degree,1960,0.093292175,140,54.12569847,112580
FN,29-2034,Radiologic Technologists and Technicians,Associate's degree,440,0.058543017,30,53.98521729,112290
OC,29-2034,Radiologic Technologists and Technicians,Associate's degree,1710,0.062370953,110,52.60831925,109430
CA,29-2034,Radiologic Technologists and Technicians,Associate's degree,21360,0.08593697,1500,58.25422655,121170
FN,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,50,0.11758988,0,54.25998979,112860
OC,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,370,0.05108495,20,54.40810675,113170
SD/I,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,340,0.080592618,20,59.13098506,122990
LA,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,860,0.023884615,50,52.30153675,108790
SCC,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,240,0.018066269,10,49.29289613,102530
Bay,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,990,0.049154672,60,69.68901857,144950
CVML,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,290,0.096037089,20,52.86770382,109960
GS,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,230,0.08092766,20,69.30553816,144160
CA,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,3780,0.066074851,240,59.72747425,124230
IE/D,29-2035,Magnetic Resonance Imaging Technologists,Associate's degree,320,0.151675124,30,51.09632592,106280
OC,29-2036,Medical Dosimetrists,Postsecondary nondegree award,30,0.070212271,0,61.92930696,128810
SD/I,29-2036,Medical Dosimetrists,Postsecondary nondegree award,30,0.125140128,0,64.7860427,134750
LA,29-2036,Medical Dosimetrists,Postsecondary nondegree award,90,0.070790224,10,63.32306385,131710
FN,29-2036,Medical Dosimetrists,Postsecondary nondegree award,0,0.458048117,0,62.59790514,130200
Bay,29-2036,Medical Dosimetrists,Postsecondary nondegree award,260,0.076455655,20,66.32970338,137970
SCC,29-2036,Medical Dosimetrists,Postsecondary nondegree award,10,0.054727667,0,66.34598507,138000
CVML,29-2036,Medical Dosimetrists,Postsecondary nondegree award,30,0.126184439,0,63.34970125,131770
GS,29-2036,Medical Dosimetrists,Postsecondary nondegree award,20,0.200559698,0,74.92526517,155840
IE/D,29-2036,Medical Dosimetrists,Postsecondary nondegree award,30,0.16009651,0,61.06013188,127010
CA,29-2036,Medical Dosimetrists,Postsecondary nondegree award,500,0.099935897,30,67.73684859,140890
SD/I,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,1860,0.074102611,160,20.93806178,43550
CA,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,21940,0.103287269,2120,22.3,46380
IE/D,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,2350,0.087322256,220,20.818205,43300
CVML,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,2260,0.10846657,220,21.29650928,44300
OC,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,2390,0.172783043,270,22.72482204,47270
GS,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,1380,0.071905657,120,23.99500523,49910
Bay,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,5640,0.132094909,600,24.68144918,51340
SCC,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,1320,0.072213584,120,21.5639733,44850
FN,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,440,0.110446794,40,25.00554781,52010
LA,29-2042,Emergency Medical Technicians,Postsecondary nondegree award,3980,0.04795958,330,21.0911717,43870
Bay,29-2043,Paramedics,Postsecondary nondegree award,1680,0.193006729,140,39.7088082,82590
IE/D,29-2043,Paramedics,Postsecondary nondegree award,830,0.116340251,60,35.5139131,73870
FN,29-2043,Paramedics,Postsecondary nondegree award,210,0.110264051,10,34.40274976,71560
OC,29-2043,Paramedics,Postsecondary nondegree award,480,0.241515615,50,36.23907822,75380
CVML,29-2043,Paramedics,Postsecondary nondegree award,900,0.125458438,60,35.30070583,73430
SCC,29-2043,Paramedics,Postsecondary nondegree award,530,0.108635911,40,38.5424486,80170
GS,29-2043,Paramedics,Postsecondary nondegree award,500,0.075740492,30,38.86398619,80840
SD/I,29-2043,Paramedics,Postsecondary nondegree award,1540,0.048393185,80,33.94703141,70610
LA,29-2043,Paramedics,Postsecondary nondegree award,950,0.11791787,60,35.56843331,73980
CA,29-2043,Paramedics,Postsecondary nondegree award,7680,0.127132022,540,35.85962062,74590
CA,29-2051,Dietetic Technicians,Associate's degree,6340,0.051075494,890,22.29896317,46380
Bay,29-2051,Dietetic Technicians,Associate's degree,1160,0.058729214,170,23.06638069,47980
SD/I,29-2051,Dietetic Technicians,Associate's degree,460,0.067511437,70,19.0496481,39620
FN,29-2051,Dietetic Technicians,Associate's degree,200,0.046764015,30,22.99658776,47830
CVML,29-2051,Dietetic Technicians,Associate's degree,530,0.038107134,70,21.26337592,44230
GS,29-2051,Dietetic Technicians,Associate's degree,430,0.063127583,60,21.88384628,45520
IE/D,29-2051,Dietetic Technicians,Associate's degree,630,0.070944784,90,22.8703353,47570
OC,29-2051,Dietetic Technicians,Associate's degree,570,0.037761844,80,22.93675269,47710
SCC,29-2051,Dietetic Technicians,Associate's degree,360,0.051345307,50,23.67298022,49240
LA,29-2051,Dietetic Technicians,Associate's degree,1900,0.038573927,260,21.52751619,44780
IE/D,29-2052,Pharmacy Technicians,High school diploma or equivalent,4660,0.064228697,500,24.16237541,50260
Bay,29-2052,Pharmacy Technicians,High school diploma or equivalent,7580,-0.014403365,710,29.9517615,62300
SD/I,29-2052,Pharmacy Technicians,High school diploma or equivalent,3860,0.01922505,370,26.09802795,54280
FN,29-2052,Pharmacy Technicians,High school diploma or equivalent,850,-0.022663221,80,25.65256105,53360
CVML,29-2052,Pharmacy Technicians,High school diploma or equivalent,4280,0.048516602,440,24.22353242,50380
GS,29-2052,Pharmacy Technicians,High school diploma or equivalent,3150,0.013951788,300,27.93225245,58100
OC,29-2052,Pharmacy Technicians,High school diploma or equivalent,3440,0.070064461,370,24.60152077,51170
SCC,29-2052,Pharmacy Technicians,High school diploma or equivalent,2120,0.022893201,210,25.50172552,53040
CA,29-2052,Pharmacy Technicians,High school diploma or equivalent,39960,0.035565222,4040,26.46412077,55050
LA,29-2052,Pharmacy Technicians,High school diploma or equivalent,9170,0.048089937,940,24.29322317,50530
SD/I,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1090,0.328713476,180,23.01107669,47860
FN,29-2053,Psychiatric Technicians,Postsecondary nondegree award,300,0.283442711,50,25.96089526,54000
LA,29-2053,Psychiatric Technicians,Postsecondary nondegree award,3710,0.252717375,530,23.09660686,48040
IE/D,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1490,0.245125282,210,23.45582206,48790
CA,29-2053,Psychiatric Technicians,Postsecondary nondegree award,15020,0.240360589,2100,23.62108043,49130
Bay,29-2053,Psychiatric Technicians,Postsecondary nondegree award,2580,0.240012712,360,28.77749694,59860
OC,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1230,0.266360406,180,23.30250864,48470
GS,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1060,0.220938966,140,23.10211623,48050
CVML,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1680,0.184789705,210,32.10570965,66780
SCC,29-2053,Psychiatric Technicians,Postsecondary nondegree award,1540,0.125152512,170,40.81808898,84900
