,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,130630 - Culinary Arts                           ,207,,168,44,153,,108,18,187,
,,130700 - Hospitality                             ,22,,19,,29,,8,,26,
,,130710 - Restaurant and Food Services and Managem,192,,188,18,278,,205,97,198,8
,,130900 - Gerontology                             ,56,,52,,67,,37,,77,
,,150100 - English                                 ,"1,188",,999,291,"1,236",,"1,079",369,"1,254",
,,150600 - Speech Communication                    ,488,72,490,116,527,103,453,159,487,85
,,150900 - Philosophy                              ,106,,108,59,127,,117,27,116,
,,152000 - Reading                                 ,27,,25,,20,,29,,21,
,,159900 - Other Humanities                        ,146,38,130,26,158,40,142,27,155,29
,,"170100 - Mathematics, General                    ","1,253",30,"1,102",545,"1,297",25,"1,099",557,"1,246",26
,,"190200 - Physics, General                        ",189,,240,61,191,,232,39,240,
,,"190500 - Chemistry, General                      ",363,21,375,175,420,,357,195,446,
,,191100 - Astronomy                               ,114,,152,,156,,143,,157,
,,"200100 - Psychology, General                     ",812,202,726,358,779,209,648,361,724,194
,,210400 - Human Services                          ,,,,,92,,202,14,114,
,,213300 - Fire Technology                         ,624,,640,101,593,,759,93,748,
,,213350 - Fire Academy                            ,25,,22,,25,,24,,25,
,,"220100 - Social Sciences, General                ",99,,60,,56,,42,,52,
,,220200 - Anthropology                            ,135,58,147,52,186,57,150,64,181,69
,,220300 - Ethnic Studies                          ,,,83,43,64,17,80,93,158,
,,220400 - Economics                               ,220,92,160,149,202,96,197,163,191,95
,,220500 - History                                 ,535,204,447,239,480,163,480,248,474,143
,,220600 - Geography                               ,33,,63,30,68,,66,31,58,
,,220700 - Political Science                       ,296,77,226,204,316,87,312,166,330,79
,,220800 - Sociology                               ,440,109,436,220,486,82,499,261,481,80
,,493010 - Career Guidance and Orientation         ,12,,20,8,23,,39,,36,
,,493011 - Interpersonal Skills                    ,30,,23,,46,,,,54,
,,493013 - Academic Guidance                       ,318,52,253,40,293,63,252,68,301,59
,,493200 - General Work Experience                 ,68,1,65,1,66,,75,1,4,
,Credit - Not Degree Applicable                     Total,,329,,307,61,391,,273,109,419,
,,079900 - Other Information Technology            ,,,,,,,74,40,79,
,,094740 - Railroad and Light Rail Operations      ,,,,14,50,,12,7,32,
,,129900 - Other Health Occupations                ,23,,30,21,24,,24,30,31,
,,130700 - Hospitality                             ,,,,10,15,,,,15,
,,"190200 - Physics, General                        ",,,,,14,,8,20,20,
,,"493030 - Learning Skills, Handicapped            ",13,,5,,16,,12,,20,
,,"493032 - Learning Skills, Learning Disabled      ",27,,18,,31,,11,,24,
,,493084 - English as a Second Language - Writing  ,112,,114,3,98,,68,2,65,
,,493086 - English as a Second Language - Listening,96,,91,9,91,,27,7,94,
,,493087 - English as a Second Language - Integrate,38,,23,4,52,,37,3,39,
,,493100 - Vocational ESL                          ,20,,26,,,,,,,
Ohlone Total,,,"23,074",,"18,271","8,991","23,656",,"21,804","9,407","24,433",
,Credit - Degree Applicable                         Total,,"22,467",,"17,972","6,039","23,114",,"20,964","6,475","23,897",
,,030200 - Environmental Studies                   ,192,,209,101,184,,182,103,153,
,,"040100 - Biology, General                        ",472,,394,98,523,,417,121,539,
,,040300 - MicroBiology                            ,46,,34,,48,,55,,69,
,,040800 - Natural History                         ,43,,30,25,52,,31,26,55,
,,041000 - Anatomy and Physiology                  ,175,,148,17,181,,181,18,247,
,,043000 - Biotechnology and Biomedical Technology ,92,,72,31,112,,114,78,63,
,,050200 - Accounting                              ,752,,451,210,687,,526,219,713,
,,050630 - Management Development and Supervision  ,90,,163,54,90,,117,,57,
,,050640 - Small Business and Entrepreneurship     ,5,,,,,,,,,
,,050900 - Marketing and Distribution              ,315,,180,104,331,,220,79,358,
,,051100 - Real Estate                             ,122,,100,,121,,62,,67,
,,051400 - Office Technology/Office Computer Applic,49,,36,33,62,,39,26,61,
,,051800 - Customer Service                        ,,,5,,,,28,,,
,,059900 - Other Business and Management           ,13,,21,,20,,28,,45,
,,"060100 - Media and Communications, General       ",32,,59,,64,,63,,64,
,,060200 - Journalism                              ,8,,8,,7,,7,,7,
,,060400 - Radio and Television                    ,40,,34,,28,,36,,19,
,,060420 - Television (including combined TV/Film/V,68,,75,,62,,74,,57,
,,061220 - Film Production                         ,9,,,,11,,,,15,
,,061410 - Multimedia                              ,243,,221,56,291,,219,43,267,
,,061430 - Website Design and Development          ,32,,6,,29,,7,,21,
,,061440 - Animation                               ,120,,65,11,124,,96,13,116,
,,061460 - Computer Graphics and Digital Imagery   ,47,,37,,49,,48,,16,
,,"070100 - Information Technology, General         ",415,,222,35,379,,385,43,410,
,,070200 - Computer Information Systems            ,28,,17,,20,,25,,29,
,,070210 - Software Applications                   ,40,,36,21,72,,46,20,46,
,,070700 - Computer Software Development           ,16,,20,,,,23,,18,
,,070710 - Computer Programming                    ,711,,522,240,761,,537,218,791,
,,070800 - Computer Infrastructure and Support     ,15,,5,9,15,,9,6,6,
,,070810 - Computer Networking                     ,323,,280,66,294,,192,60,298,
,,080900 - Special Education                       ,14,,31,,14,,22,,16,
,,083500 - Physical Education                      ,154,,76,21,139,,76,34,127,
,,083510 - Physical Fitness and Body Movement      ,619,,362,211,601,,412,184,695,
,,083550 - Intercollegiate Athletics               ,207,,138,30,227,,159,4,167,
,,083700 - Health Education                        ,249,,120,54,235,,159,56,226,
,,085000 - Sign Language                           ,148,,172,19,252,,225,20,320,
,,085010 - Sign Language Interpreting              ,100,,60,,115,,95,,75,
,,"090100 - Engineering, General (requires Calculus)",265,,285,43,249,,284,23,318,
,,093400 - Electronics and Electric Technology     ,164,,178,71,145,,145,77,195,
,,095420 - Plastics and Composites                 ,62,,40,,51,,51,21,59,
,,095600 - Manufacturing and Industrial Technology ,350,,273,37,218,,223,,195,
,,"100100 - Fine Arts, General                      ",,,3,,4,,1,,2,
,,100200 - Art                                     ,951,,667,149,910,,835,137,847,
,,100230 - Ceramics                                ,42,,40,,41,,29,,47,
,,100400 - Music                                   ,583,,577,183,817,,940,188,824,
,,100500 - Commercial Music                        ,21,,12,,24,,21,,5,
,,100600 - Technical Theater                       ,79,,80,,74,,113,,94,
,,100700 - Dramatic Arts                           ,232,,265,46,254,,228,103,307,
,,100800 - Dance                                   ,42,,20,,20,,,,22,
,,101100 - Photography                             ,58,,50,,63,,53,,50,
,,101200 - Applied Photography                     ,133,,79,34,119,,161,22,134,
,,103000 - Graphic Art and Design                  ,10,,11,,12,,,,12,
,,110200 - French                                  ,21,,14,,21,,19,,19,
,,110500 - Spanish                                 ,192,,133,80,181,,282,84,436,
,,110700 - Chinese                                 ,18,,28,,24,,219,,26,
,,110800 - Japanese                                ,46,,50,,67,,35,,56,
,,"120100 - Health Occupations, General             ",33,,36,,28,,38,,39,
,,120800 - Medical Assisting                       ,71,,54,39,78,,117,77,97,
,,121000 - Respiratory Care/Therapy                ,187,,160,24,176,,170,36,207,
,,122100 - Pharmacy Technology                     ,,,14,,,,22,,,
,,122200 - Physical Therapist Assistant            ,192,,138,,165,,165,,166,
,,123010 - Registered Nursing                      ,110,,49,22,119,,89,28,142,
,,125000 - Emergency Medical Services              ,,,,,12,,,,,
,,"126000 - Health Professions, Transfer Core Curric",,,,,,,17,,,
,,130200 - Interior Design and Merchandising       ,25,,,,,,,,,
,,130500 - Child Development/Early Care and Educati,200,,166,,212,,204,,299,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",196,,140,72,185,,148,70,188,
,,150100 - English                                 ,"2,021",,"1,515",364,"1,873",,"1,542",410,"1,678",
,,150300 - Comparative Literature                  ,23,,51,,50,,37,,50,
,,150600 - Speech Communication                    ,"1,148",,"1,024",452,"1,027",,"1,265",665,"1,469",
,,150900 - Philosophy                              ,184,,206,74,135,,212,78,203,
,,"160100 - Library Science, General                ",109,,135,23,118,,121,,51,
,,"170100 - Mathematics, General                    ","2,773",,"1,882",677,"2,834",,"1,934",790,"2,886",
,,"190200 - Physics, General                        ",388,,316,95,420,,353,137,500,
,,"190500 - Chemistry, General                      ",629,,467,186,657,,532,174,642,
,,191100 - Astronomy                               ,182,,132,83,235,,157,77,234,
,,191400 - Geology                                 ,96,,107,,109,,99,,95,
,,"200100 - Psychology, General                     ",761,,743,276,805,,857,304,851,
,,210500 - Administration of Justice               ,124,,97,7,156,,161,,160,
,,210550 - Police Academy                          ,,,160,25,209,,229,,138,
,,213350 - Fire Academy                            ,,,,74,17,,81,,48,
,,220110 - Women's Studies                         ,39,,65,13,52,,61,27,66,
,,"220140 - Gay, Lesbian, Bisexual and Transgender S",,,25,26,,,34,32,,
,,220200 - Anthropology                            ,422,,314,124,472,,311,131,512,
,,220300 - Ethnic Studies                          ,360,,404,168,584,,662,191,554,
,,220400 - Economics                               ,620,,383,256,602,,378,240,569,
,,220500 - History                                 ,879,,724,344,849,,936,393,999,
,,220600 - Geography                               ,161,,153,10,127,,200,,35,
,,220700 - Political Science                       ,273,,313,156,354,,324,171,342,
,,220800 - Sociology                               ,500,,432,226,394,,564,260,478,
,,221020 - Global Studies                          ,24,,10,29,23,,20,31,,
,,493010 - Career Guidance and Orientation         ,428,,318,105,508,,343,127,306,
,,493013 - Academic Guidance                       ,16,,,,20,,,,,
,,493200 - General Work Experience                 ,20,,25,,15,,27,,12,
,Credit - Not Degree Applicable                     Total,,607,,299,"2,952",542,,840,"2,932",536,
,,150100 - English                                 ,357,,153,55,272,,157,58,335,
,,152000 - Reading                                 ,8,,,,,,,,,
,,210500 - Administration of Justice               ,105,,51,"2,868",135,,69,"2,863",64,
,,210550 - Police Academy                          ,,,,,,,13,,,
,,213300 - Fire Technology                         ,45,,,24,,,464,,,
,,"493030 - Learning Skills, Handicapped            ",35,,28,,49,,44,,46,
,,493086 - English as a Second Language - Listening,25,,17,1,30,,40,6,25,
,,493087 - English as a Second Language - Integrate,32,,50,4,56,,53,5,66,
