,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,101200 - Applied Photography                     ,,181,142,21,155,179,152,22,153,
,,103000 - Graphic Art and Design                  ,,181,214,58,141,172,218,59,135,
,,110200 - French                                  ,,79,69,,65,64,63,,61,
,,110300 - German                                  ,,43,33,,60,31,23,,59,
,,110400 - Italian                                 ,,27,52,,66,36,57,,39,
,,110500 - Spanish                                 ,,212,188,84,251,278,291,82,277,
,,110600 - Russian                                 ,,67,66,,70,72,80,,70,
,,110700 - Chinese                                 ,,171,192,37,253,170,215,47,203,
,,110800 - Japanese                                ,,94,94,,103,102,87,,96,
,,"111700 - Asian, South Asian, and Pacific Islands ",,37,28,,70,44,43,,75,
,,111720 - Vietnamese                              ,,67,52,,68,69,52,,63,
,,111730 - Korean                                  ,,110,105,33,134,132,112,,117,
,,120500 - Medical Laboratory Technology           ,,111,69,3,97,97,61,4,88,
,,120510 - Phlebotomy                              ,,6,9,10,1,6,10,13,5,
,,120800 - Medical Assisting                       ,,410,463,89,598,417,517,111,602,
,,120820 - Administrative Medical Assisting        ,,,,7,,1,1,1,,
,,123000 - Nursing                                 ,,146,183,91,184,173,146,82,194,
,,123010 - Registered Nursing                      ,,400,402,,406,436,429,,409,
,,127000 - Kinesiology                             ,,130,79,105,123,125,80,116,169,
,,130500 - Child Development/Early Care and Educati,,531,547,223,661,687,762,292,768,
,,130520 - Children with Special Needs             ,,33,28,,35,26,28,,20,
,,130580 - Child Development Administration and Man,,20,67,,27,27,95,,59,
,,130590 - Infants and Toddlers                    ,,25,34,,53,37,52,,41,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",,261,320,192,373,325,370,253,354,
,,140200 - Paralegal                               ,,276,260,74,352,181,250,85,339,
,,150100 - English                                 ,,"2,457","1,845",966,"3,271","2,528","1,806","1,025","3,026",
,,150110 - Linguistics                             ,,48,50,,40,48,50,,40,
,,150300 - Comparative Literature                  ,,52,106,21,156,79,95,8,157,
,,150600 - Speech Communication                    ,,"1,409","1,327",516,"1,555","1,398","1,287",479,"1,605",
,,150700 - Creative Writing                        ,,57,66,30,55,59,73,29,50,
,,150900 - Philosophy                              ,,660,639,373,670,630,567,370,591,
,,159900 - Other Humanities                        ,,"1,069","1,005",611,"1,266","1,010","1,020",583,"1,266",
,,"160100 - Library Science, General                ",,64,77,,71,50,33,,54,
,,"170100 - Mathematics, General                    ",,"4,050","3,835","1,895","5,045","4,178","3,934","2,114","5,175",
,,"190200 - Physics, General                        ",,830,733,113,716,798,757,101,763,
,,"190500 - Chemistry, General                      ",,935,941,321,888,956,971,331,961,
,,191100 - Astronomy                               ,,549,508,118,556,590,532,139,615,
,,191400 - Geology                                 ,,74,110,53,102,108,112,60,106,
,,191900 - Oceangraphy                             ,,28,26,42,33,34,38,40,25,
,,199900 - Other Physical Sciences                 ,,253,281,149,262,257,272,154,257,
,,"200100 - Psychology, General                     ",,"2,046","1,937",902,"2,078","2,022","1,879","1,091","2,157",
,,210500 - Administration of Justice               ,,348,320,92,241,339,262,84,288,
,,210510 - Corrections                             ,,,,,20,,,33,26,
,,"210540 - Forensics, Evidence, and Investigation  ",,45,,,45,,44,,46,
,,214000 - Legal and Community Interpretation      ,,,,,,,,,25,
,,"220100 - Social Sciences, General                ",,,,,,,,,20,
,,220110 - Women's Studies                         ,,221,222,52,184,191,306,47,172,
,,220120 - American Studies                        ,,,25,,156,,86,,174,
,,220200 - Anthropology                            ,,885,919,460,"1,017",937,903,536,"1,069",
,,220300 - Ethnic Studies                          ,,"1,299","1,272",669,"1,123","1,604","1,787",991,"1,520",
,,220400 - Economics                               ,,"1,028","1,070",530,"1,162","1,077","1,115",585,"1,127",
,,220500 - History                                 ,,928,925,510,"1,170",901,958,537,"1,171",
,,220600 - Geography                               ,,346,318,231,340,342,292,251,342,
,,220700 - Political Science                       ,,599,670,272,604,502,568,348,532,
,,220800 - Sociology                               ,,503,541,207,488,601,508,283,528,
,,221000 - International Studies                   ,,90,105,,83,55,48,,96,
,,221010 - Area Studies                            ,,90,71,71,142,124,86,,89,
,,493010 - Career Guidance and Orientation         ,,,,,10,,5,,8,
,,493012 - Job Seeking/Changing Skills             ,,368,172,100,203,296,140,126,181,
,,493013 - Academic Guidance                       ,,126,141,169,485,143,92,100,387,
,,"493031 - Living Skills, Handicapped              ",,13,,,,13,,,,
,,"493032 - Learning Skills, Learning Disabled      ",,20,66,69,83,24,11,,9,
,,493072 - Leadership Skills Development           ,,51,32,,125,69,46,3,76,
,,493087 - English as a Second Language - Integrate,,107,118,51,96,97,126,45,102,
,Credit - Not Degree Applicable                     Total,,,"1,122",976,778,"2,012","1,236","1,028",424,"1,759",
,,095600 - Manufacturing and Industrial Technology ,,14,30,,20,19,18,,17,
,,123010 - Registered Nursing                      ,,1,2,,,2,1,,,
,,150100 - English                                 ,,389,248,71,993,402,224,68,923,
,,"170100 - Mathematics, General                    ",,131,158,,66,158,150,,240,
,,"493030 - Learning Skills, Handicapped            ",,,5,,7,,4,,,
,,"493031 - Living Skills, Handicapped              ",,253,291,625,552,360,402,295,280,
,,493084 - English as a Second Language - Writing  ,,60,45,12,59,58,38,7,49,
,,493085 - English as a Second Language - Reading  ,,60,35,13,56,46,39,8,47,
,,493086 - English as a Second Language - Listening,,98,69,25,120,90,75,22,87,
,,493087 - English as a Second Language - Integrate,,116,93,32,139,101,77,24,116,
Evergreen Valley Total,,,"21,918",,"20,091","6,929","21,695",,"20,130","6,483","20,182",
,Credit - Degree Applicable                         Total,,"20,521",,"18,906","6,906","20,457",,"19,126","6,463","18,917",
,,030100 - Environmental Science                   ,75,,55,18,84,,51,28,77,
,,"040100 - Biology, General                        ",813,,771,249,845,,774,173,863,
,,040300 - MicroBiology                            ,80,,74,40,80,,84,42,83,
,,041000 - Anatomy and Physiology                  ,98,,101,,108,,105,44,151,
,,"050100 - Business and Commerce, General          ",551,,471,127,558,,461,132,599,
,,050200 - Accounting                              ,383,,454,39,426,,432,37,398,
,,050210 - Tax Studies                             ,23,,,,23,,,,22,
,,050630 - Management Development and Supervision  ,45,,33,,49,,29,,29,
,,050640 - Small Business and Entrepreneurship     ,18,,55,18,11,,52,22,39,
,,050900 - Marketing and Distribution              ,,,,,48,,,,81,
,,051400 - Office Technology/Office Computer Applic,155,,121,53,120,,133,26,136,
,,051420 - Medical Office Technology               ,199,,184,93,215,,161,61,224,
,,060200 - Journalism                              ,31,,22,,28,,24,,22,
